名字,等级,升到几级,物品id,物品数量,货币单位,货币数量,每一次加多少经验值,多少经验可以升级,进阶奖励
Hero,159,160,,,,,,632478000,
Hero,160,161,,,,,,756802000,
Hero,161,162,,,,,,768657000,
Hero,162,163,,,,,,780677000,
Hero,163,164,,,,,,792865000,
Hero,164,165,,,,,,805223000,
Hero,165,166,,,,,,817753000,
Hero,166,167,,,,,,830459000,
Hero,167,168,,,,,,843341000,
Hero,168,169,,,,,,856404000,
Hero,169,170,,,,,,869649000,
Hero,170,171,,,,,,1026836000,
Hero,171,172,,,,,,1042670000,
Hero,172,173,,,,,,1058725000,
Hero,173,174,,,,,,1075004000,
Hero,174,175,,,,,,1091511000,
Hero,175,176,,,,,,1108248000,
Hero,176,177,,,,,,1125218000,
Hero,177,178,,,,,,1142426000,
Hero,178,179,,,,,,1159873000,
Hero,179,180,,,,,,1177565000,
Hero,180,181,,,,,,1362873000,
Hero,181,182,,,,,,1383608000,
Hero,182,183,,,,,,1404633000,
Hero,183,184,,,,,,1425951000,
Hero,184,185,,,,,,1447566000,
Hero,185,186,,,,,,1469484000,
Hero,186,187,,,,,,1491707000,
Hero,187,188,,,,,,1514240000,
Hero,188,189,,,,,,1537088000,
Hero,189,190,,,,,,1560255000,
Hero,190,191,,,,,,1792133000,
Hero,191,192,,,,,,1819085000,
Hero,192,193,,,,,,1846414000,
Hero,193,194,,,,,,1874124000,
Hero,194,195,,,,,,1902221000,
Hero,195,196,,,,,,1930710000,
Hero,196,197,,,,,,1959596000,
Hero,197,198,,,,,,1988886000,
Hero,198,199,,,,,,2018585000,
Hero,199,200,,,,,,2048698000,
Hero,200,201,,,,,,2321003000,
Hero,201,202,,,,,,2355563000,
Hero,202,203,,,,,,2390606000,
Hero,203,204,,,,,,2426137000,
Hero,204,205,,,,,,2462165000,
Hero,205,206,,,,,,2498696000,
Hero,206,207,,,,,,2535736000,
Hero,207,208,,,,,,2573294000,
Hero,208,209,,,,,,2611375000,
Hero,209,210,,,,,,2649989000,
Hero,210,211,,,,,,2987935000,
Hero,211,212,,,,,,3032045000,
Hero,212,213,,,,,,3076771000,
Hero,213,214,,,,,,3122121000,
Hero,214,215,,,,,,3168104000,
Hero,215,216,,,,,,3214729000,
Hero,216,217,,,,,,3262005000,
Hero,217,218,,,,,,3309941000,
Hero,218,219,,,,,,3358546000,
Hero,219,220,,,,,,3407830000,
Hero,220,221,,,,,,3803581000,
Hero,221,222,,,,,,3859317000,
Hero,222,223,,,,,,3915831000,
Hero,223,224,,,,,,3973134000,
Hero,224,225,,,,,,4031237000,
Hero,225,226,,,,,,4090151000,
Hero,226,227,,,,,,4149887000,
Hero,227,228,,,,,,4210458000,
Hero,228,229,,,,,,4271873000,
Hero,229,230,,,,,,4334147000,
Hero,230,231,,,,,,4822027000,
Hero,231,232,,,,,,4892235000,
Hero,232,233,,,,,,4963423000,
Hero,233,234,,,,,,5035605000,
Hero,234,235,,,,,,5108794000,
Hero,235,236,,,,,,5183006000,
Hero,236,237,,,,,,5258253000,
Hero,237,238,,,,,,5334550000,
Hero,238,239,,,,,,5411913000,
Hero,239,240,,,,,,5490355000,
Hero,240,241,,,,,,6060505000,
Hero,241,242,,,,,,6148256000,
Hero,242,243,,,,,,6237233000,
Hero,243,244,,,,,,6327451000,
Hero,244,245,,,,,,6418929000,
Hero,245,246,,,,,,6511684000,
Hero,246,247,,,,,,6605734000,
Hero,247,248,,,,,,6701097000,
Hero,248,249,,,,,,6797790000,
Hero,249,250,,,,,,6895834000,
Hero,250,251,,,,,,7661460000,
Hero,251,252,,,,,,7771860000,
Hero,252,253,,,,,,7883801000,
Hero,253,254,,,,,,7997305000,
Hero,254,255,,,,,,8112393000,
Hero,255,256,,,,,,8229088000,
Hero,256,257,,,,,,8347412000,
Hero,257,258,,,,,,8473754000,
Hero,258,259,,,,,,8596623000,
Hero,259,260,,,,,,8721274000,
Hero,260,261,,,,,,9593401000,
Hero,261,262,,,,,,9732505000,
Hero,262,263,,,,,,9873626000,
Hero,263,264,,,,,,10016794000,
Hero,264,265,,,,,,10162038000,
Hero,265,266,,,,,,10309388000,
Hero,266,267,,,,,,10458874000,
Hero,267,268,,,,,,10610528000,
Hero,268,269,,,,,,10764381000,
Hero,269,270,,,,,,10920465000,
Hero,270,271,,,,,,12012512000,
Hero,271,272,,,,,,12186693000,
Hero,272,273,,,,,,12363400000,
Hero,273,274,,,,,,12542669000,
Hero,274,275,,,,,,12724538000,
Hero,275,276,,,,,,12909044000,
Hero,276,277,,,,,,13096225000,
Hero,277,278,,,,,,13286120000,
Hero,278,279,,,,,,13478769000,
Hero,279,280,,,,,,13674211000,
Hero,280,281,,,,,,15041632000,
Hero,281,282,,,,,,15259736000,
Hero,282,283,,,,,,15481002000,
Hero,283,284,,,,,,15705477000,
Hero,284,285,,,,,,15933206000,
Hero,285,286,,,,,,16164237000,
Hero,286,287,,,,,,16398618000,
Hero,287,288,,,,,,16636398000,
Hero,288,289,,,,,,16877626000,
Hero,289,290,,,,,,17122352000,
Hero,290,291,,,,,,18834587000,
Hero,291,292,,,,,,19107689000,
Hero,292,293,,,,,,19384750000,
Hero,293,294,,,,,,19665829000,
Hero,294,295,,,,,,19950984000,
Hero,295,296,,,,,,20240273000,
Hero,296,297,,,,,,20533757000,
Hero,297,298,,,,,,20831496000,
Hero,298,299,,,,,,21133553000,
Hero,299,300,,,,,,21439990000,
Hero,300,,,,,,,,
PetFly,0,1,60192,1,1,20000,10,130,
PetFly,1,2,60192,1,1,20000,10,130,
PetFly,2,3,60192,1,1,20000,10,130,
PetFly,3,,60192,,1,,,,
