套装ID,灰 1；绿 2；蓝 3；紫色 4;金色 5;红色 6,子类型,装备基础属性
104,3,208,"{'demage',378},{'hujia',360}"
104,4,208,"{'demage',630},{'hujia',600}"
104,5,208,"{'demage',1260},{'hujia',1200}"
105,1,208,"{'demage',184},{'hujia',176}"
105,2,208,"{'demage',369},{'hujia',352}"
105,3,208,"{'demage',554},{'hujia',528}"
105,4,208,"{'demage',924},{'hujia',880}"
105,5,208,"{'demage',1848},{'hujia',1760}"
105,6,208,"{'demage',4620},{'hujia',4400}"
106,1,208,"{'demage',252},{'hujia',240}"
106,2,208,"{'demage',504},{'hujia',480}"
106,3,208,"{'demage',756},{'hujia',720}"
106,4,208,"{'demage',1260},{'hujia',1200}"
106,5,208,"{'demage',2520},{'hujia',2400}"
106,6,208,"{'demage',6300},{'hujia',6000}"
107,1,208,"{'demage',327},{'hujia',312}"
107,2,208,"{'demage',655},{'hujia',624}"
107,3,208,"{'demage',982},{'hujia',936}"
107,4,208,"{'demage',1638},{'hujia',1560}"
107,5,208,"{'demage',3276},{'hujia',3120}"
107,6,208,"{'demage',8190},{'hujia',7800}"
108,1,208,"{'demage',420},{'hujia',400}"
108,2,208,"{'demage',840},{'hujia',800}"
108,3,208,"{'demage',1260},{'hujia',1200}"
108,4,208,"{'demage',2100},{'hujia',2000}"
108,5,208,"{'demage',4200},{'hujia',4000}"
108,6,208,"{'demage',10500},{'hujia',10000}"
109,1,208,"{'demage',520},{'hujia',496}"
109,2,208,"{'demage',1041},{'hujia',992}"
109,3,208,"{'demage',1562},{'hujia',1488}"
109,4,208,"{'demage',2604},{'hujia',2480}"
109,5,208,"{'demage',5208},{'hujia',4960}"
109,6,208,"{'demage',13020},{'hujia',12400}"
110,1,208,"{'demage',630},{'hujia',600}"
110,2,208,"{'demage',1260},{'hujia',1200}"
110,3,208,"{'demage',1890},{'hujia',1800}"
110,4,208,"{'demage',3150},{'hujia',3000}"
110,5,208,"{'demage',6300},{'hujia',6000}"
110,6,208,"{'demage',15750},{'hujia',15000}"
111,1,208,"{'demage',781},{'hujia',744}"
111,2,208,"{'demage',1562},{'hujia',1488}"
111,3,208,"{'demage',2343},{'hujia',2232}"
111,4,208,"{'demage',3906},{'hujia',3720}"
111,5,208,"{'demage',7812},{'hujia',7440}"
111,6,208,"{'demage',19530},{'hujia',18600}"
112,1,208,"{'demage',966},{'hujia',920}"
112,2,208,"{'demage',1932},{'hujia',1840}"
112,3,208,"{'demage',2898},{'hujia',2760}"
112,4,208,"{'demage',4830},{'hujia',4600}"
112,5,208,"{'demage',9660},{'hujia',9200}"
112,6,208,"{'demage',24150},{'hujia',23000}"
113,1,208,"{'demage',1176},{'hujia',1120}"
113,2,208,"{'demage',2352},{'hujia',2240}"
113,3,208,"{'demage',3528},{'hujia',3360}"
113,4,208,"{'demage',5880},{'hujia',5600}"
113,5,208,"{'demage',11760},{'hujia',11200}"
113,6,208,"{'demage',29400},{'hujia',28000}"
101,1,209,"{'maxhp',180},{'hujia',72}"
101,2,209,"{'maxhp',360},{'hujia',144}"
101,3,209,"{'maxhp',540},{'hujia',216}"
101,4,209,"{'maxhp',900},{'hujia',360}"
101,5,209,"{'maxhp',1800},{'hujia',720}"
102,1,209,"{'maxhp',360},{'hujia',144}"
102,2,209,"{'maxhp',720},{'hujia',288}"
102,3,209,"{'maxhp',1080},{'hujia',432}"
102,4,209,"{'maxhp',1800},{'hujia',720}"
102,5,209,"{'maxhp',3600},{'hujia',1440}"
103,1,209,"{'maxhp',600},{'hujia',240}"
103,2,209,"{'maxhp',1200},{'hujia',480}"
103,3,209,"{'maxhp',1800},{'hujia',720}"
103,4,209,"{'maxhp',3000},{'hujia',1200}"
103,5,209,"{'maxhp',6000},{'hujia',2400}"
104,1,209,"{'maxhp',900},{'hujia',360}"
104,2,209,"{'maxhp',1800},{'hujia',720}"
104,3,209,"{'maxhp',2700},{'hujia',1080}"
104,4,209,"{'maxhp',4500},{'hujia',1800}"
104,5,209,"{'maxhp',9000},{'hujia',3600}"
105,1,209,"{'maxhp',1320},{'hujia',528}"
105,2,209,"{'maxhp',2640},{'hujia',1056}"
105,3,209,"{'maxhp',3960},{'hujia',1584}"
105,4,209,"{'maxhp',6600},{'hujia',2640}"
105,5,209,"{'maxhp',13200},{'hujia',5280}"
105,6,209,"{'maxhp',33000},{'hujia',13200}"
106,1,209,"{'maxhp',1800},{'hujia',720}"
106,2,209,"{'maxhp',3600},{'hujia',1440}"
106,3,209,"{'maxhp',5400},{'hujia',2160}"
106,4,209,"{'maxhp',9000},{'hujia',3600}"
106,5,209,"{'maxhp',18000},{'hujia',7200}"
106,6,209,"{'maxhp',45000},{'hujia',18000}"
107,1,209,"{'maxhp',2340},{'hujia',936}"
107,2,209,"{'maxhp',4680},{'hujia',1872}"
107,3,209,"{'maxhp',7020},{'hujia',2808}"
107,4,209,"{'maxhp',11700},{'hujia',4680}"
107,5,209,"{'maxhp',23400},{'hujia',9360}"
107,6,209,"{'maxhp',58500},{'hujia',23400}"
108,1,209,"{'maxhp',3000},{'hujia',1200}"
108,2,209,"{'maxhp',6000},{'hujia',2400}"
108,3,209,"{'maxhp',9000},{'hujia',3600}"
108,4,209,"{'maxhp',15000},{'hujia',6000}"
108,5,209,"{'maxhp',30000},{'hujia',12000}"
108,6,209,"{'maxhp',75000},{'hujia',30000}"
109,1,209,"{'maxhp',3720},{'hujia',1488}"
109,2,209,"{'maxhp',7440},{'hujia',2976}"
109,3,209,"{'maxhp',11160},{'hujia',4464}"
109,4,209,"{'maxhp',18600},{'hujia',7440}"
109,5,209,"{'maxhp',37200},{'hujia',14880}"
109,6,209,"{'maxhp',93000},{'hujia',37200}"
110,1,209,"{'maxhp',4500},{'hujia',1800}"
110,2,209,"{'maxhp',9000},{'hujia',3600}"
110,3,209,"{'maxhp',13500},{'hujia',5400}"
110,4,209,"{'maxhp',22500},{'hujia',9000}"
110,5,209,"{'maxhp',45000},{'hujia',18000}"
110,6,209,"{'maxhp',112500},{'hujia',45000}"
111,1,209,"{'maxhp',5580},{'hujia',2232}"
111,2,209,"{'maxhp',11160},{'hujia',4464}"
111,3,209,"{'maxhp',16740},{'hujia',6696}"
111,4,209,"{'maxhp',27900},{'hujia',11160}"
111,5,209,"{'maxhp',55800},{'hujia',22320}"
111,6,209,"{'maxhp',139500},{'hujia',55800}"
112,1,209,"{'maxhp',6900},{'hujia',2760}"
112,2,209,"{'maxhp',13800},{'hujia',5520}"
112,3,209,"{'maxhp',20700},{'hujia',8280}"
112,4,209,"{'maxhp',34500},{'hujia',13800}"
112,5,209,"{'maxhp',69000},{'hujia',27600}"
112,6,209,"{'maxhp',172500},{'hujia',69000}"
113,1,209,"{'maxhp',8400},{'hujia',3360}"
113,2,209,"{'maxhp',16800},{'hujia',6720}"
113,3,209,"{'maxhp',25200},{'hujia',10080}"
113,4,209,"{'maxhp',42000},{'hujia',16800}"
113,5,209,"{'maxhp',84000},{'hujia',33600}"
113,6,209,"{'maxhp',210000},{'hujia',84000}"
101,1,210,"{'maxhp',30},{'demage',36}"
101,2,210,"{'maxhp',60},{'demage',72}"
101,3,210,"{'maxhp',90},{'demage',108}"
101,4,210,"{'maxhp',150},{'demage',180}"
101,5,210,"{'maxhp',300},{'demage',360}"
102,1,210,"{'maxhp',60},{'demage',72}"
102,2,210,"{'maxhp',120},{'demage',144}"
102,3,210,"{'maxhp',180},{'demage',216}"
102,4,210,"{'maxhp',300},{'demage',360}"
102,5,210,"{'maxhp',600},{'demage',720}"
103,1,210,"{'maxhp',100},{'demage',120}"
103,2,210,"{'maxhp',200},{'demage',240}"
103,3,210,"{'maxhp',300},{'demage',360}"
103,4,210,"{'maxhp',500},{'demage',600}"
103,5,210,"{'maxhp',1000},{'demage',1200}"
104,1,210,"{'maxhp',150},{'demage',180}"
104,2,210,"{'maxhp',300},{'demage',360}"
104,3,210,"{'maxhp',450},{'demage',540}"
104,4,210,"{'maxhp',750},{'demage',900}"
104,5,210,"{'maxhp',1500},{'demage',1800}"
105,1,210,"{'maxhp',220},{'demage',264}"
105,2,210,"{'maxhp',440},{'demage',528}"
105,3,210,"{'maxhp',660},{'demage',792}"
105,4,210,"{'maxhp',1100},{'demage',1320}"
105,5,210,"{'maxhp',2200},{'demage',2640}"
105,6,210,"{'maxhp',5500},{'demage',6600}"
106,1,210,"{'maxhp',300},{'demage',360}"
106,2,210,"{'maxhp',600},{'demage',720}"
106,3,210,"{'maxhp',900},{'demage',1080}"
106,4,210,"{'maxhp',1500},{'demage',1800}"
106,5,210,"{'maxhp',3000},{'demage',3600}"
106,6,210,"{'maxhp',7500},{'demage',9000}"
107,1,210,"{'maxhp',390},{'demage',468}"
107,2,210,"{'maxhp',780},{'demage',936}"
107,3,210,"{'maxhp',1170},{'demage',1404}"
107,4,210,"{'maxhp',1950},{'demage',2340}"
107,5,210,"{'maxhp',3900},{'demage',4680}"
107,6,210,"{'maxhp',9750},{'demage',11700}"
108,1,210,"{'maxhp',500},{'demage',600}"
108,2,210,"{'maxhp',1000},{'demage',1200}"
108,3,210,"{'maxhp',1500},{'demage',1800}"
108,4,210,"{'maxhp',2500},{'demage',3000}"
108,5,210,"{'maxhp',5000},{'demage',6000}"
108,6,210,"{'maxhp',12500},{'demage',15000}"
109,1,210,"{'maxhp',622},{'demage',744}"
109,2,210,"{'maxhp',1244},{'demage',1488}"
109,3,210,"{'maxhp',1866},{'demage',2232}"
109,4,210,"{'maxhp',3110},{'demage',3720}"
109,5,210,"{'maxhp',6220},{'demage',7440}"
109,6,210,"{'maxhp',15550},{'demage',18600}"
110,1,210,"{'maxhp',750},{'demage',900}"
110,2,210,"{'maxhp',1500},{'demage',1800}"
110,3,210,"{'maxhp',2250},{'demage',2700}"
110,4,210,"{'maxhp',3750},{'demage',4500}"
110,5,210,"{'maxhp',7500},{'demage',9000}"
110,6,210,"{'maxhp',18750},{'demage',22500}"
111,1,210,"{'maxhp',930},{'demage',1116}"
111,2,210,"{'maxhp',1860},{'demage',2232}"
111,3,210,"{'maxhp',2790},{'demage',3348}"
111,4,210,"{'maxhp',4650},{'demage',5580}"
111,5,210,"{'maxhp',9300},{'demage',11160}"
111,6,210,"{'maxhp',23250},{'demage',27900}"
112,1,210,"{'maxhp',1150},{'demage',1380}"
112,2,210,"{'maxhp',2300},{'demage',2760}"
112,3,210,"{'maxhp',3450},{'demage',4140}"
112,4,210,"{'maxhp',5750},{'demage',6900}"
112,5,210,"{'maxhp',11500},{'demage',13800}"
112,6,210,"{'maxhp',28750},{'demage',34500}"
113,1,210,"{'maxhp',1400},{'demage',1680}"
113,2,210,"{'maxhp',2800},{'demage',3360}"
113,3,210,"{'maxhp',4200},{'demage',5040}"
113,4,210,"{'maxhp',7000},{'demage',8400}"
113,5,210,"{'maxhp',14000},{'demage',16800}"
113,6,210,"{'maxhp',35000},{'demage',42000}"
901,5,202,"{'maxhp',3000},{'demage',4500}"
100,1,201,"{'demage',8},{'hujia',8}"
100,2,201,"{'demage',17},{'hujia',16}"
100,3,201,"{'demage',25},{'hujia',24}"
100,4,201,"{'demage',42},{'hujia',40}"
100,1,202,"{'maxhp',10},{'demage',15}"
100,2,202,"{'maxhp',20},{'demage',30}"
100,3,202,"{'maxhp',30},{'demage',45}"
100,4,202,"{'maxhp',50},{'demage',75}"
100,1,203,"{'maxhp',60},{'hujia',24}"
100,2,203,"{'maxhp',120},{'hujia',48}"
100,3,203,"{'maxhp',180},{'hujia',72}"
100,4,203,"{'maxhp',300},{'hujia',120}"
100,1,204,"{'maxhp',30},{'demage',9}"
100,2,204,"{'maxhp',60},{'demage',19}"
100,3,204,"{'maxhp',90},{'demage',28}"
100,4,204,"{'maxhp',150},{'demage',47}"
100,1,205,"{'maxhp',30},{'demage',9}"
100,2,205,"{'maxhp',60},{'demage',19}"
100,3,205,"{'maxhp',90},{'demage',28}"
100,4,205,"{'maxhp',150},{'demage',47}"
100,1,206,"{'demage',8},{'hujia',8}"
100,2,206,"{'demage',17},{'hujia',16}"
100,3,206,"{'demage',25},{'hujia',24}"
100,4,206,"{'demage',42},{'hujia',40}"
100,1,207,"{'demage',8},{'hujia',8}"
100,2,207,"{'demage',17},{'hujia',16}"
100,3,207,"{'demage',25},{'hujia',24}"
100,4,207,"{'demage',42},{'hujia',40}"
100,1,208,"{'demage',8},{'hujia',8}"
100,2,208,"{'demage',17},{'hujia',16}"
100,3,208,"{'demage',25},{'hujia',24}"
100,4,208,"{'demage',42},{'hujia',40}"
100,1,209,"{'maxhp',60},{'hujia',24}"
100,2,209,"{'maxhp',120},{'hujia',48}"
100,3,209,"{'maxhp',180},{'hujia',72}"
100,4,209,"{'maxhp',300},{'hujia',120}"
100,1,210,"{'maxhp',10},{'demage',12}"
100,2,210,"{'maxhp',20},{'demage',24}"
100,3,210,"{'maxhp',30},{'demage',36}"
100,4,210,"{'maxhp',50},{'demage',60}"
