daxie,名字,缩放,镜像,骨骼操作,模型名,换装,二进制加载
1074,逍遥技能03,,,,data/sprite/effect/LongYin,,
1075,逍遥技能04,,,,data/sprite/effect/MoYanTaoTian,,
1076,逍遥技能05,,,,data/sprite/effect/ShuangLongXiZhu,,
1077,魔王技能01,,,,data/sprite/effect/FeiShaZouShi,,
1078,魔王技能02,,,,data/sprite/effect/SanWeiZhenHuo,,
1079,魔王技能03,,,,data/sprite/effect/YanLuoLing,,
1080,魔王技能04,,,,data/sprite/effect/FeiXingLiuHuo,,
1081,魔王技能05,,,,data/sprite/effect/SanYangKaiTai,,
1082,爆炸,,,,data/sprite/effect/baoza01,,
1083,剑,,,,data/sprite/effect/danjiuyan,,
1084,飞剑,,,,data/sprite/effect/feijian01,,
1085,佛光,,,,data/sprite/effect/foguang,,
1086,符咒,,,,data/sprite/effect/fuzhou,,
1087,破龙击,,,,data/sprite/effect/polongji,,
1088,水龙,,,,data/sprite/effect/shuilong,,
1089,无量剑,,,,data/sprite/effect/wuliangjian,,
1090,星光,,,,data/sprite/effect/xingguangxialuo,,
1091,玉女,,,,data/sprite/effect/yunvjianfa,,
1092,冰锥,,,,data/sprite/effect/bingzui,,
1093,冰锥02,,,,data/sprite/effect/bingzui02,,
1094,鬼魂,,,,data/sprite/effect/guihun,,
1095,鬼魂02,,,,data/sprite/effect/guihun02,,
1096,鬼魂03,,,,data/sprite/effect/guihun03,,
1097,火柱,,,,data/sprite/effect/huozhu,,
1098,剑灵,,,,data/sprite/effect/jianling,,
1099,酒葫芦,,,,data/sprite/effect/jiushen,,
1100,龙卷风,,,,data/sprite/effect/longjuanfeng,,
1101,三味真火,,,,data/sprite/effect/sanweizhenhuo,,
1102,下毒,,,,data/sprite/effect/xiadu,,
1103,越女剑,,,,data/sprite/effect/yuenvjian,,
1104,神武技能09,,,,data/sprite/effect/DaoGuang,,
1105,毒03,,,,data/sprite/effect/du03,,
1106,毒04,,,,data/sprite/effect/du04,,
1107,毒05,,,,data/sprite/effect/du05,,
1108,水06,,,,data/sprite/effect/shui06,,
1109,不屈战魂,,,,data/sprite/effect/buquzhanhun,,
1110,浪,,,,data/sprite/effect/lang,,
1111,绿风,,,,data/sprite/effect/lvfeng,,
1112,施法旋风,,,,data/sprite/effect/xuanfeng,,
1113,施法01,,,,data/sprite/effect/shifa01,,
1114,施法旋风02,,,,data/sprite/effect/xuanfeng02,,
1115,魔王技能06,,,,data/sprite/effect/fenshendaji,,
1116,魔王技能07,,,,data/sprite/effect/fenshendaji02,,
1117,魔王技能08,,,,data/sprite/effect/fenshendaji03,,
1118,连击,,,,data/sprite/effect/lianji,,
1119,霸王拳,,,,data/sprite/effect/bawangquan,,
1120,毒液02,,,,data/sprite/effect/duye02,,
1121,毒液03,,,,data/sprite/effect/duye03,,
1122,毒液04,,,,data/sprite/effect/duye04,,
1123,毒液05,,,,data/sprite/effect/duye05,,
1124,飞龙,,,,data/sprite/effect/feilong,,
1125,佛门01,,,,data/sprite/effect/fomen,,
1126,佛门02,,,,data/sprite/effect/fomen02,,
1127,光阵,,,,data/sprite/effect/guangzhen,,
1128,光柱,,,,data/sprite/effect/guangzhu,,
1129,花瓣,,,,data/sprite/effect/huaban,,
1130,火焰,,,,data/sprite/effect/huoyan,,
1131,灵剑01,,,,data/sprite/effect/lingjian,,
1132,灵剑02,,,,data/sprite/effect/lingjian02,,
1133,灵剑03,,,,data/sprite/effect/lingjian03,,
1134,龙卷风02,,,,data/sprite/effect/longjuanfeng02,,
1135,劈刀,,,,data/sprite/effect/pidao,,
1136,少林拳,,,,data/sprite/effect/shaolinquan,,
1137,水涡,,,,data/sprite/effect/shuiwo,,
1138,无敌斩,,,,data/sprite/effect/wudizhan,,
1139,罩子,,,,data/sprite/effect/zhaozi,,
1140,飞刀,,,,data/sprite/effect/feidao,,
1141,受击02,,,,data/sprite/effect/shouji02,,
1142,受击03,,,,data/sprite/effect/shouji03,,
1143,受击04,,,,data/sprite/effect/shouji04,,
1144,受击05,,,,data/sprite/effect/shouji05,,
1145,受击06,,,,data/sprite/effect/shouji06,,
1146,受击07,,,,data/sprite/effect/shouji07,,
1147,受击08,,,,data/sprite/effect/shouji08,,
1148,受击09,,,,data/sprite/effect/shouji09,,
1149,受击10,,,,data/sprite/effect/shouji10,,
1150,受击11,,,,data/sprite/effect/shouji11,,
1151,受击12,,,,data/sprite/effect/shouji12,,
1152,主角技能名01,,,,data/sprite/effect/jn31001,,
1153,主角技能名02,,,,data/sprite/effect/jn31002,,
1154,主角技能名03,,,,data/sprite/effect/jn31003,,
1155,主角技能名04,,,,data/sprite/effect/jn31004,,
1156,主角技能名05,,,,data/sprite/effect/jn31005,,
1157,主角技能名06,,,,data/sprite/effect/jn32001,,
1158,主角技能名07,,,,data/sprite/effect/jn32002,,
1159,主角技能名08,,,,data/sprite/effect/jn32003,,
1160,主角技能名09,,,,data/sprite/effect/jn32004,,
1161,主角技能名10,,,,data/sprite/effect/jn32005,,
1162,主角技能名11,,,,data/sprite/effect/jn33001,,
1163,主角技能名12,,,,data/sprite/effect/jn33002,,
1164,主角技能名13,,,,data/sprite/effect/jn33003,,
1165,主角技能名14,,,,data/sprite/effect/jn33004,,
1166,主角技能名15,,,,data/sprite/effect/jn33005,,
1167,神武技能10,,,,data/sprite/effect/fenshenji,,
1168,神武技能11,,,,data/sprite/effect/fenshenji_chongci,,
1169,冰柱,,,,data/sprite/effect/32bingzhu,,
1170,符咒击,,,,data/sprite/effect/32fuzhou,,
1171,符咒击02,,,,data/sprite/effect/32fuzhou02,,
1172,鬼魂击02,,,,data/sprite/effect/32guihun02,,
1173,鬼手击,,,,data/sprite/effect/32guishou,,
1174,火焰飞溅,,,,data/sprite/effect/32huoyanfeijian,,
1175,狂风击,,,,data/sprite/effect/32kuangfeng03,,
1176,破击,,,,data/sprite/effect/32poji,,
1177,狮子吼,,,,data/sprite/effect/32shizi,,
1178,锁链,,,,data/sprite/effect/32suolian,,
1179,八卦,,,,data/sprite/effect/bagua,,
1180,冰柱阵,,,,data/sprite/effect/bingquan,,
1181,雷电击,,,,data/sprite/effect/dianji,,
1182,鼎,,,,data/sprite/effect/ding,,
1183,鬼魂击,,,,data/sprite/effect/guihun04,,
1184,鬼手击02,,,,data/sprite/effect/guishou02,,
1185,鬼手击03,,,,data/sprite/effect/guishou03,,
1186,荷花击,,,,data/sprite/effect/hehua,,
1187,黑风击,,,,data/sprite/effect/heifeng,,
1188,恐惧,,,,data/sprite/effect/kongju,,
1189,狂风击,,,,data/sprite/effect/kuangfeng,,
1190,狂风击02,,,,data/sprite/effect/kuangfeng02,,
1191,狂风击04,,,,data/sprite/effect/kuangfeng04,,
1192,狂风击05,,,,data/sprite/effect/kuangfeng05,,
1193,雷震子雷击,,,,data/sprite/effect/leizhenziji,,
1194,龙击03,,,,data/sprite/effect/longji03,,
1195,圣水击,,,,data/sprite/effect/shengshui02,,
1196,水爆击,,,,data/sprite/effect/shuibaoji,,
1197,树藤,,,,data/sprite/effect/shuteng,,
1198,塔,,,,data/sprite/effect/ta,,
1199,受击13,,,,data/sprite/effect/32shouji13,,
1200,受击14,,,,data/sprite/effect/32shouji14,,
1201,受击15,,,,data/sprite/effect/32shouji15,,
1202,受击16,,,,data/sprite/effect/32shouji16,,
1203,冰块,,,,data/sprite/effect/32bingkuai,,
1204,水技01,,,,data/sprite/effect/32shuiji01,,
1205,黑云雷击,,,,data/sprite/effect/heiyunleiji,,
1206,水技02,,,,data/sprite/effect/shuiji02,,
1207,猴子猴孙,,,,data/sprite/effect/wukong,,
1208,猴子猴孙02,,,,data/sprite/effect/wukong02,,
1209,绿色受击,,,,data/sprite/effect/32shouji17,,
1210,buff破甲,,,,data/sprite/effect/BeiPoJia,,
1211,buff伤害降低,,,,data/sprite/effect/ShangHaiJiangDi,,
1212,buff保护罩,,,,data/sprite/effect/ShangHaiJianShao,,
1213,buff伤害提升,,,,data/sprite/effect/ShangHaiTiSheng,,
1214,buff眩晕,,,,data/sprite/effect/XuanYun,,
1215,元素击,,,,data/sprite/effect/yuansuguangji,,
1216,连续爆击,,,,data/sprite/effect/32lianxubaoji,,
1217,佛光击,,,,data/sprite/effect/foguangji,,
1218,花击,,,,data/sprite/effect/32huajineng,,
1219,光柱击,,,,data/sprite/effect/guangzhuji,,
1220,蓝色符咒,,,,data/sprite/effect/32fuzhou03,,
1221,红色狂风,,,,data/sprite/effect/kuangfeng06,,
1222,爆裂,,,,data/sprite/effect/baolie,,
1223,冰封,,,,data/sprite/effect/bingfeng,,
1224,地面半月,,,,data/sprite/effect/dimianbanyue,,
1225,飞轮,,,,data/sprite/effect/feilun,,
1226,魂飞魄散,,,,data/sprite/effect/hunfeiposhan,,
1227,剑击,,,,data/sprite/effect/jianji,,
1228,冒火,,,,data/sprite/effect/maohuo,,
1229,冒火02,,,,data/sprite/effect/maohuo02,,
1230,铁锤,,,,data/sprite/effect/tiechui,,
1231,万箭穿心,,,,data/sprite/effect/wanjianchuanxin,,
1232,五雷01,,,,data/sprite/effect/wulei,,
1233,五雷02,,,,data/sprite/effect/wulei02,,
1234,五雷03,,,,data/sprite/effect/wulei03,,
1235,五雷04,,,,data/sprite/effect/wulei04,,
1236,五雷05,,,,data/sprite/effect/wulei05,,
1237,山,,,,data/sprite/effect/32shan,,
9002,通用死亡特效,,,,data/sprite/effect/Death,,
9003,抓宠特效,,,,data/sprite/effect/buzhuo,,
9007,升级特效,,,,data/sprite/effect/shengji,,
9008,强化特效,,,,data/sprite/screen_effect/qianghua,,
9009,溶解特效,,,,data/sprite/screen_effect/rongjie,,
9010,捕捉成功,,,,data/sprite/screen_effect/buzhuochenggong,,
9011,朱果,,,,data/sprite/screen_effect/zhuguo,,
9012,蟠桃,,,,data/sprite/screen_effect/pantao,,
9013,人参果,,,,data/sprite/screen_effect/renshenguo,,
9014,押镖01,,,,data/sprite/screen_effect/yabiao01,,
9015,押镖02,,,,data/sprite/screen_effect/yabiao02,,
9016,押镖03,,,,data/sprite/screen_effect/yabiao03,,
9017,押镖04,,,,data/sprite/screen_effect/yabiao04,,
9018,押镖05,,,,data/sprite/screen_effect/yabiao05,,
9019,争霸宝箱01,0.6,,,data/sprite/effect/kfzb_baoXiang01,,
9020,争霸宝箱02,0.6,,,data/sprite/effect/kfzb_baoXiang02,,
9021,争霸宝箱03,0.7,,,data/sprite/effect/kfzb_baoXiang03,,
9022,争霸宝箱04,0.8,,,data/sprite/effect/kfzb_baoXiang04,,
9023,争霸人族基地,0.8,,,data/sprite/effect/renzhu,,
9024,争霸仙族基地,0.8,,,data/sprite/effect/xianzhu,,
9025,争霸妖族基地,0.8,,,data/sprite/effect/yaozhu,,
9026,惊喜宝箱,,,,data/sprite/map_effect/BaoXiang,,
9027,钥匙,,,,data/sprite/map_effect/YaoShi,,
9028,钟馗身体,,,,data/sprite/map_effect/body,,
9029,钟馗手,,,,data/sprite/map_effect/Shou,,
9030,灯笼,,,,data/sprite/map_effect/DengLong,,
9031,聚集能量白色,,,,data/sprite/map_effect/juJi_baise,,
9036,云雾妖气,,,,data/sprite/map_effect/YaoQi,,
9038,飞升,,,,data/sprite/screen_effect/feiSheng,,
9039,聚集能量绿色,,,,data/sprite/map_effect/juJi_lvse,,
9040,聚集能量蓝色,,,,data/sprite/map_effect/juJi_lanse,,
9041,聚集能量紫色,,,,data/sprite/map_effect/juJi_zise,,
9042,聚集能量金色,,,,data/sprite/map_effect/juJi_jinse,,
