,名称缩写,技能系,说明,技能类型,技能伤害类型火FIRE 冰ICE 神圣HOLY 黑暗DARKLY 无NONE,吟唱 持续施法效果,目标类型,技能施法效果,表演时间500的倍数,恢复能量,恢复奥义,打断恢复,打断恢复奥义,持续施法恢复,持续施法恢复奥义,释放消耗能量,释放消耗奥义,普攻效果的触发,取消技能标示,技能cd时间,是否不可限制（1不可限制，0限制）,技能固定伤害,技能百分比伤害,单体技能（0是1否）,技能对象类型,flag
55034,坚硬皮肤,,第4回合开始，若自身仍存活在场上，则每回合结束时，对敌方输出最高的2人造成33.75%的伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'E46'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55035,横冲直撞,,坚硬皮肤造成的伤害变为40.5%,0,NONE,,{'SELF'},"{'BuffAStart', 'G13'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55036,巨灵神力,,坚硬皮肤攻击目标增加1人,0,NONE,,{'SELF'},"{'BuffAStart', 'G16'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55037,石化一击,,击中眩晕目标将造成180%的伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'G19'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55038,混沌之力,,提升四象轮回的伤害至230%,0,NONE,,{'SELF'},"{'BuffAStart', 'E48'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55039,灵猴慧根,,主动技能伤害增加4%,0,NONE,,{'SELF'},"{'BuffAStart', 'E50'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55040,狂暴一击,,攻击时无视对方50%的防御,0,NONE,,{'SELF'},"{'BuffAStart', 'E51'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55041,势如破竹,,使狂暴一击完全无视对方的防御,0,NONE,,{'SELF'},"{'BuffAStart', 'E52'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55042,暴怒猛击,,攻击时必定造成暴击伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'E53'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55043,不死不灭,,死亡后20%概率立即复活，保留生命值45%，最多复活3次,0,NONE,,{'SELF'},"{'BuffAStart', 'E54'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55044,猩红之力,,不死不灭复活概率提升为40%,0,NONE,,{'SELF'},"{'BuffAStart', 'E55'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55045,生生不息,,回合开始回复生命8%,0,NONE,,{'SELF'},"{'BuffAStart', 'E56'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55046,凶狠反击,,受到攻击时反弹受到伤害的22%给攻击者（只计算直接攻击）,0,NONE,,{'SELF'},"{'BuffAStart', 'E57'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55047,野蛮之力,,凶狠反击反弹的伤害增加13%,0,NONE,,{'SELF'},"{'BuffAStart', 'E59'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55048,硬化皮肤,,受到PVP伤害降低20%,0,NONE,,{'SELF'},"{'BuffAStart', 'E61'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55049,灼火之心,,攻击附带灼烧，目标每回合减少生命5%，持续3回合，BOSS无效,0,NONE,,{'SELF'},"{'BuffAStart', 'E63'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55050,灵魂烈焰,,灼火之心每回合灼烧伤害增加2%,0,NONE,,{'SELF'},"{'BuffAStart', 'E64'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55051,野兽之心,,主动技能伤害+3%,0,NONE,,{'SELF'},"{'BuffAStart', 'E65'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55052,蓄力一击,,蓄力一回合，蓄力后的一次攻击将造成300%的伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'E66'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55053,伤害加深,,使蓄力一击的伤害增加至380%,0,NONE,,{'SELF'},"{'BuffAStart', 'E67'}",0,0,0,0,,0,,0,,,,,,0,,,,0
55054,势在必得,,使蓄力一击无法被闪避,0,NONE,,{'SELF'},"{'BuffAStart', 'E68'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60071,虚弱,,攻击时有10%概率使目标下回合伤害降低15%,0,NONE,,{'NORMAL'},"{'BuffAStart', 'B1',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60072,虚弱,,攻击时有10%概率使目标下回合伤害降低18%,0,NONE,,{'NORMAL'},"{'BuffAStart', 'B3',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60073,虚弱,,攻击时有10%概率使目标下回合伤害降低21%,0,NONE,,{'NORMAL'},"{'BuffAStart', 'B5',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60074,虚弱,,攻击时有10%概率使目标下回合伤害降低24%,0,NONE,,{'NORMAL'},"{'BuffAStart', 'B7',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60075,虚弱,,攻击时有10%概率使目标下回合伤害降低27%,0,NONE,,{'NORMAL'},"{'BuffAStart', 'B9',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60076,虚弱,,攻击时有10%概率使目标下回合伤害降低30%,0,NONE,,{'NORMAL'},"{'BuffAStart', 'B11',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60077,虚弱,,攻击时有10%概率使目标下回合伤害降低33%,0,NONE,,{'NORMAL'},"{'BuffAStart', 'B13',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60078,穿甲,,攻击时有10%概率使目标下回合防御降低30%,0,NONE,,{'NORMAL'},"{'BuffAStart', 'B15',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60079,穿甲,,攻击时有10%概率使目标下回合防御降低35%,0,NONE,,{'NORMAL'},"{'BuffAStart', 'B17',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60080,穿甲,,攻击时有10%概率使目标下回合防御降低40%,0,NONE,,{'NORMAL'},"{'BuffAStart', 'B19',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60081,穿甲,,攻击时有10%概率使目标下回合防御降低45%,0,NONE,,{'NORMAL'},"{'BuffAStart', 'B21',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60082,穿甲,,攻击时有10%概率使目标下回合防御降低50%,0,NONE,,{'NORMAL'},"{'BuffAStart', 'B23',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60083,穿甲,,攻击时有10%概率使目标下回合防御降低55%,0,NONE,,{'NORMAL'},"{'BuffAStart', 'B25',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60084,穿甲,,攻击时有10%概率使目标下回合防御降低60%,0,NONE,,{'NORMAL'},"{'BuffAStart', 'B27',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60085,暴击,,攻击时有10%概率提升当前技能20%暴击率,0,NONE,,{'SELF'},"{'BuffAStart', 'B29',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60086,暴击,,攻击时有10%概率提升当前技能25%暴击率,0,NONE,,{'SELF'},"{'BuffAStart', 'B31',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60087,暴击,,攻击时有10%概率提升当前技能30%暴击率,0,NONE,,{'SELF'},"{'BuffAStart', 'B33',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60088,暴击,,攻击时有10%概率提升当前技能35%暴击率,0,NONE,,{'SELF'},"{'BuffAStart', 'B35',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60089,暴击,,攻击时有10%概率提升当前技能40%暴击率,0,NONE,,{'SELF'},"{'BuffAStart', 'B37',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60090,暴击,,攻击时有10%概率提升当前技能45%暴击率,0,NONE,,{'SELF'},"{'BuffAStart', 'B39',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60091,暴击,,攻击时有10%概率提升当前技能50%暴击率,0,NONE,,{'SELF'},"{'BuffAStart', 'B41',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60092,吸血,,攻击时有10%概率将造成伤害的8%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B43'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60093,吸血,,攻击时有10%概率将造成伤害的12%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B45'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60094,吸血,,攻击时有10%概率将造成伤害的16%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B47'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60095,吸血,,攻击时有10%概率将造成伤害的20%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B49'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60096,吸血,,攻击时有10%概率将造成伤害的24%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B51'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60097,吸血,,攻击时有10%概率将造成伤害的28%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B53'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60098,吸血,,攻击时有10%概率将造成伤害的32%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B55'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60099,吸收,,受到单体攻击时有10%概率吸收当前伤害8%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B57'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60100,吸收,,受到单体攻击时有10%概率吸收当前伤害12%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B59'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60101,吸收,,受到单体攻击时有10%概率吸收当前伤害16%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B61'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60102,吸收,,受到单体攻击时有10%概率吸收当前伤害20%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B63'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60103,吸收,,受到单体攻击时有10%概率吸收当前伤害24%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B65'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60104,吸收,,受到单体攻击时有10%概率吸收当前伤害28%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B67'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60105,吸收,,受到单体攻击时有10%概率吸收当前伤害32%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B69'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60106,复仇,,受到单体攻击时有10%概率提升下回合15%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B71',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60107,复仇,,受到单体攻击时有10%概率提升下回合18%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B73',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60108,复仇,,受到单体攻击时有10%概率提升下回合21%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B75',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60109,复仇,,受到单体攻击时有10%概率提升下回合24%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B77',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60110,复仇,,受到单体攻击时有10%概率提升下回合27%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B79',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60111,复仇,,受到单体攻击时有10%概率提升下回合30%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B81',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60112,复仇,,受到单体攻击时有10%概率提升下回合33%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B83',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60113,强韧,,受到单体攻击时有10%概率下回合减免15%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B85',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60114,强韧,,受到单体攻击时有10%概率下回合减免18%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B87',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60115,强韧,,受到单体攻击时有10%概率下回合减免21%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B89',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60116,强韧,,受到单体攻击时有10%概率下回合减免24%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B91',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60117,强韧,,受到单体攻击时有10%概率下回合减免27%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B93',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60118,强韧,,受到单体攻击时有10%概率下回合减免30%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B95',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60119,强韧,,受到单体攻击时有10%概率下回合减免33%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B97',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60120,怒击,,攻击时有10%概率提升当前技能18%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B99'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60121,怒击,,攻击时有10%概率提升当前技能22%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B101'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60122,怒击,,攻击时有10%概率提升当前技能26%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B103'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60123,怒击,,攻击时有10%概率提升当前技能30%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B105'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60124,怒击,,攻击时有10%概率提升当前技能34%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B107'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60125,怒击,,攻击时有10%概率提升当前技能38%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B109'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60126,怒击,,攻击时有10%概率提升当前技能42%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B111'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60127,晕厥,,攻击时有6%概率触发眩晕（持续一回合）,0,NONE,,{'SELF'},"{'BuffAStart', 'B113'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60128,晕厥,,攻击时有6.5%概率触发眩晕（持续一回合）,0,NONE,,{'SELF'},"{'BuffAStart', 'B115'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60129,晕厥,,攻击时有7%概率触发眩晕（持续一回合）,0,NONE,,{'SELF'},"{'BuffAStart', 'B117'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60130,晕厥,,攻击时有7.5%概率触发眩晕（持续一回合）,0,NONE,,{'SELF'},"{'BuffAStart', 'B119'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60131,晕厥,,攻击时有8%概率触发眩晕（持续一回合）,0,NONE,,{'SELF'},"{'BuffAStart', 'B121'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60132,晕厥,,攻击时有8.5%概率触发眩晕（持续一回合）,0,NONE,,{'SELF'},"{'BuffAStart', 'B123'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60133,晕厥,,攻击时有9%概率触发眩晕（持续一回合）,0,NONE,,{'SELF'},"{'BuffAStart', 'B125'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60134,反击,,受到单体攻击时有5%概率反击攻击者,0,NONE,,{'SELF'},"{'BuffAStart', 'B127'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60135,反击,,受到单体攻击时有5.5%概率反击攻击者,0,NONE,,{'SELF'},"{'BuffAStart', 'B129'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60136,反击,,受到单体攻击时有6%概率反击攻击者,0,NONE,,{'SELF'},"{'BuffAStart', 'B131'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60137,反击,,受到单体攻击时有6.5%概率反击攻击者,0,NONE,,{'SELF'},"{'BuffAStart', 'B133'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60138,反击,,受到单体攻击时有7%概率反击攻击者,0,NONE,,{'SELF'},"{'BuffAStart', 'B135'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60139,反击,,受到单体攻击时有7.5%概率反击攻击者,0,NONE,,{'SELF'},"{'BuffAStart', 'B137'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60140,反击,,受到单体攻击时有8%概率反击攻击者,0,NONE,,{'SELF'},"{'BuffAStart', 'B139'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60141,连击,,攻击时有5%概率触发连击,0,NONE,,{'SELF'},"{'BuffAStart', 'B141'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60142,连击,,攻击时有5.5%概率触发连击,0,NONE,,{'SELF'},"{'BuffAStart', 'B143'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60143,连击,,攻击时有6%概率触发连击,0,NONE,,{'SELF'},"{'BuffAStart', 'B145'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60144,连击,,攻击时有6.5%概率触发连击,0,NONE,,{'SELF'},"{'BuffAStart', 'B147'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60145,连击,,攻击时有7%概率触发连击,0,NONE,,{'SELF'},"{'BuffAStart', 'B149'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60146,连击,,攻击时有7.5%概率触发连击,0,NONE,,{'SELF'},"{'BuffAStart', 'B151'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60147,连击,,攻击时有8%概率触发连击,0,NONE,,{'SELF'},"{'BuffAStart', 'B153'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60148,法术虚弱,,攻击时有10%概率使目标下回合伤害降低6%,0,NONE,,{'SELF'},"{'BuffAStart', 'B155',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60149,法术虚弱,,攻击时有10%概率使目标下回合伤害降低8%,0,NONE,,{'SELF'},"{'BuffAStart', 'B157',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60150,法术虚弱,,攻击时有10%概率使目标下回合伤害降低10%,0,NONE,,{'SELF'},"{'BuffAStart', 'B159',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60151,法术虚弱,,攻击时有10%概率使目标下回合伤害降低12%,0,NONE,,{'SELF'},"{'BuffAStart', 'B161',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60152,法术虚弱,,攻击时有10%概率使目标下回合伤害降低14%,0,NONE,,{'SELF'},"{'BuffAStart', 'B163',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60153,法术虚弱,,攻击时有10%概率使目标下回合伤害降低16%,0,NONE,,{'SELF'},"{'BuffAStart', 'B165',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60154,法术虚弱,,攻击时有10%概率使目标下回合伤害降低18%,0,NONE,,{'SELF'},"{'BuffAStart', 'B167',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60155,法术穿甲,,攻击时有10%概率使目标下回合防御降低20%,0,NONE,,{'SELF'},"{'BuffAStart', 'B169',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60156,法术穿甲,,攻击时有10%概率使目标下回合防御降低23%,0,NONE,,{'SELF'},"{'BuffAStart', 'B171',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60157,法术穿甲,,攻击时有10%概率使目标下回合防御降低26%,0,NONE,,{'SELF'},"{'BuffAStart', 'B173',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60158,法术穿甲,,攻击时有10%概率使目标下回合防御降低29%,0,NONE,,{'SELF'},"{'BuffAStart', 'B175',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60159,法术穿甲,,攻击时有10%概率使目标下回合防御降低32%,0,NONE,,{'SELF'},"{'BuffAStart', 'B177',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60160,法术穿甲,,攻击时有10%概率使目标下回合防御降低35%,0,NONE,,{'SELF'},"{'BuffAStart', 'B179',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60161,法术穿甲,,攻击时有10%概率使目标下回合防御降低38%,0,NONE,,{'SELF'},"{'BuffAStart', 'B181',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60162,法术暴击,,攻击时有10%概率提升当前技能20%暴击率,0,NONE,,{'SELF'},"{'BuffAStart', 'B183',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60163,法术暴击,,攻击时有10%概率提升当前技能25%暴击率,0,NONE,,{'SELF'},"{'BuffAStart', 'B185',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60164,法术暴击,,攻击时有10%概率提升当前技能30%暴击率,0,NONE,,{'SELF'},"{'BuffAStart', 'B187',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60165,法术暴击,,攻击时有10%概率提升当前技能35%暴击率,0,NONE,,{'SELF'},"{'BuffAStart', 'B189',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60166,法术暴击,,攻击时有10%概率提升当前技能40%暴击率,0,NONE,,{'SELF'},"{'BuffAStart', 'B191',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60167,法术暴击,,攻击时有10%概率提升当前技能45%暴击率,0,NONE,,{'SELF'},"{'BuffAStart', 'B193',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60168,法术暴击,,攻击时有10%概率提升当前技能50%暴击率,0,NONE,,{'SELF'},"{'BuffAStart', 'B195',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60169,法术吸血,,攻击时有10%概率将造成伤害的6%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B197'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60170,法术吸血,,攻击时有10%概率将造成伤害的8%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B199'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60171,法术吸血,,攻击时有10%概率将造成伤害的10%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B201'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60172,法术吸血,,攻击时有10%概率将造成伤害的12%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B203'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60173,法术吸血,,攻击时有10%概率将造成伤害的14%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B205'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60174,法术吸血,,攻击时有10%概率将造成伤害的16%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B207'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60175,法术吸血,,攻击时有10%概率将造成伤害的18%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B209'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60176,法术吸收,,受到群体攻击时有10%概率吸收当前伤害6%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B211'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60177,法术吸收,,受到群体攻击时有10%概率吸收当前伤害8%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B213'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60178,法术吸收,,受到群体攻击时有10%概率吸收当前伤害10%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B215'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60179,法术吸收,,受到群体攻击时有10%概率吸收当前伤害12%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B217'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60180,法术吸收,,受到群体攻击时有10%概率吸收当前伤害14%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B219'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60181,法术吸收,,受到群体攻击时有10%概率吸收当前伤害16%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B221'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60182,法术吸收,,受到群体攻击时有10%概率吸收当前伤害18%转化为生命,0,NONE,,{'SELF'},"{'BuffAStart', 'B223'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60183,法术复仇,,受到群体攻击时有10%概率提升下回合6%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B225',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60184,法术复仇,,受到群体攻击时有10%概率提升下回合8%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B227',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60185,法术复仇,,受到群体攻击时有10%概率提升下回合10%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B229',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60186,法术复仇,,受到群体攻击时有10%概率提升下回合12%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B231',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60187,法术复仇,,受到群体攻击时有10%概率提升下回合14%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B233',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60188,法术复仇,,受到群体攻击时有10%概率提升下回合16%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B235',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60189,法术复仇,,受到群体攻击时有10%概率提升下回合18%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B237',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60190,法术强韧,,受到群体攻击时有10%概率下回合减免6%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B239',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60191,法术强韧,,受到群体攻击时有10%概率下回合减免8%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B241',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60192,法术强韧,,受到群体攻击时有10%概率下回合减免10%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B243',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60193,法术强韧,,受到群体攻击时有10%概率下回合减免12%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B245',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60194,法术强韧,,受到群体攻击时有10%概率下回合减免14%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B247',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60195,法术强韧,,受到群体攻击时有10%概率下回合减免16%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B249',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60196,法术强韧,,受到群体攻击时有10%概率下回合减免18%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B251',Delay=1}",0,0,0,0,,0,,0,,,,,,0,,,,0
60197,法术怒击,,受到群体攻击时有10%概率提升当前技能16%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B253'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60198,法术怒击,,受到群体攻击时有10%概率提升当前技能19%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B255'}",0,0,0,0,,0,,0,,,,,,0,,,,0
60199,法术怒击,,受到群体攻击时有10%概率提升当前技能22%伤害,0,NONE,,{'SELF'},"{'BuffAStart', 'B257'}",0,0,0,0,,0,,0,,,,,,0,,,,0
