索引,说明,名称,装备名称,摘要 简单描述,物品图标,堆叠数量,物品等级,使用等级,类型(通用装备的大类2),子类型,装备位置
10340,女儿国王 位置2,女（甲）,10阶战甲,,10002,1,10,10,2,582,2
10341,女儿国王 位置3,女（靴）,1阶战靴,,10003,1,1,1,2,583,3
10342,女儿国王 位置3,女（靴）,2阶战靴,,10003,1,2,2,2,583,3
10343,女儿国王 位置3,女（靴）,3阶战靴,,10003,1,3,3,2,583,3
10344,女儿国王 位置3,女（靴）,4阶战靴,,10003,1,4,4,2,583,3
10345,女儿国王 位置3,女（靴）,5阶战靴,,10003,1,5,5,2,583,3
10346,女儿国王 位置3,女（靴）,6阶战靴,,10003,1,6,6,2,583,3
10347,女儿国王 位置3,女（靴）,7阶战靴,,10003,1,7,7,2,583,3
10348,女儿国王 位置3,女（靴）,8阶战靴,,10003,1,8,8,2,583,3
10349,女儿国王 位置3,女（靴）,9阶战靴,,10003,1,9,9,2,583,3
10350,女儿国王 位置3,女（靴）,10阶战靴,,10003,1,10,10,2,583,3
10351,女儿国王 位置4,女（符）,1阶战符,,10004,1,1,1,2,584,4
10352,女儿国王 位置4,女（符）,2阶战符,,10004,1,2,2,2,584,4
10353,女儿国王 位置4,女（符）,3阶战符,,10004,1,3,3,2,584,4
10354,女儿国王 位置4,女（符）,4阶战符,,10004,1,4,4,2,584,4
10355,女儿国王 位置4,女（符）,5阶战符,,10004,1,5,5,2,584,4
10356,女儿国王 位置4,女（符）,6阶战符,,10004,1,6,6,2,584,4
10357,女儿国王 位置4,女（符）,7阶战符,,10004,1,7,7,2,584,4
10358,女儿国王 位置4,女（符）,8阶战符,,10004,1,8,8,2,584,4
10359,女儿国王 位置4,女（符）,9阶战符,,10004,1,9,9,2,584,4
10360,女儿国王 位置4,女（符）,10阶战符,,10004,1,10,10,2,584,4
10361,仙位 位置1,位（正）,1阶正气,,10001,1,1,1,2,591,1
10362,仙位 位置1,位（正）,2阶正气,,10001,1,2,2,2,591,1
10363,仙位 位置1,位（正）,3阶正气,,10001,1,3,3,2,591,1
10364,仙位 位置1,位（正）,4阶正气,,10001,1,4,4,2,591,1
10365,仙位 位置1,位（正）,5阶正气,,10001,1,5,5,2,591,1
10366,仙位 位置1,位（正）,6阶正气,,10001,1,6,6,2,591,1
10367,仙位 位置1,位（正）,7阶正气,,10001,1,7,7,2,591,1
10368,仙位 位置1,位（正）,8阶正气,,10001,1,8,8,2,591,1
10369,仙位 位置1,位（正）,9阶正气,,10001,1,9,9,2,591,1
10370,仙位 位置1,位（正）,10阶正气,,10001,1,10,10,2,591,1
10371,仙位 位置2,位（阳）,1阶阳刚,,10002,1,1,1,2,592,2
10372,仙位 位置2,位（阳）,2阶阳刚,,10002,1,2,2,2,592,2
10373,仙位 位置2,位（阳）,3阶阳刚,,10002,1,3,3,2,592,2
10374,仙位 位置2,位（阳）,4阶阳刚,,10002,1,4,4,2,592,2
10375,仙位 位置2,位（阳）,5阶阳刚,,10002,1,5,5,2,592,2
10376,仙位 位置2,位（阳）,6阶阳刚,,10002,1,6,6,2,592,2
10377,仙位 位置2,位（阳）,7阶阳刚,,10002,1,7,7,2,592,2
10378,仙位 位置2,位（阳）,8阶阳刚,,10002,1,8,8,2,592,2
10379,仙位 位置2,位（阳）,9阶阳刚,,10002,1,9,9,2,592,2
10380,仙位 位置2,位（阳）,10阶阳刚,,10002,1,10,10,2,592,2
10381,仙位 位置3,位（阴）,1阶阴柔,,10003,1,1,1,2,593,3
10382,仙位 位置3,位（阴）,2阶阴柔,,10003,1,2,2,2,593,3
10383,仙位 位置3,位（阴）,3阶阴柔,,10003,1,3,3,2,593,3
10384,仙位 位置3,位（阴）,4阶阴柔,,10003,1,4,4,2,593,3
10385,仙位 位置3,位（阴）,5阶阴柔,,10003,1,5,5,2,593,3
10386,仙位 位置3,位（阴）,6阶阴柔,,10003,1,6,6,2,593,3
10387,仙位 位置3,位（阴）,7阶阴柔,,10003,1,7,7,2,593,3
10388,仙位 位置3,位（阴）,8阶阴柔,,10003,1,8,8,2,593,3
10389,仙位 位置3,位（阴）,9阶阴柔,,10003,1,9,9,2,593,3
10390,仙位 位置3,位（阴）,10阶阴柔,,10003,1,10,10,2,593,3
10391,仙位 位置4,位（贯）,1阶贯通,,10004,1,1,1,2,594,4
10392,仙位 位置4,位（贯）,2阶贯通,,10004,1,2,2,2,594,4
10393,仙位 位置4,位（贯）,3阶贯通,,10004,1,3,3,2,594,4
10394,仙位 位置4,位（贯）,4阶贯通,,10004,1,4,4,2,594,4
10395,仙位 位置4,位（贯）,5阶贯通,,10004,1,5,5,2,594,4
10396,仙位 位置4,位（贯）,6阶贯通,,10004,1,6,6,2,594,4
10397,仙位 位置4,位（贯）,7阶贯通,,10004,1,7,7,2,594,4
10398,仙位 位置4,位（贯）,8阶贯通,,10004,1,8,8,2,594,4
10399,仙位 位置4,位（贯）,9阶贯通,,10004,1,9,9,2,594,4
10400,仙位 位置4,位（贯）,10阶贯通,,10004,1,10,10,2,594,4
10401,花辇 位置1,辇（灯）,1阶花灯,,10001,1,1,1,2,601,1
10402,花辇 位置1,辇（灯）,2阶花灯,,10001,1,2,2,2,601,1
10403,花辇 位置1,辇（灯）,3阶花灯,,10001,1,3,3,2,601,1
10404,花辇 位置1,辇（灯）,4阶花灯,,10001,1,4,4,2,601,1
10405,花辇 位置1,辇（灯）,5阶花灯,,10001,1,5,5,2,601,1
10406,花辇 位置1,辇（灯）,6阶花灯,,10001,1,6,6,2,601,1
10407,花辇 位置1,辇（灯）,7阶花灯,,10001,1,7,7,2,601,1
10408,花辇 位置1,辇（灯）,8阶花灯,,10001,1,8,8,2,601,1
10409,花辇 位置1,辇（灯）,9阶花灯,,10001,1,9,9,2,601,1
10410,花辇 位置1,辇（灯）,10阶花灯,,10001,1,10,10,2,601,1
10411,花辇 位置2,辇（铃）,1阶花铃,,10002,1,1,1,2,602,2
10412,花辇 位置2,辇（铃）,2阶花铃,,10002,1,2,2,2,602,2
10413,花辇 位置2,辇（铃）,3阶花铃,,10002,1,3,3,2,602,2
10414,花辇 位置2,辇（铃）,4阶花铃,,10002,1,4,4,2,602,2
10415,花辇 位置2,辇（铃）,5阶花铃,,10002,1,5,5,2,602,2
10416,花辇 位置2,辇（铃）,6阶花铃,,10002,1,6,6,2,602,2
10417,花辇 位置2,辇（铃）,7阶花铃,,10002,1,7,7,2,602,2
10418,花辇 位置2,辇（铃）,8阶花铃,,10002,1,8,8,2,602,2
10419,花辇 位置2,辇（铃）,9阶花铃,,10002,1,9,9,2,602,2
10420,花辇 位置2,辇（铃）,10阶花铃,,10002,1,10,10,2,602,2
10421,花辇 位置3,辇（环）,1阶花环,,10003,1,1,1,2,603,3
10422,花辇 位置3,辇（环）,2阶花环,,10003,1,2,2,2,603,3
10423,花辇 位置3,辇（环）,3阶花环,,10003,1,3,3,2,603,3
10424,花辇 位置3,辇（环）,4阶花环,,10003,1,4,4,2,603,3
10425,花辇 位置3,辇（环）,5阶花环,,10003,1,5,5,2,603,3
10426,花辇 位置3,辇（环）,6阶花环,,10003,1,6,6,2,603,3
10427,花辇 位置3,辇（环）,7阶花环,,10003,1,7,7,2,603,3
10428,花辇 位置3,辇（环）,8阶花环,,10003,1,8,8,2,603,3
10429,花辇 位置3,辇（环）,9阶花环,,10003,1,9,9,2,603,3
10430,花辇 位置3,辇（环）,10阶花环,,10003,1,10,10,2,603,3
10431,花辇 位置4,辇（印）,1阶花印,,10004,1,1,1,2,604,4
10432,花辇 位置4,辇（印）,2阶花印,,10004,1,2,2,2,604,4
10433,花辇 位置4,辇（印）,3阶花印,,10004,1,3,3,2,604,4
10434,花辇 位置4,辇（印）,4阶花印,,10004,1,4,4,2,604,4
10435,花辇 位置4,辇（印）,5阶花印,,10004,1,5,5,2,604,4
10436,花辇 位置4,辇（印）,6阶花印,,10004,1,6,6,2,604,4
10437,花辇 位置4,辇（印）,7阶花印,,10004,1,7,7,2,604,4
10438,花辇 位置4,辇（印）,8阶花印,,10004,1,8,8,2,604,4
10439,花辇 位置4,辇（印）,9阶花印,,10004,1,9,9,2,604,4
10440,花辇 位置4,辇（印）,10阶花印,,10004,1,10,10,2,604,4
10441,灵气 位置1,灵（意）,1阶灵意,,10001,1,1,1,2,611,1
10442,灵气 位置1,灵（意）,2阶灵意,,10001,1,2,2,2,611,1
10443,灵气 位置1,灵（意）,3阶灵意,,10001,1,3,3,2,611,1
10444,灵气 位置1,灵（意）,4阶灵意,,10001,1,4,4,2,611,1
10445,灵气 位置1,灵（意）,5阶灵意,,10001,1,5,5,2,611,1
10446,灵气 位置1,灵（意）,6阶灵意,,10001,1,6,6,2,611,1
10447,灵气 位置1,灵（意）,7阶灵意,,10001,1,7,7,2,611,1
10448,灵气 位置1,灵（意）,8阶灵意,,10001,1,8,8,2,611,1
10449,灵气 位置1,灵（意）,9阶灵意,,10001,1,9,9,2,611,1
10450,灵气 位置1,灵（意）,10阶灵意,,10001,1,10,10,2,611,1
10451,灵气 位置2,灵（境）,1阶灵境,,10002,1,1,1,2,612,2
10452,灵气 位置2,灵（境）,2阶灵境,,10002,1,2,2,2,612,2
10453,灵气 位置2,灵（境）,3阶灵境,,10002,1,3,3,2,612,2
10454,灵气 位置2,灵（境）,4阶灵境,,10002,1,4,4,2,612,2
10455,灵气 位置2,灵（境）,5阶灵境,,10002,1,5,5,2,612,2
10456,灵气 位置2,灵（境）,6阶灵境,,10002,1,6,6,2,612,2
10457,灵气 位置2,灵（境）,7阶灵境,,10002,1,7,7,2,612,2
10458,灵气 位置2,灵（境）,8阶灵境,,10002,1,8,8,2,612,2
10459,灵气 位置2,灵（境）,9阶灵境,,10002,1,9,9,2,612,2
10460,灵气 位置2,灵（境）,10阶灵境,,10002,1,10,10,2,612,2
10461,灵气 位置3,灵（法）,1阶灵法,,10003,1,1,1,2,613,3
10462,灵气 位置3,灵（法）,2阶灵法,,10003,1,2,2,2,613,3
10463,灵气 位置3,灵（法）,3阶灵法,,10003,1,3,3,2,613,3
10464,灵气 位置3,灵（法）,4阶灵法,,10003,1,4,4,2,613,3
10465,灵气 位置3,灵（法）,5阶灵法,,10003,1,5,5,2,613,3
10466,灵气 位置3,灵（法）,6阶灵法,,10003,1,6,6,2,613,3
10467,灵气 位置3,灵（法）,7阶灵法,,10003,1,7,7,2,613,3
10468,灵气 位置3,灵（法）,8阶灵法,,10003,1,8,8,2,613,3
10469,灵气 位置3,灵（法）,9阶灵法,,10003,1,9,9,2,613,3
10470,灵气 位置3,灵（法）,10阶灵法,,10003,1,10,10,2,613,3
10471,灵气 位置4,灵（域）,1阶灵域,,10004,1,1,1,2,614,4
10472,灵气 位置4,灵（域）,2阶灵域,,10004,1,2,2,2,614,4
10473,灵气 位置4,灵（域）,3阶灵域,,10004,1,3,3,2,614,4
10474,灵气 位置4,灵（域）,4阶灵域,,10004,1,4,4,2,614,4
10475,灵气 位置4,灵（域）,5阶灵域,,10004,1,5,5,2,614,4
10476,灵气 位置4,灵（域）,6阶灵域,,10004,1,6,6,2,614,4
10477,灵气 位置4,灵（域）,7阶灵域,,10004,1,7,7,2,614,4
10478,灵气 位置4,灵（域）,8阶灵域,,10004,1,8,8,2,614,4
10479,灵气 位置4,灵（域）,9阶灵域,,10004,1,9,9,2,614,4
10480,灵气 位置4,灵（域）,10阶灵域,,10004,1,10,10,2,614,4
