索引,名称,详细描述,摘要 简单描述,物品图示,物品小图标,堆栈数量,物品等级,使用等级,物品品质框,类型,子类型,商店,能否出售0否1真,能否丢弃0否1真,使用时机（0内外皆可1战斗内2战斗外3擂台）,使用对象（仅表示在战斗中的使用对象；1表示可以对自己使用；2表示对自己和己方单位使用；3表示对敌方使用；0表示不能在战斗中使用）,"货币单位(0现银、储备金,1现银,2储备金,100灵石)",购买价格（现银）,出售价格（现银）,分解获得资源点,摆摊价格上限,背包可以使用就填1,使用,使用描述,效用,初始化,是否批量使用,素材质量(1到5，灰色到金色),是否废弃(1是废弃不能生成),提示使用数量,提示使用间隔（秒）,红点使用行为,掉落模型ID,掉落光效（1是有光效）,flag
40045,鲲鹏卡,"用于激活宠物鲲鹏#br战力飙升70000,技能效果更厉害。",,40045,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40046,奎木狼卡,"用于激活宠物奎木狼#br战力飙升62000,技能效果更厉害。",,40046,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40047,鹿力大仙卡,"用于激活宠物鹿力大仙#br战力飙升58000,技能效果更厉害。",,40047,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40048,申公豹卡,"用于激活宠物申公豹#br战力飙升120000,技能效果更厉害。",,40054,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40049,琵琶精卡,"用于激活宠物琵琶精#br战力飙升110000,技能效果更厉害。",,40055,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40050,天神卡,"用于激活宠物天神#br战力飙升150000,技能效果更厉害。",,40057,,1000,,,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40051,吕洞宾卡,"用于激活宠物吕洞宾#br战力飙升120000,技能效果更厉害。",,40056,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40052,嫦娥卡,"用于激活宠物嫦娥#br战力飙升150000,技能效果更厉害。",,40050,,1000,,,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40053,三太子卡,"用于激活宠物三太子#br战力飙升165000,技能效果更厉害。",,40051,,1000,,,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40054,斗战胜佛卡,"用于激活宠物斗战胜佛#br战力飙升180000,技能效果更厉害。",,40053,,1000,,,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40055,太上老君卡,"用于激活宠物太上老君#br战力飙升180000,技能效果更厉害。",,40052,,1000,,,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40056,九尾狐卡,"用于激活宠物九尾狐#br战力飙升18650,技能效果更厉害。",,40016,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40057,变异神将卡,"用于激活宠物变异神将#br战力飙升50000,技能效果更厉害。",,40059,,1000,,1,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40058,象神卡,"用于激活宠物象神#br战力飙升55000,技能效果更厉害。",,40060,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40059,变异趴趴熊卡,"用于激活宠物变异趴趴熊#br战力飙升27890,技能效果更厉害。",,40061,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40060,变异广目天王卡,"用于激活宠物变异广目天王#br战力飙升19200,技能效果更厉害。",,40062,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40061,变异武士卡,"用于激活宠物变异武士#br战力飙升29625,技能效果更厉害。",,40063,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40100,灵狐卡,"用于激活宠物灵狐#br战力飙升11500,技能效果更厉害。",,40100,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40101,人鱼王卡,"用于激活宠物人鱼王#br战力飙升14400,技能效果更厉害。",,40101,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40102,强盗王卡,"用于激活宠物强盗王#br战力飙升38400,技能效果更厉害。",,40102,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40103,火烈鸟卡,"用于激活宠物火烈鸟#br战力飙升20000,技能效果更厉害。",,40103,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40104,飞天猫卡,"用于激活宠物飞天熊#br战力飙升20000,技能效果更厉害。",,40104,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40105,风魔王卡,"用于激活宠物风魔王#br战力飙升31140,技能效果更厉害。",,40105,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40106,地狱魔犬卡,"用于激活宠物地狱魔犬#br战力飙升65000,技能效果更厉害。",,40106,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40107,神兵小将卡,"用于激活宠物神兵小将#br战力飙升10500,技能效果更厉害。",,40107,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40108,水神卡,"用于激活宠物水神#br战力飙升13800,技能效果更厉害。",,40108,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40109,神君卡,"用于激活宠物神君#br战力飙升40000,技能效果更厉害。",,40109,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40110,变异冰龙卡,"用于激活宠物变异冰龙#br战力飙升50000,技能效果更厉害。",,40110,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40111,珞珈山大王卡,"用于激活宠物珞珈山大王#br战力飙升18560,技能效果更厉害。",,40111,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
40112,变异巨灵神卡,"用于激活宠物变异巨灵神#br战力飙升32800,技能效果更厉害。",,40112,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50001,二郎神碎片,用于升星仙君二郎神，提升仙君技能威力，通过仙君商店兑换获得。,,50004,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50002,炼丹童子升星碎片,用于升星仙君炼丹童子，提升仙君技能威力，通过仙君商店兑换获得。,,50002,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50003,功夫熊猫升星碎片,用于升星仙君功夫熊猫，提升仙君技能威力，通过仙君商店兑换获得。,,50003,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50004,孙悟空升星碎片,用于升星仙君孙悟空，提升仙君技能威力，通过仙君商店兑换获得。,,50001,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50005,大唐捕快升星碎片,用于升星仙君大唐捕快，提升仙君技能威力，通过仙君商店兑换获得。,,50005,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50006,狐狸精升星碎片,用于升星仙君狐狸精，提升仙君技能威力，通过仙君商店兑换获得。,,50006,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50007,增长天王升星碎片,用于升星仙君增长天王，提升仙君技能威力，通过仙君商店兑换获得。,,50007,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50008,青牛精升星碎片,用于升星仙君青牛精，提升仙君技能威力，通过仙君商店兑换获得。,,50008,,1000,,,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50009,多闻天王升星碎片,用于升星仙君多闻天王，提升仙君技能威力，通过仙君商店兑换获得。,,50009,,1000,,,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50010,雷震子升星碎片,用于升星仙君雷震子，提升仙君技能威力，通过仙君商店兑换获得。,,50010,,1000,,,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50011,二郎神卡,"用于激活仙君二郎神#br战力飙升40000,技能效果更厉害。",,50016,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50012,炼丹童子卡,"用于激活仙君炼丹童子#br战力飙升3200,技能效果更厉害。",,50012,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50013,功夫熊猫卡,"用于激活仙君功夫熊猫#br战力飙升10000,技能效果更厉害。",,50013,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50014,孙悟空卡,"用于激活仙君孙悟空#br战力飙升11000,技能效果更厉害。",,50011,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50015,大唐捕快卡,"用于激活仙君大唐捕快#br战力飙升17300,技能效果更厉害。",,50015,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50016,狐狸精卡,"用于激活仙君狐狸精#br战力飙升20000,技能效果更厉害。",,50014,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50017,增长天王卡,"用于激活仙君增长天王#br战力飙升40000,技能效果更厉害。",,50017,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50018,青牛精卡,"用于激活仙君青牛精#br战力飙升70000,技能效果更厉害。",,50018,,1000,,,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50019,多闻天王卡,"用于激活仙君多闻天王#br战力飙升85000,技能效果更厉害。",,50019,,1000,,,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50020,雷震子卡,"用于激活仙君雷震子#br战力飙升100000,技能效果更厉害。",,50020,,1000,,,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50021,变异趴趴熊碎片,收集50个变异趴趴熊碎片可合成变异趴趴熊卡,,50021,,1000,,,4,1,1,,,,,,,,,,,50,mutiOperate,兑换,"{50,1},{1,1}",,,,,,,,,,
50022,变异武士碎片,收集50个变异武士碎片可合成变异武士卡,,50022,,1000,,,4,1,1,,,,,,,,,,,50,mutiOperate,兑换,"{50,1},{1,1}",,,,,,,,,,
50023,变异广目天王碎片,收集50个变异广目天王碎片可合成变异广目天王卡,,50023,,1000,,,4,1,1,,,,,,,,,,,50,mutiOperate,兑换,"{50,1},{1,1}",,,,,,,,,,
50100,美猴王卡,用于激活仙君美猴王#br战力飙升40000，技能效果更厉害。,,50100,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50101,花花公子卡,用于激活仙君花花公子#br战力飙升12000，技能效果更厉害。,,50101,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50500,美猴王升星碎片,用于升星仙君美猴王，提升仙君技能威力，通过仙君商店兑换获得。,,50500,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
50501,花花公子升星碎片,用于升星花花公子，提升仙君技能威力，通过仙君商店兑换获得。,,50501,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60001,精炼石,用于提升装备精炼等级，分解紫色以下装备可获得精炼石,,60001,JINGLIAN,99999,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60002,锻造石,用于提升装备锻炼等级，分解进阶装备可获得精炼石,,60002,DUANZAO,99999,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60003,宝石精华,用于装备镶嵌宝石,,60003,BAOSHI,99999,,,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
60004,师徒令,用于师傅招收徒弟的道具,,60004,,1000,,,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
60005,宠物技能石,用于宠物技能洗练，洗练可洗出更高级的宠物技能,,60005,PUTONG_JINENGSHI,99999,,,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
60006,特级技能石,用于宠物技能洗练，增加累计洗练次数10次。洗练次数越高洗练出高品质技能概率越大,,60006,TESHU_JINENGSHI,99999,,,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
60007,神装碎片,用于神装装备升级材料,,60007,,99999,,,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60008,玄晶石,用于完美打造法宝，完美打造20次必定出大于等于完美级别的法宝,,60008,,99999,,,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
60009,洗练石,用于神装装备属性数值洗练的材料,,60009,,99999,,,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
60010,黑铁神石,用于神装装备属性种类洗练材料,,60010,,99999,,,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
60011,挑战令,用于挑战野外BOSS,,60011,,99999,,,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
60012,仙君令,用于兑换仙君碎片,,60012,XIANLVLIN,99999,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60013,幻兽令,可以在宠物商店兑换宠物,,60013,HUANSHOULIN,99999,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60014,复活令,用于复活全民BOSS的紫色BOSS,,60014,,99999,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60015,高级复活令,用于复活全民BOSS的橙色BOSS,,60015,,99999,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60016,皮肤碎片,可以在皮肤商店兑换皮肤,,60016,PIFU_SUIPIAN,99999,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60017,经脉丹,可以提升经脉等级,,60017,JINGMAI_DAN,99999,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60018,突破丹,用于突破经脉重级,,60018,TUPO_DAN,99999,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60019,金装碎片,用于在装备商店兑换金色装备，同时分解金色装备可以100%回收碎片,,60019,JINZHUANG_SUIPIAN,99999,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60020,1级天工木,增加帮会资金20点,,60020,,1000,,,2,1,1,,,,,,,,,,,,facExp,,20,,,,,,,,,,
60021,2级天工木,增加帮会资金30点,,60021,,1000,,,2,1,1,,,,,,,,,,,,facExp,,30,,,,,,,,,,
60022,3级天工木,增加帮会资金40点,,60022,,1000,,,3,1,1,,,,,,,,,,,,facExp,,40,,,,,,,,,,
60023,4级天工木,增加帮会资金50点,,60023,,1000,,,4,1,1,,,,,,,,,,,,facExp,,50,,,,,,,,,,
60024,5级天工木,增加帮会资金60点,,60024,,1000,,,5,1,1,,,,,,,,,,,,facExp,,60,,,,,,,,,,
60025,生命丹,永久增加人物属性#br生命+500,,60025,,99999,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60026,攻击丹,永久增加人物属性#br攻击+72,,60026,,99999,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60027,防御丹,永久增加人物属性#br防御+80,,60027,,99999,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60028,命中丹,永久增加人物属性#br命中+2#br攻击+62,,60028,,99999,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60029,闪避丹,永久增加人物属性#br闪避+2#br攻击+62,,60029,,99999,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60030,暴击丹,永久增加人物属性#br暴击+2#br攻击+62,,60030,,99999,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60031,抗暴丹,永久增加人物属性#br抗暴+2#br攻击+62,,60031,,99999,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60032,攻速丹,永久增加人物属性#br攻速+1#br攻击+62,,60032,,99999,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60033,坐骑属性丹,使用后增加坐骑：#br气血+1100#br攻击+440#br防御+110,,60033,,99999,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60034,翅膀属性丹,使用后增加翅膀：#br气血+1100#br攻击+440#br防御+110,,60034,,99999,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60035,法阵属性丹,使用后增加法阵：#br气血+1100#br攻击+440#br防御+110,,60035,,99999,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60036,神位属性丹,使用后增加神位：#br气血+1100#br攻击+440#br防御+110,,60036,,99999,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60037,通灵属性丹,使用后增加通灵：#br气血+1100#br攻击+440#br防御+110,,60037,,99999,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60038,元神属性丹,使用后增加元神：#br气血+1100#br攻击+440#br防御+110,,60038,,99999,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60039,天仙属性丹,使用后增加天仙：#br气血+1100#br攻击+440#br防御+110,,60039,,99999,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60040,神兵属性丹,使用后增加神兵：#br气血+1100#br攻击+440#br防御+110,,60040,,99999,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60041,女王属性丹,使用后增加女王：#br气血+1100#br攻击+440#br防御+110,,60041,,99999,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60042,仙位属性丹,使用后增加仙位：#br气血+1100#br攻击+440#br防御+110,,60042,,99999,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60043,花辇属性丹,使用后增加花辇：#br气血+1100#br攻击+440#br防御+110,,60043,,99999,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60044,灵气属性丹,使用后增加灵气：#br气血+1100#br攻击+440#br防御+110,,60044,,99999,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60045,银两兑换令,使用后获得：#br4小时离线银两收益,,60045,YINLIANGLIN,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60046,炼妖壶,用于抽取珍稀神兽宠物，通过活动获得,,60046,LIANYAOHU,99999,,,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60047,奇穷碎片,用于奇穷图腾的精华与突破,,60047,,99999,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60048,赤牛碎片,用于赤牛图腾的精华与突破,,60048,,99999,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60049,青龙碎片,用于青龙图腾的精华与突破,,60049,,99999,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60050,朱雀碎片,用于朱雀图腾的精华与突破,,60050,,99999,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60051,貔貅碎片,用于貔貅图腾的精华与突破,,60051,,99999,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60052,麒麟碎片,用于麒麟图腾的精华与突破,,60052,,99999,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60053,玄武碎片,用于玄武图腾的精华与突破,,60053,,99999,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60054,白虎碎片,用于白虎图腾的精华与突破,,60054,,99999,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60055,银两,游戏中的基本货币,,60055,,99999,,,5,1,100,,,,,,,,,,,,,,,,,,,,,,,,
60056,绑定元宝,游戏中的高级货币，不可代替元宝使用,,60056,,99999,,,5,1,100,,,,,,,,,,,,,,,,,,,,,,,,
60057,元宝,游戏中的高级货币，可以代替银两使用,,60057,,99999,,,5,1,100,,,,,,,,,,,,,,,,,,,,,,,,
60058,随机技能书,可获得随机一本坐骑、天仙、神兵、翅膀、神位、法阵、通灵、元神技能书,,60058,,99999,,,5,1,1,,,,,,,,,,,1,randItem,,"{1,1,100}",,,,,,,,,,
60059,随机属性丹,随机获得攻速丹，生命丹，攻击丹，防御丹，暴击丹，抗暴丹，命中丹，闪避丹中的其中一个,,60059,,99999,,,4,1,1,,,,,,,,,,,1,randItem,,"{1,2,100}",,,,,,,,,,
60060,随机进阶属性丹,使用后可获得一个随机进阶属性丹,,60060,,99999,,,5,1,1,,,,,,,,,,,1,randItem,,"{1,3,100}",,,,,,,,,,
60061,经验,角色升级经验,,60061,,99999,,,2,1,100,,,,,,,,,,,,,,,,,,,,,,,,
60062,天下第一积分,使用后，可获得用于在天下第一商店兑换道具的货币,,60062,DIYI,99999,,,6,1,100,,,,,,,,,,,1,unitPoint,,"15,1,",,,,,,,,,,
60063,威望,用于威望商店兑换道具的货币,,60063,WEIWANG,99999,,,5,1,100,,,,,,,,,,,,,,,,,,,,,,,,
60064,功勋,功勋值，用于在竞技商店兑换道具,,60064,GONGXUN,99999,,,5,1,100,,,,,,,,,,,,,,,,,,,,,,,,
60065,粉晶矿宝箱,使用后随机获得：大量元宝，中量绑元，皮肤碎片，法宝进阶材料以及各种进阶丹,,60065,,1000,,,6,1,1,,,,,,,,,,,1,itemLib,,"{{21,22,23,24,25,26,27,28}, 100}",,,,,,,,,,
60066,紫金矿宝箱,使用后随机获得：中量元宝，大量绑元，皮肤碎片，法宝进阶材料以及各种进阶丹,,60066,,1000,,,4,1,1,,,,,,,,,,,1,itemLib,,"{{29,30,31,32,33,34,35,36}, 100}",,,,,,,,,,
60067,蓝晶矿宝箱,使用后随机获得：小量元宝，中量绑元，皮肤碎片，法宝进阶材料以及各种进阶丹,,60067,,1000,,,3,1,1,,,,,,,,,,,1,itemLib,,"{{37,38,39,40,41,42,43,44}, 100}",,,,,,,,,,
60068,绿晶矿宝箱,使用后随机获得：大量绑元，皮肤碎片，法宝进阶材料以及各种进阶丹,,60068,,1000,,,2,1,1,,,,,,,,,,,1,itemLib,,"{{45,46,47,48,49,50,51,52}, 100}",,,,,,,,,,
60069,蓝色装备,蓝色装备,,60069,,1000,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60070,紫色装备,紫色装备,,60070,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60071,橙色运镖令,,,60071,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60072,帮贡,帮贡,,60072,BANGGONG,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60073,友情币,友情币,,60073,YOUQINGBI,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60074,法书,用于法宝打造,,60074,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60075,神铁,用于法宝打造,,60075,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60076,精铁,用于帮会兑换,,60076,,99999,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60077,朱果,用于帮会兑换,,60077,,99999,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60078,水晶,用于帮会兑换,,60078,,99999,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60079,蟠桃,用于帮会兑换,,60079,,99999,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60080,神石,用于帮会兑换,,60080,,99999,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60081,人参果,用于帮会兑换,,60081,,99999,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60082,帮贡物资宝,可获得：#br#帮贡*10,,60082,,1000,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60083,帮贡财富包,可获得：#br#帮贡*20#br#绑定元宝*200,,60083,,1000,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60084,帮贡宝石包,可获得：#br#帮贡*30#br#宝石*10,,60084,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60085,帮贡属性包,可获得：#br#帮贡*30#br#随机属性丹一颗,,60085,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60086,进阶丹礼包,使用可获得1～10个随机进阶属性丹,,60086,,99999,,,4,1,1,,,,,,,,,,,1,randItem,,"{1,4,100}",,,,,,,,,,
60087,初级房屋,解锁简朴房，加生命,,60087,,1000,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60088,中级房屋,解锁热闹房，加生命和防御,,60088,,1000,,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60089,高级房屋,解锁豪华房，加生命、防御和攻击,,60089,,1000,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60090,绑元小包,使用后获得100绑定元宝,,60090,,1000,,,5,1,1,,,,,,,,,,,1,bindRmb,,100,,,,,,,,,,
60091,绑元中包,使用后获得500绑定元宝,,60091,,1000,,,5,1,1,,,,,,,,,,,1,bindRmb,,500,,,,,,,,,,
60092,绑元大包,使用后获得1000绑定元宝,,60092,,1000,,,5,1,1,,,,,,,,,,,1,bindRmb,,1000,,,,,,,,,,
60093,帮贡物资宝,可获得：#br#帮贡*10,,60082,,1000,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60094,帮贡财富包,可获得：#br#帮贡*20#br#绑定元宝*200,,60083,,1000,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60095,帮会资金,帮会资金,,60061,,1,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60096,礼品袋,内藏丰富的礼物,,60096,,99999,,,5,1,100,,,,,,,,,,,,,,,,,,,,,,,,
60097,红宠资质卡,用于提升部分红宠资质#br战力飙升：28800,,60097,,100,,,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60098,女王书籍,可获得随机一本女王，仙位，花辇，灵气技能书,,60098,,100,,,5,1,1,,,,,,,,,,,1,randItem,,"{1,19,100}",,,,,,,,,,
60099,80级神装宝箱,可获得随机一件80级神装，武器除外,,60099,,99999,,,6,1,1,,,,,,,,,,,1,randItem,,"{1,77,100}",,,,,,,,,,
60100,7阶红色装备,使用后随机一件7阶红色进阶装备，红色进阶装备熔炼时还可以返还80%兑换积分,,60100,,100,,,6,1,1,,,,,,,,,,,1,randItem,,"{1,53,100}",,,,,,,,,,
60101,8阶红色装备,使用后随机一件8阶红色进阶装备，红色进阶装备熔炼时还可以返还80%兑换积分,,60101,,100,,,6,1,1,,,,,,,,,,,1,randItem,,"{1,54,100}",,,,,,,,,,
60102,9阶红色装备,使用后随机一件9阶红色进阶装备，红色进阶装备熔炼时还可以返还80%兑换积分,,60102,,100,,,6,1,1,,,,,,,,,,,1,randItem,,"{1,55,100}",,,,,,,,,,
60103,10阶红色装备,使用后随机一件10阶红色进阶装备，红色进阶装备熔炼时还可以返还80%兑换积分,,60103,,100,,,6,1,1,,,,,,,,,,,1,randItem,,"{1,56,100}",,,,,,,,,,
60104,属性丹礼包,使用后随机获得一个属性丹,,60104,,100,,,5,1,1,,,,,,,,,,,1,randItem,,"{1,20,100}",,,,,,,,,,
60105,元宝小包,使用后获得10元宝,,60105,,1000,,,5,1,1,,,,,,,,,,,1,rmb,,10,,,,,,,,,,
60106,元宝中包,使用后获得50元宝,,60106,,1000,,,5,1,1,,,,,,,,,,,1,rmb,,50,,,,,,,,,,
60107,元宝大包,使用后获得100元宝,,60107,,1000,,,5,1,1,,,,,,,,,,,1,rmb,,100,,,,,,,,,,
60108,7阶红色强化+10装备,使用后随机一件7阶红色进阶强化+10装备，红色进阶装备熔炼时还可以返还80%兑换积分,,60100,,100,,,6,1,1,,,,,,,,,,,1,randItem,,"{1,57,100}",,,,,,,,,,
60109,8阶红色强化+10装备,使用后随机一件8阶红色进阶强化+10装备，红色进阶装备熔炼时还可以返还80%兑换积分,,60101,,100,,,6,1,1,,,,,,,,,,,1,randItem,,"{1,58,100}",,,,,,,,,,
60110,9阶红色强化+10装备,使用后随机一件9阶红色进阶强化+10装备，红色进阶装备熔炼时还可以返还80%兑换积分,,60102,,100,,,6,1,1,,,,,,,,,,,1,randItem,,"{1,59,100}",,,,,,,,,,
60111,10阶红色强化+10装备,使用后随机一件10阶红色进阶强化+10装备，红色进阶装备熔炼时还可以返还80%兑换积分,,60103,,100,,,6,1,1,,,,,,,,,,,1,randItem,,"{1,60,100}",,,,,,,,,,
60112,元素精华,可以从中参悟五行的奥义,可以从中参悟五行的奥义,60112,,99999,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60113,金花膏,对于治疗火系伤害有很好的疗效,对于治疗火系伤害有很好的疗效,60113,,99999,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60114,洗心藤,洗涤心灵深处，从获得新生,洗涤心灵深处，从获得新生,60114,,99999,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
60115,腾空飞行,一种飞行秘术,一种飞行秘术,60115,,99999,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
