商店类型id,索引,客户端位置索引,商店名称,物品Entry,物品名称,商城名称拼音,商城显示消耗小图标（界面右上角）,皮肤的位置,对应的仙君id,道具数量,获取途径,获取途径名字,循环天数,哪一天,哪个套装,打几折,物品品质,"钱货币id(1，银两,3，元宝,2，绑定元宝）就这三个","消耗的物品（1幻兽令，2,仙吕令,3.........还有很多)",消耗物品数量或者钱,每日限购次数,每周限购次数,终身限购,等级条件,皇城天塔通关条件,帮会等级条件,竞技场排名条件,押镖条件,答题次数条件,个人BOSS胜利次数,全民BOSS胜利次数,生死劫条件,材料副本条件
18,5,5,帮会商店,20005,法阵进阶丹,banghuishangdian,7,,,5,,,,,,1,,7,,100,4,0,0,,,,,,,,,,
18,6,6,帮会商店,20006,神位进阶丹,banghuishangdian,7,,,5,,,,,,1,,7,,100,4,0,0,,,,,,,,,,
18,7,7,帮会商店,20007,通灵进阶丹,banghuishangdian,7,,,5,,,,,,1,,7,,100,4,0,0,,,,,,,,,,
18,8,8,帮会商店,20008,元神进阶丹,banghuishangdian,7,,,5,,,,,,1,,7,,100,4,0,0,,,,,,,,,,
18,9,9,帮会商店,20013,宠物进阶丹,banghuishangdian,7,,,5,,,,,,1,,7,,100,4,0,0,,,,,,,,,,
18,10,10,帮会商店,20014,仙君进阶丹,banghuishangdian,7,,,5,,,,,,1,,7,,100,4,0,0,,,,,,,,,,
18,11,11,帮会商店,60003,宝石精华,banghuishangdian,7,,,5,,,,,,1,,7,,150,4,0,0,,,,,,,,,,
19,1,1,帮会福利,60056,绑定元宝,banghuifuli,7,,,4000,,,,,,1,,7,,400,0,0,1,60,,,,,,,,,
19,2,2,帮会福利,63010,兄弟同心,banghuifuli,7,"1,10",,1,,,,,,1,,7,,640,0,0,1,70,,,,,,,,,
19,3,3,帮会福利,67002,书画仙子,banghuifuli,7,"14,2",,1,,,,,,1,,7,,800,0,0,1,80,,,,,,,,,
19,4,4,帮会福利,40018,武士卡,banghuifuli,7,,,1,,,,,,1,,7,,960,0,0,1,100,,,,,,,,,
19,20,5,帮会福利,65003,蓝缕精灵,banghuifuli,7,"2,3",,1,,,,,,1,,7,,1280,0,0,1,130,,,,,,,,,
19,21,6,帮会福利,40024,六耳猕猴卡,banghuifuli,7,,,1,,,,,,1,,7,,1440,0,0,1,140,,,,,,,,,
19,24,7,帮会福利,63019,情同手足,banghuifuli,7,"1,19",,1,,,,,,1,,7,,2400,0,0,1,170,,,,,,,,,
19,25,8,帮会福利,64006,翻海金鱼,banghuifuli,7,"4,6",,1,,,,,,1,,7,,4000,0,0,1,180,,,,,,,,,
19,26,9,帮会福利,68004,冰晶弧月,banghuifuli,7,"15,4",,1,,,,,,1,,7,,6000,0,0,1,190,,,,,,,,,
19,27,10,帮会福利,66002,冥火之翼,banghuifuli,7,"5,2",,1,,,,,,1,,7,,8000,0,0,1,200,,,,,,,,,
19,28,11,帮会福利,65006,穿花蝴蝶,banghuifuli,7,"2,6",,1,,,,,,1,,7,,10000,0,0,1,210,,,,,,,,,
19,29,12,帮会福利,63027,义结金兰,banghuifuli,7,"1,27",,1,,,,,,1,,7,,12000,0,0,1,220,,,,,,,,,
20,6,1,神秘商店,65004,太虚道袍,zhuangban,3,"2,4",,1,,,9,"{1,3}",4,1,,3,,9980,0,0,1,,,,,,,,,,
20,10,2,神秘商店,68010,孤狼烈魂,zhuangban,3,"15,10",,1,,,9,"{1,3}",4,1,,3,,8800,0,0,1,,,,,,,,,,
20,20,3,神秘商店,64002,牛魔王,zhuangban,3,"4,2",,1,"""shouchong"",2",首充200元,9,"{1,3}",4,1,,3,,,0,0,1,,,,,,,,,,
20,21,4,神秘商店,67002,书画仙子,zhuangban,3,"14,2",,1,"""shop_equip"",3",帮会福利商店,9,"{1,3}",4,1,,3,,,0,0,1,,,,,,,,,,
20,22,5,神秘商店,68001,玄冥寒光,zhuangban,3,"15,1",,1,,,9,"{4,6}",5,1,,3,,19800,0,0,1,,,,,,,,,,
20,23,6,神秘商店,66001,彩虹羽翼,zhuangban,3,"5,1",,1,,,9,"{4,6}",5,1,,3,,19800,0,0,1,,,,,,,,,,
20,24,7,神秘商店,67001,蓝蝶精灵,zhuangban,3,"14,1",,1,,,9,"{4,6}",5,1,,3,,12800,0,0,1,,,,,,,,,,
20,7,8,神秘商店,64004,破风羽毛,zhuangban,3,"4,4",,1,,,9,"{4,6}",5,1,,3,,19800,0,0,1,,,,,,,,,,
20,27,9,神秘商店,68003,轩辕剑,zhuangban,3,"15,3",,1,,,9,"{7,9}",3,1,,3,,12800,0,0,1,,,,,,,,,,
20,9,10,神秘商店,64001,神秘羊驼,zhuangban,3,"4,1",,1,,,9,"{7,9}",3,1,,3,,19800,0,0,1,,,,,,,,,,
20,25,11,神秘商店,66003,破灭之翼,zhuangban,3,"5,3",,1,,开服8日活动,9,"{7,9}",3,1,,3,,,0,0,1,,,,,,,,,,
20,26,12,神秘商店,65005,万物珍裳,zhuangban,3,"2,5",,1,"""vip""",VIP8礼包,9,"{7,9}",3,1,,3,,,0,0,1,,,,,,,,,,
20,8,13,神秘商店,67005,蓝凌猫,zhuangban,3,"14,5",,1,,,,10,,1,,3,,13800,0,0,1,,,,,,,,,,
20,1,14,神秘商店,63018,心有所属,zhuangban,3,"1,18",,1,,,,10,,1,,3,,8800,0,0,1,,,,,,,,,,
20,2,15,神秘商店,68006,碧磷幽焱,zhuangban,3,"15,6",,1,,,,10,,1,,3,,29800,0,0,1,,,,,,,,,,
20,3,16,神秘商店,69001,女王妖姬,zhuangban,3,"18,1",,1,,,,10,,1,,3,,29800,0,0,1,,,,,,,,,,
20,4,17,神秘商店,68008,黄泉火照,zhuangban,3,"15,8",,1,,,,10,,1,,3,,15800,0,0,1,,,,,,,,,,
20,5,18,神秘商店,67010,萝卜兔,zhuangban,3,"14,10",,1,,,,10,,1,,3,,21800,0,0,1,,,,,,,,,,
21,1,1,皮肤商店,67009,玉织仙子,pifu,60016,"14,9",,1,,,,,,1,,,60016,50,0,0,1,,,,,,,,,,
21,2,2,皮肤商店,68009,十方俱灭,pifu,60016,"15,9",,1,,,,,,1,,,60016,120,0,0,1,,,,,,,,,,
21,3,3,皮肤商店,69002,女王.红衣,pifu,60016,"18,2",,1,,,,,,1,,,60016,180,0,0,1,,,,,,,,,,
21,4,4,皮肤商店,40035,招财猫卡,pifu,60016,,,1,,,,,,1,,,60016,80,0,0,50,,,,,,,,,,
21,5,5,皮肤商店,40038,东海龙王卡,pifu,60016,,,1,,,,,,1,,,60016,240,0,0,50,,,,,,,,,,
22,1,1,友情商店,40014,巨灵神卡,youqing,12,,,1,,,,,,1,,12,,15,0,0,1,,,,,,,,,,
22,2,2,友情商店,67006,天线宝宝,youqing,12,"14,6",,1,,,,,,1,,12,,35,0,0,1,,,,,,,,,,
22,3,3,友情商店,63020,志同道合,youqing,12,"1,20",,1,,,,,,1,,12,,45,0,0,1,,,,,,,,,,
22,5,4,友情商店,63021,情深似海,youqing,12,"1,21",,1,,,,,,1,,12,,85,0,0,1,,,,,,,,,,
22,6,5,友情商店,40021,熊猫卡,youqing,12,,,1,,,,,,1,,12,,105,0,0,1,,,,,,,,,,
22,7,6,友情商店,67004,飞天葫芦,youqing,12,"14,4",,1,,,,,,1,,12,,110,0,0,1,,,,,,,,,,
22,8,7,友情商店,68002,霓虹魔伞,youqing,12,"15,2",,1,,,,,,1,,12,,145,0,0,1,,,,,,,,,,
22,9,8,友情商店,60056,绑定元宝,youqing,12,,,500,,,,,,1,,12,,10,0,0,900,,,,,,,,,,
23,1,1,威望商店,63001,为人师表,weiwang,13,"1,1",,1,,,,,,1,,13,,500,0,0,1,,,,,,,,,,
23,2,2,威望商店,63030,循循善诱,weiwang,13,"1,30",,1,,,,,,1,,13,,800,0,0,1,,,,,,,,,,
23,3,3,威望商店,63031,诲人不倦,weiwang,13,"1,31",,1,,,,,,1,,13,,2400,0,0,1,,,,,,,,,,
23,4,4,威望商店,63032,厚德树人,weiwang,13,"1,32",,1,,,,,,1,,13,,4800,0,0,1,,,,,,,,,,
23,5,5,威望商店,63033,桃李天下,weiwang,13,"1,33",,1,,,,,,1,,13,,7200,0,0,1,,,,,,,,,,
24,1,1,竞技商店,30001,坐骑技能书,jingjishangdian,6,,,1,,,,,,1,,6,,500,1,0,0,,,,1000,,,,,,
24,2,2,竞技商店,30002,翅膀技能书,jingjishangdian,6,,,1,,,,,,1,,6,,500,1,0,0,,,,1000,,,,,,
24,3,3,竞技商店,30003,法阵技能书,jingjishangdian,6,,,1,,,,,,1,,6,,500,1,0,0,,,,1000,,,,,,
24,4,4,竞技商店,30004,神位技能书,jingjishangdian,6,,,1,,,,,,1,,6,,500,1,0,0,,,,1000,,,,,,
24,5,5,竞技商店,30005,通灵技能书,jingjishangdian,6,,,1,,,,,,1,,6,,500,1,0,0,,,,1000,,,,,,
24,6,6,竞技商店,30006,元神技能书,jingjishangdian,6,,,1,,,,,,1,,6,,500,1,0,0,,,,1000,,,,,,
24,7,7,竞技商店,30007,天仙技能书,jingjishangdian,6,,,1,,,,,,1,,6,,500,1,0,0,,,,1000,,,,,,
24,8,8,竞技商店,30008,神兵技能书,jingjishangdian,6,,,1,,,,,,1,,6,,500,1,0,0,,,,1000,,,,,,
24,9,9,竞技商店,60003,宝石精华,jingjishangdian,6,,,5,,,,,,1,,6,,500,10,0,0,,,,1000,,,,,,
25,1,1,竞技福利,63017,勇者无畏,jingjifuli,6,"1,17",,1,,,,,,1,,6,,2500,0,0,1,,,,1,,,,,,
25,2,2,竞技福利,60056,绑定元宝,jingjifuli,6,,,10000,,,,,,1,,6,,1000,0,0,1,,,,2,,,,,,
25,3,3,竞技福利,60019,金装碎片,jingjifuli,6,,,50,,,,,,1,,6,,300,0,0,1,,,,3,,,,,,
25,4,4,竞技福利,30006,元神技能书,jingjifuli,6,,,2,,,,,,1,,6,,500,0,0,1,,,,4,,,,,,
25,5,5,竞技福利,30005,通灵技能书,jingjifuli,6,,,2,,,,,,1,,6,,500,0,0,1,,,,5,,,,,,
25,6,6,竞技福利,63016,锋芒毕露,jingjifuli,6,"1,16",,1,,,,,,1,,6,,1600,0,0,1,,,,10,,,,,,
25,7,7,竞技福利,30002,翅膀技能书,jingjifuli,6,,,2,,,,,,1,,6,,500,0,0,1,,,,20,,,,,,
25,8,8,竞技福利,30007,天仙技能书,jingjifuli,6,,,2,,,,,,1,,6,,500,0,0,1,,,,30,,,,,,
25,9,9,竞技福利,30001,坐骑技能书,jingjifuli,6,,,2,,,,,,1,,6,,500,0,0,1,,,,50,,,,,,
25,10,10,竞技福利,60003,宝石精华,jingjifuli,6,,,20,,,,,,1,,6,,550,0,0,1,,,,70,,,,,,
25,11,11,竞技福利,20007,通灵进阶丹,jingjifuli,6,,,20,,,,,,1,,6,,400,0,0,1,,,,100,,,,,,
25,12,12,竞技福利,20006,神位进阶丹,jingjifuli,6,,,20,,,,,,1,,6,,400,0,0,1,,,,150,,,,,,
25,13,13,竞技福利,20005,法阵进阶丹,jingjifuli,6,,,20,,,,,,1,,6,,400,0,0,1,,,,250,,,,,,
25,14,14,竞技福利,20004,翅膀进阶丹,jingjifuli,6,,,20,,,,,,1,,6,,400,0,0,1,,,,300,,,,,,
25,15,15,竞技福利,20003,神兵进阶丹,jingjifuli,6,,,20,,,,,,1,,6,,400,0,0,1,,,,400,,,,,,
25,16,16,竞技福利,20002,天仙进阶丹,jingjifuli,6,,,20,,,,,,1,,6,,400,0,0,1,,,,500,,,,,,
25,17,17,竞技福利,20001,坐骑进阶丹,jingjifuli,6,,,20,,,,,,1,,6,,400,0,0,1,,,,600,,,,,,
25,18,18,竞技福利,20013,宠物进阶丹,jingjifuli,6,,,20,,,,,,1,,6,,400,0,0,1,,,,700,,,,,,
25,19,19,竞技福利,20014,仙君进阶丹,jingjifuli,6,,,20,,,,,,1,,6,,400,0,0,1,,,,800,,,,,,
25,20,20,竞技福利,60056,绑定元宝,jingjifuli,6,,,5000,,,,,,1,,6,,500,0,0,1,,,,1000,,,,,,
25,21,21,竞技福利,60002,锻造石,jingjifuli,6,,,50,,,,,,1,,6,,200,0,0,1,,,,2000,,,,,,
25,22,22,竞技福利,60055,银两,jingjifuli,6,,,2000000,,,,,,1,,6,,320,0,0,1,,,,3000,,,,,,
25,23,23,竞技福利,60056,绑定元宝,jingjifuli,6,,,1000,,,,,,1,,6,,100,0,0,1,,,,4000,,,,,,
25,24,24,竞技福利,60056,绑定元宝,jingjifuli,6,,,500,,,,,,1,,6,,50,0,0,1,,,,5000,,,,,,
26,1,1,押镖商店,40001,天将卡,husong,3,,,15,,,,,,1,,2,,2500,0,0,1,,,,,5,,,,,
26,2,2,押镖商店,40001,天将卡,husong,3,,,15,,,,,,1,,2,,2500,0,0,1,,,,,7,,,,,
26,3,3,押镖商店,40001,天将卡,husong,3,,,15,,,,,,1,,3,,980,0,0,1,,,,,9,,,,,
26,4,4,押镖商店,40002,月兔卡,husong,3,,,15,,,,,,1,,3,,980,0,0,1,,,,,11,,,,,
26,5,5,押镖商店,40002,月兔卡,husong,3,,,15,,,,,,1,,2,,2500,0,0,1,,,,,13,,,,,
26,6,6,押镖商店,40002,月兔卡,husong,3,,,15,,,,,,1,,2,,2500,0,0,1,,,,,15,,,,,
26,7,7,押镖商店,40003,鲛人卡,husong,3,,,15,,,,,,1,,3,,980,0,0,1,,,,,17,,,,,
26,8,8,押镖商店,40003,鲛人卡,husong,3,,,15,,,,,,1,,3,,980,0,0,1,,,,,19,,,,,
26,9,9,押镖商店,40022,黑水麒麟卡,husong,3,,,1,,,,,,1,,2,,28800,0,0,1,,,,,21,,,,,
26,10,10,押镖商店,40003,鲛人卡,husong,3,,,15,,,,,,1,,2,,2500,0,0,1,,,,,23,,,,,
26,11,11,押镖商店,40004,狐妖卡,husong,3,,,6,,,,,,1,,2,,2800,0,0,1,,,,,25,,,,,
26,12,12,押镖商店,40004,狐妖卡,husong,3,,,6,,,,,,1,,3,,1180,0,0,1,,,,,27,,,,,
26,13,13,押镖商店,40004,狐妖卡,husong,3,,,6,,,,,,1,,2,,2800,0,0,1,,,,,29,,,,,
26,14,14,押镖商店,40005,巡海夜叉卡,husong,3,,,6,,,,,,1,,2,,2800,0,0,1,,,,,32,,,,,
26,15,15,押镖商店,40005,巡海夜叉卡,husong,3,,,6,,,,,,1,,2,,2800,0,0,1,,,,,35,,,,,
26,16,16,押镖商店,40005,巡海夜叉卡,husong,3,,,6,,,,,,1,,3,,1180,0,0,1,,,,,38,,,,,
26,17,17,押镖商店,40006,持国天王卡,husong,3,,,6,,,,,,1,,3,,1180,0,0,1,,,,,41,,,,,
26,18,18,押镖商店,40006,持国天王卡,husong,3,,,6,,,,,,1,,2,,2800,0,0,1,,,,,44,,,,,
26,19,19,押镖商店,40006,持国天王卡,husong,3,,,6,,,,,,1,,2,,2800,0,0,1,,,,,47,,,,,
26,20,20,押镖商店,64005,灵活小猫,husong,3,"4,5",,1,,,,,,1,,2,,36800,0,0,1,,,,,50,,,,,
26,21,21,押镖商店,40010,人鱼公主卡,husong,3,,,6,,,,,,1,,3,,1180,0,0,1,,,,,53,,,,,
26,22,22,押镖商店,40010,人鱼公主卡,husong,3,,,6,,,,,,1,,2,,2800,0,0,1,,,,,56,,,,,
26,23,23,押镖商店,40010,人鱼公主卡,husong,3,,,6,,,,,,1,,2,,2800,0,0,1,,,,,59,,,,,
26,24,24,押镖商店,40004,狐妖卡,husong,3,,,6,,,,,,1,,2,,2800,0,0,1,,,,,62,,,,,
26,25,25,押镖商店,40004,狐妖卡,husong,3,,,6,,,,,,1,,3,,1180,0,0,1,,,,,65,,,,,
26,26,26,押镖商店,40004,狐妖卡,husong,3,,,6,,,,,,1,,3,,1180,0,0,1,,,,,69,,,,,
26,27,27,押镖商店,40012,广目天王卡,husong,3,,,6,,,,,,1,,2,,4350,0,0,1,,,,,73,,,,,
26,28,28,押镖商店,40012,广目天王卡,husong,3,,,6,,,,,,1,,2,,4350,0,0,1,,,,,77,,,,,
26,29,29,押镖商店,40012,广目天王卡,husong,3,,,6,,,,,,1,,3,,1220,0,0,1,,,,,81,,,,,
26,30,30,押镖商店,40013,重明鸟卡,husong,3,,,6,,,,,,1,,3,,1220,0,0,1,,,,,85,,,,,
26,31,31,押镖商店,40013,重明鸟卡,husong,3,,,6,,,,,,1,,2,,2900,0,0,1,,,,,89,,,,,
26,32,32,押镖商店,40013,重明鸟卡,husong,3,,,6,,,,,,1,,2,,2900,0,0,1,,,,,93,,,,,
26,33,33,押镖商店,40056,九尾狐卡,husong,3,,,4,,,,,,1,,3,,1220,0,0,1,,,,,97,,,,,
26,34,34,押镖商店,40056,九尾狐卡,husong,3,,,4,,,,,,1,,3,,1220,0,0,1,,,,,101,,,,,
26,35,35,押镖商店,40056,九尾狐卡,husong,3,,,4,,,,,,1,,2,,2900,0,0,1,,,,,105,,,,,
26,36,36,押镖商店,40014,巨灵神卡,husong,3,,,4,,,,,,1,,2,,2900,0,0,1,,,,,109,,,,,
26,37,37,押镖商店,40014,巨灵神卡,husong,3,,,4,,,,,,1,,2,,2900,0,0,1,,,,,113,,,,,
26,38,38,押镖商店,40014,巨灵神卡,husong,3,,,4,,,,,,1,,3,,1220,0,0,1,,,,,117,,,,,
26,39,39,押镖商店,40007,河神卡,husong,3,,,4,,,,,,1,,2,,2900,0,0,1,,,,,121,,,,,
26,40,40,押镖商店,40007,河神卡,husong,3,,,4,,,,,,1,,2,,2900,0,0,1,,,,,125,,,,,
26,41,41,押镖商店,40007,河神卡,husong,3,,,4,,,,,,1,,3,,1220,0,0,1,,,,,129,,,,,
26,42,42,押镖商店,40017,龙龟卡,husong,3,,,2,,,,,,1,,3,,1270,0,0,1,,,,,133,,,,,
26,43,43,押镖商店,40029,白象王卡,husong,3,,,1,,,,,,1,,2,,32800,0,0,1,,,,,150,,,,,
26,44,44,押镖商店,40017,龙龟卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,156,,,,,
26,45,45,押镖商店,40017,龙龟卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,162,,,,,
26,46,46,押镖商店,40018,武士卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,168,,,,,
26,47,47,押镖商店,40018,武士卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,174,,,,,
26,48,48,押镖商店,40018,武士卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,180,,,,,
26,49,49,押镖商店,40019,年兽卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,186,,,,,
26,50,50,押镖商店,40019,年兽卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,194,,,,,
26,51,51,押镖商店,40019,年兽卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,202,,,,,
26,52,52,押镖商店,40020,黑风小妖卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,210,,,,,
26,53,53,押镖商店,40020,黑风小妖卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,218,,,,,
26,54,54,押镖商店,40020,黑风小妖卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,226,,,,,
26,55,55,押镖商店,40021,熊猫卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,234,,,,,
26,56,56,押镖商店,40021,熊猫卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,243,,,,,
26,57,57,押镖商店,40021,熊猫卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,252,,,,,
26,58,58,押镖商店,40022,黑水麒麟卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,261,,,,,
26,59,59,押镖商店,40022,黑水麒麟卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,270,,,,,
26,60,60,押镖商店,40022,黑水麒麟卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,279,,,,,
26,61,61,押镖商店,40023,火德真君卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,288,,,,,
26,62,62,押镖商店,40023,火德真君卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,297,,,,,
26,63,63,押镖商店,40023,火德真君卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,306,,,,,
26,64,64,押镖商店,40017,龙龟卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,315,,,,,
26,65,65,押镖商店,40017,龙龟卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,324,,,,,
26,66,66,押镖商店,40017,龙龟卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,333,,,,,
26,67,67,押镖商店,40018,武士卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,342,,,,,
26,68,68,押镖商店,40018,武士卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,351,,,,,
26,69,69,押镖商店,40018,武士卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,360,,,,,
26,70,70,押镖商店,40019,年兽卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,369,,,,,
26,71,71,押镖商店,40019,年兽卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,378,,,,,
26,72,72,押镖商店,40019,年兽卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,387,,,,,
26,73,73,押镖商店,40020,黑风小妖卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,396,,,,,
26,74,74,押镖商店,40020,黑风小妖卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,405,,,,,
26,75,75,押镖商店,40020,黑风小妖卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,414,,,,,
26,76,76,押镖商店,40021,熊猫卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,423,,,,,
26,77,77,押镖商店,40021,熊猫卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,432,,,,,
26,78,78,押镖商店,40021,熊猫卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,441,,,,,
26,79,79,押镖商店,40022,黑水麒麟卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,450,,,,,
26,80,80,押镖商店,40022,黑水麒麟卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,459,,,,,
26,81,81,押镖商店,40022,黑水麒麟卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,468,,,,,
26,82,82,押镖商店,40023,火德真君卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,477,,,,,
26,83,83,押镖商店,40023,火德真君卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,486,,,,,
26,84,84,押镖商店,40023,火德真君卡,husong,3,,,2,,,,,,1,,2,,2730,0,0,1,,,,,495,,,,,
27,1,1,答题商店,63013,百科全书,dati,2,"1,13",,1,,,,,,1,,2,,800,0,0,1,,,,,,20,,,,
27,2,2,答题商店,63011,才高八斗,dati,2,"1,11",,1,,,,,,1,,2,,2300,0,0,1,,,,,,60,,,,
27,3,3,答题商店,63012,学富五车,dati,2,"1,12",,1,,,,,,1,,2,,4800,0,0,1,,,,,,160,,,,
27,4,4,答题商店,63024,读万卷书,dati,2,"1,24",,1,,,,,,1,,2,,7300,0,0,1,,,,,,280,,,,
27,5,5,答题商店,63025,金榜题名,dati,2,"1,25",,1,,,,,,1,,2,,9800,0,0,1,,,,,,440,,,,
27,6,6,答题商店,63026,状元郎,dati,2,"1,26",,1,,,,,,1,,2,,19800,0,0,1,,,,,,760,,,,
27,7,7,答题商店,65008,白日飞升,dati,2,"2,8",,1,,,,,,1,,2,,10800,0,0,1,,,,,,620,,,,
27,8,8,答题商店,67008,迷蝶仙子,dati,2,"14,8",,1,,,,,,1,,2,,17800,0,0,1,,,,,,880,,,,
28,1,1,个人商店,60001,精炼石,geren,2,,,200,,,,,,1,,2,,200,0,0,1,,,,,,,3,,,
28,2,2,个人商店,60002,锻造石,geren,2,,,50,,,,,,1,,2,,300,0,0,1,,,,,,,9,,,
28,3,3,个人商店,60001,精炼石,geren,2,,,400,,,,,,1,,3,,100,0,0,1,,,,,,,13,,,
28,4,4,个人商店,60003,宝石精华,geren,2,,,30,,,,,,1,,2,,900,0,0,1,,,,,,,19,,,
28,5,5,个人商店,60045,银两兑换令,geren,2,,,4,,,,,,1,,2,,150,0,0,1,,,,,,,25,,,
28,6,6,个人商店,60001,精炼石,geren,2,,,600,,,,,,1,,2,,500,0,0,1,,,,,,,31,,,
28,7,7,个人商店,60002,锻造石,geren,2,,,70,,,,,,1,,2,,400,0,0,1,,,,,,,39,,,
28,8,8,个人商店,60003,宝石精华,geren,2,,,40,,,,,,1,,2,,1200,0,0,1,,,,,,,49,,,
28,9,9,个人商店,63007,深藏不露,geren,2,"1,7",,1,,,,,,1,,2,,2400,0,0,1,,,,,,,54,,,
28,10,10,个人商店,60045,银两兑换令,geren,2,,,5,,,,,,1,,2,,200,0,0,1,,,,,,,60,,,
28,11,11,个人商店,60003,宝石精华,geren,2,,,50,,,,,,1,,3,,1180,0,0,1,,,,,,,66,,,
28,12,12,个人商店,60001,精炼石,geren,2,,,800,,,,,,1,,2,,600,0,0,1,,,,,,,70,,,
28,13,13,个人商店,60002,锻造石,geren,2,,,90,,,,,,1,,2,,550,0,0,1,,,,,,,81,,,
28,14,14,个人商店,60003,宝石精华,geren,2,,,60,,,,,,1,,2,,1800,0,0,1,,,,,,,93,,,
28,15,15,个人商店,60045,银两兑换令,geren,2,,,6,,,,,,1,,2,,200,0,0,1,,,,,,,105,,,
28,16,16,个人商店,60001,精炼石,geren,2,,,1200,,,,,,1,,2,,900,0,0,1,,,,,,,117,,,
28,17,17,个人商店,60003,宝石精华,geren,2,,,70,,,,,,1,,3,,1500,0,0,1,,,,,,,121,,,
28,18,18,个人商店,60002,锻造石,geren,2,,,130,,,,,,1,,2,,700,0,0,1,,,,,,,129,,,
28,19,19,个人商店,60003,宝石精华,geren,2,,,80,,,,,,1,,2,,2300,0,0,1,,,,,,,142,,,
28,20,20,个人商店,60045,银两兑换令,geren,2,,,7,,,,,,1,,2,,200,0,0,1,,,,,,,156,,,
28,21,21,个人商店,60001,精炼石,geren,2,,,1600,,,,,,1,,2,,1100,0,0,1,,,,,,,169,,,
28,22,22,个人商店,60002,锻造石,geren,2,,,170,,,,,,1,,2,,900,0,0,1,,,,,,,183,,,
28,23,23,个人商店,60003,宝石精华,geren,2,,,100,,,,,,1,,2,,2400,0,0,1,,,,,,,198,,,
28,24,24,个人商店,60003,宝石精华,geren,2,,,120,,,,,,1,,3,,1880,0,0,1,,,,,,,204,,,
28,25,25,个人商店,60045,银两兑换令,geren,2,,,8,,,,,,1,,2,,300,0,0,1,,,,,,,213,,,
28,26,26,个人商店,60001,精炼石,geren,2,,,2000,,,,,,1,,2,,1400,0,0,1,,,,,,,228,,,
28,27,27,个人商店,60002,锻造石,geren,2,,,250,,,,,,1,,2,,1100,0,0,1,,,,,,,243,,,
28,28,28,个人商店,60003,宝石精华,geren,2,,,140,,,,,,1,,2,,2700,0,0,1,,,,,,,259,,,
28,29,29,个人商店,60045,银两兑换令,geren,2,,,9,,,,,,1,,2,,300,0,0,1,,,,,,,276,,,
28,30,30,个人商店,60001,精炼石,geren,2,,,2500,,,,,,1,,2,,1700,0,0,1,,,,,,,292,,,
28,31,31,个人商店,60002,锻造石,geren,2,,,350,,,,,,1,,2,,1300,0,0,1,,,,,,,310,,,
28,32,32,个人商店,60003,宝石精华,geren,2,,,160,,,,,,1,,2,,3000,0,0,1,,,,,,,328,,,
