f,"二级索引  100白色,101蓝色,102金色,103普通传奇,104传奇套装",说明,值
attrFactorEx,300070,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围72}}","[1]={{0.825,1.0725,60},{1.0725,1.32,28},{1.32,1.65,8},{1.65,1.65,4}},[2]={{1,1,100}}"
attrFactorEx,300071,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围73}}","[1]={{0.825,1.0725,60},{1.0725,1.32,28},{1.32,1.65,8},{1.65,1.65,4}},[2]={{1,1,100}}"
attrFactorEx,300072,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围74}}","[1]={{0.5,0.65,60},{0.65,0.8,28},{0.8,1,8},{1,1,4}},[2]={{1,1,100}}"
attrFactorEx,300073,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围75}}","[1]={{0.825,1.0725,60},{1.0725,1.32,28},{1.32,1.65,8},{1.65,1.65,4}},[2]={{1,1,100}}"
attrFactorEx,300075,"精致打造属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围77}}","[1]={{1,1.3,60},{1.3,1.6,28},{1.6,2,8},{2,2,4}},[2]={{1,1,100}}"
attrBase,demage,"属性基础值[1]=主属性基础值,[2]=附加属性基础值","[1]=250,[2]=27.7778"
attrBase,fireatt,"属性基础值[1]=主属性基础值,[2]=附加属性基础值","[1]=250,[2]=27.7778"
attrBase,maxHP,"属性基础值[1]=主属性基础值,[2]=附加属性基础值","[1]=1666.6667,[2]=111.1111"
attrBase,hujia,"属性基础值[1]=主属性基础值,[2]=附加属性基础值","[1]=35.5145,[2]=8.9977"
attrBase,chuanjia,"属性基础值[1]=主属性基础值,[2]=附加属性基础值","[1]=0,[2]=5.9924"
attrBase,firedef,"属性基础值[1]=主属性基础值,[2]=附加属性基础值","[1]=35.5145,[2]=8.9977"
attrBase,firedefthr,"属性基础值[1]=主属性基础值,[2]=附加属性基础值","[1]=35.9547,[2]=5.9924"
attrBase,hitrate,"属性基础值[1]=主属性基础值,[2]=附加属性基础值","[1]=0,[2]=9.8651"
attrBase,dodge,"属性基础值[1]=主属性基础值,[2]=附加属性基础值","[1]=47.3527,[2]=7.8921"
attrBase,critrate,"属性基础值[1]=主属性基础值,[2]=附加属性基础值","[1]=31.5685,[2]=5.2614"
attrBase,critratedec,"属性基础值[1]=主属性基础值,[2]=附加属性基础值","[1]=39.4606,[2]=6.5768"
attrBase,debuffhit,"属性基础值[1]=主属性基础值,[2]=附加属性基础值","[1]=0,[2]=21.307"
attrBase,debuffdec,"属性基础值[1]=主属性基础值,[2]=附加属性基础值","[1]=127.842,[2]=21.307"
attrBase,attPer,"属性基础值[1]=主属性基础值,[2]=附加属性基础值","[1]=0,[2]=0.0167"
attrBase,fireAttPer,"属性基础值[1]=主属性基础值,[2]=附加属性基础值","[1]=0,[2]=0.0167"
attrBase,hpPer,"属性基础值[1]=主属性基础值,[2]=附加属性基础值","[1]=0,[2]=0.0167"
baseAttrCount,weapon,主属性词缀库数量,1
baseAttrCount,cap,主属性词缀库数量,1
baseAttrCount,cloth,主属性词缀库数量,1
baseAttrCount,shoe,主属性词缀库数量,1
baseAttrCount,neck,主属性词缀库数量,1
baseAttrCount,mask,主属性词缀库数量,1
lastAttrCount,enLevel,"附加属性词缀数量[强化等级]={{最少条数,权重},{最多条数,权重}}","[4]={{1,100},{1,100}},[7]={{2,100},{2,100}},[10]={{3,100},{3,100}}"
lastWord,201,"附加属性词库[强化等级]={{词缀1},{词缀2}}","[4]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[7]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[10]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}}"
lastWord,301,"附加属性词库[强化等级]={{词缀1},{词缀2}}","[4]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[7]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[10]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}}"
lastWord,302,"附加属性词库[强化等级]={{词缀1},{词缀2}}","[4]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[7]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[10]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}}"
lastWord,401,"附加属性词库[强化等级]={{词缀1},{词缀2}}","[4]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[7]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[10]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}}"
lastWord,501,"附加属性词库[强化等级]={{词缀1},{词缀2}}","[4]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[7]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[10]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}}"
lastWord,502,"附加属性词库[强化等级]={{词缀1},{词缀2}}","[4]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[7]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[10]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}}"
lastWord,601,"附加属性词库[强化等级]={{词缀1},{词缀2}}","[4]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[7]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[10]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}}"
lastWord,700,"附加属性词库[强化等级]={{词缀1},{词缀2}}","[4]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[7]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[10]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}}"
lastWord,701,"附加属性词库[强化等级]={{词缀1},{词缀2}}","[4]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[7]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[10]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}}"
lastWord,702,"附加属性词库[强化等级]={{词缀1},{词缀2}}","[4]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[7]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[10]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}}"
lastWord,703,"附加属性词库[强化等级]={{词缀1},{词缀2}}","[4]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[7]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[10]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}}"
lastWord,704,"附加属性词库[强化等级]={{词缀1},{词缀2}}","[4]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[7]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}},[10]={{""demage"",30},{""fireatt"",30},{""maxHP"",30},{""hujia"",30},{""chuanjia"",30},{""firedef"",30},{""firedefthr"",30},{""hitrate"",30},{""dodge"",30},{""critrate"",30},{""critratedec"",30},{""debuffhit"",30},{""debuffdec"",30},{""attPer"",30},{""fireAttPer"",30},{""hpPer"",30}}"
enhanceRatio,demage,属性强化修正系数,1
enhanceRatio,fireatt,属性强化修正系数,1
enhanceRatio,maxHP,属性强化修正系数,1
enhanceRatio,hujia,属性强化修正系数,1
enhanceRatio,chuanjia,属性强化修正系数,1
enhanceRatio,firedef,属性强化修正系数,1
enhanceRatio,firedefthr,属性强化修正系数,1
enhanceRatio,hitrate,属性强化修正系数,1
enhanceRatio,dodge,属性强化修正系数,1
enhanceRatio,critrate,属性强化修正系数,1
enhanceRatio,critratedec,属性强化修正系数,1
enhanceRatio,debuffhit,属性强化修正系数,1
enhanceRatio,debuffdec,属性强化修正系数,1
enhanceRatio,attPer,属性强化修正系数,1
enhanceRatio,fireAttPer,属性强化修正系数,1
enhanceRatio,hpPer,属性强化修正系数,1
equipLevel,1,"属性物品等级修正 词={主属性修正,附加属性修正}","demage={1,1},fireatt={1,1},maxHP={1,1},hujia={1,1},chuanjia={1,1},firedef={1,1},firedefthr={0.66,1},hitrate={1,1},dodge={1,1},critrate={1,1},critratedec={0.66,1},debuffhit={1,1},debuffdec={0.66,1},attPer={1,1},fireAttPer={1,1},hpPer={1,1}"
equipLevel,2,"属性物品等级修正 词={主属性修正,附加属性修正}","demage={2.52,2.52},fireatt={2.52,2.52},maxHP={2.52,3.36},hujia={1.302,1.83},chuanjia={1.302,1.83},firedef={1.302,1.83},firedefthr={0.857,1.83},hitrate={1.302,1.74},dodge={1.302,1.74},critrate={1.302,1.74},critratedec={0.8122,1.74},debuffhit={1.302,1.74},debuffdec={0.8122,1.74},attPer={1.302,1.33},fireAttPer={1.302,1.33},hpPer={1.302,1.33}"
equipLevel,3,"属性物品等级修正 词={主属性修正,附加属性修正}","demage={6.35,6.35},fireatt={6.35,6.35},maxHP={6.35,11.64},hujia={1.71,3.38},chuanjia={1.71,3.38},firedef={1.71,3.38},firedefthr={1.124,3.38},hitrate={1.71,3.13},dodge={1.71,3.13},critrate={1.71,3.13},critratedec={1.04,3.13},debuffhit={1.71,3.13},debuffdec={1.04,3.13},attPer={1.71,1.83},fireAttPer={1.71,1.83},hpPer={1.71,1.83}"
equipLevel,4,"属性物品等级修正 词={主属性修正,附加属性修正}","demage={16,16},fireatt={16,16},maxHP={16,40},hujia={2.26,6.13},chuanjia={2.26,6.13},firedef={2.26,6.13},firedefthr={1.484,6.13},hitrate={2.26,5.64},dodge={2.26,5.64},critrate={2.26,5.64},critratedec={1.365,5.64},debuffhit={2.26,5.64},debuffdec={1.365,5.64},attPer={2.26,2.5},fireAttPer={2.26,2.5},hpPer={2.26,2.5}"
equipLevel,5,"属性物品等级修正 词={主属性修正,附加属性修正}","demage={40.33,40.33},fireatt={40.33,40.33},maxHP={40.33,134.43},hujia={2.57,9.32},chuanjia={2.57,9.32},firedef={2.57,9.32},firedefthr={1.69,9.32},hitrate={2.57,8.57},dodge={2.57,8.57},critrate={2.57,8.57},critratedec={1.56,8.57},debuffhit={2.57,8.57},debuffdec={1.56,8.57},attPer={2.57,3.33},fireAttPer={2.57,3.33},hpPer={2.57,3.33}"
