战斗类型,活动索引,活动标题,奖励描述
12,79,三界试炼 第69关,奖励：银两、仙君进阶丹
12,80,三界试炼 第70关,奖励：银两、仙君进阶丹
12,81,三界试炼 第71关,奖励：银两、仙君进阶丹
12,82,三界试炼 第72关,奖励：银两、仙君进阶丹
12,83,三界试炼 第73关,奖励：银两、仙君进阶丹
12,84,三界试炼 第74关,奖励：银两、仙君进阶丹
12,85,三界试炼 第75关,奖励：银两、仙君进阶丹
12,86,三界试炼 第76关,奖励：银两、仙君进阶丹
12,87,三界试炼 第77关,奖励：银两、仙君进阶丹
12,88,三界试炼 第78关,奖励：银两、仙君进阶丹
12,89,三界试炼 第79关,奖励：银两、仙君进阶丹
12,90,三界试炼 第80关,奖励：银两、仙君进阶丹
12,91,三界试炼 第81关,奖励：银两、仙君进阶丹
12,92,三界试炼 第82关,奖励：银两、仙君进阶丹
12,93,三界试炼 第83关,奖励：银两、仙君进阶丹
12,94,三界试炼 第84关,奖励：银两、仙君进阶丹
12,95,三界试炼 第85关,奖励：银两、仙君进阶丹
12,96,三界试炼 第86关,奖励：银两、仙君进阶丹
12,97,三界试炼 第87关,奖励：银两、仙君进阶丹
12,98,三界试炼 第88关,奖励：银两、仙君进阶丹
12,99,三界试炼 第89关,奖励：银两、仙君进阶丹
12,100,三界试炼 第90关,奖励：银两、仙君进阶丹
12,101,三界试炼 第91关,奖励：银两、仙君进阶丹
12,102,三界试炼 第92关,奖励：银两、仙君进阶丹
12,103,三界试炼 第93关,奖励：银两、仙君进阶丹
12,104,三界试炼 第94关,奖励：银两、仙君进阶丹
12,105,三界试炼 第95关,奖励：银两、仙君进阶丹
12,106,三界试炼 第96关,奖励：银两、仙君进阶丹
12,107,三界试炼 第97关,奖励：银两、仙君进阶丹
12,108,三界试炼 第98关,奖励：银两、仙君进阶丹
12,109,三界试炼 第99关,奖励：银两、仙君进阶丹
12,110,三界试炼 第100关,奖励：银两、仙君进阶丹
12,111,三界试炼 第101关,奖励：银两、仙君进阶丹
12,112,三界试炼 第102关,奖励：银两、仙君进阶丹
12,113,三界试炼 第103关,奖励：银两、仙君进阶丹
12,114,三界试炼 第104关,奖励：银两、仙君进阶丹
12,115,三界试炼 第105关,奖励：银两、仙君进阶丹
12,116,三界试炼 第106关,奖励：银两、仙君进阶丹
12,117,三界试炼 第107关,奖励：银两、仙君进阶丹
12,118,三界试炼 第108关,奖励：银两、仙君进阶丹
12,119,三界试炼 第109关,奖励：银两、仙君进阶丹
12,120,三界试炼 第110关,奖励：银两、仙君进阶丹
12,121,三界试炼 第111关,奖励：银两、仙君进阶丹
12,122,三界试炼 第112关,奖励：银两、仙君进阶丹
12,123,三界试炼 第113关,奖励：银两、仙君进阶丹
12,124,三界试炼 第114关,奖励：银两、仙君进阶丹
12,125,三界试炼 第115关,奖励：银两、仙君进阶丹
12,126,三界试炼 第116关,奖励：银两、仙君进阶丹
12,127,三界试炼 第117关,奖励：银两、仙君进阶丹
12,128,三界试炼 第118关,奖励：银两、仙君进阶丹
12,129,三界试炼 第119关,奖励：银两、仙君进阶丹
12,130,三界试炼 第120关,奖励：银两、仙君进阶丹
13,11,组队副本 40级,奖励：银两、经验、进阶装备
13,12,组队副本 60级,奖励：银两、经验、进阶装备
13,13,组队副本 80级,奖励：银两、经验、进阶装备
13,14,组队副本 100级,奖励：银两、经验、进阶装备
13,15,组队副本 120级,奖励：银两、经验、进阶装备
13,16,组队副本 140级,奖励：银两、经验、进阶装备
13,17,组队副本 160级,奖励：银两、经验、进阶装备
13,18,组队副本 180级,奖励：银两、经验、进阶装备
13,19,组队副本 200级,奖励：银两、经验、进阶装备
13,20,组队副本 220级,奖励：银两、经验、进阶装备
13,21,组队副本 240级,奖励：银两、经验、进阶装备
13,22,组队副本 260级,奖励：银两、经验、进阶装备
13,23,组队副本 280级,奖励：银两、经验、进阶装备
14,0,个人BOSS,奖励：金装碎片、金色装备、紫色装备
15,0,全民BOSS,奖励：金装碎片、金色装备、紫色装备、经验
16,0,野外BOSS（PVE）,奖励：神装碎片、元宝、橙色装备、金装碎片
17,100,帮会副本1,奖励：天工木、随机属性丹、帮贡
17,101,帮会副本2,奖励：天工木、随机属性丹、帮贡
17,102,帮会副本3,奖励：天工木、随机属性丹、帮贡
17,103,帮会副本4,奖励：天工木、随机属性丹、帮贡
17,104,帮会副本5,奖励：天工木、随机属性丹、帮贡
17,105,帮会副本6,奖励：天工木、随机属性丹、帮贡
17,106,帮会副本7,奖励：天工木、随机属性丹、帮贡
17,107,帮会副本8,奖励：天工木、随机属性丹、帮贡
17,108,帮会副本9,奖励：天工木、随机属性丹、帮贡
17,109,帮会副本10,奖励：天工木、随机属性丹、帮贡
18,0,押镖活动,奖励：银两、帮贡、宠物技能石、随机属性丹
19,0,东海降妖,奖励：银两、经验
20,0,猪八戒第1关,奖励：神兽、元宝、经验、金色装备
20,1,猪八戒第2关,奖励：神兽、元宝、经验、金色装备
20,2,猪八戒第3关,奖励：神兽、元宝、经验、金色装备
20,3,猪八戒第4关,奖励：神兽、元宝、经验、金色装备
20,4,猪八戒第5关,奖励：神兽、元宝、经验、金色装备
20,5,猪八戒第6关,奖励：神兽、元宝、经验、金色装备
20,6,猪八戒第7关,奖励：神兽、元宝、经验、金色装备
20,7,猪八戒第8关,奖励：神兽、元宝、经验、金色装备
20,8,猪八戒第9关,奖励：神兽、元宝、经验、金色装备
20,9,猪八戒第10关,奖励：神兽、元宝、经验、金色装备
20,100,年兽第1关,奖励：神兽、元宝、属性丹、进阶丹、技能书、法宝
20,101,年兽第2关,奖励：神兽、元宝、属性丹、进阶丹、技能书、法宝
20,102,年兽第3关,奖励：神兽、元宝、属性丹、进阶丹、技能书、法宝
20,103,年兽第4关,奖励：神兽、元宝、属性丹、进阶丹、技能书、法宝
20,104,年兽第5关,奖励：神兽、元宝、属性丹、进阶丹、技能书、法宝
20,105,年兽第6关,奖励：神兽、元宝、属性丹、进阶丹、技能书、法宝
20,106,年兽第7关,奖励：神兽、元宝、属性丹、进阶丹、技能书、法宝
20,107,年兽第8关,奖励：神兽、元宝、属性丹、进阶丹、技能书、法宝
20,108,年兽第9关,奖励：神兽、元宝、属性丹、进阶丹、技能书、法宝
20,109,年兽第10关,奖励：神兽、元宝、属性丹、进阶丹、技能书、法宝
20,200,冰龙第1关,奖励：神兽、元宝、属性丹、进阶丹、技能书、神装
20,201,冰龙第2关,奖励：神兽、元宝、属性丹、进阶丹、技能书、神装
20,202,冰龙第3关,奖励：神兽、元宝、属性丹、进阶丹、技能书、神装
20,203,冰龙第4关,奖励：神兽、元宝、属性丹、进阶丹、技能书、神装
20,204,冰龙第5关,奖励：神兽、元宝、属性丹、进阶丹、技能书、神装
20,205,冰龙第6关,奖励：神兽、元宝、属性丹、进阶丹、技能书、神装
20,206,冰龙第7关,奖励：神兽、元宝、属性丹、进阶丹、技能书、神装
20,207,冰龙第8关,奖励：神兽、元宝、属性丹、进阶丹、技能书、神装
20,208,冰龙第9关,奖励：神兽、元宝、属性丹、进阶丹、技能书、神装
20,209,冰龙第10关,奖励：神兽、元宝、属性丹、进阶丹、技能书、神装
20,300,封蛇第1关,奖励：神兽、元宝、属性丹、进阶丹、技能书、神装
20,301,封蛇第2关,奖励：神兽、元宝、属性丹、进阶丹、技能书、神装
20,302,封蛇第3关,奖励：神兽、元宝、属性丹、进阶丹、技能书、神装
20,303,封蛇第4关,奖励：神兽、元宝、属性丹、进阶丹、技能书、神装
20,304,封蛇第5关,奖励：神兽、元宝、属性丹、进阶丹、技能书、神装
20,305,封蛇第6关,奖励：神兽、元宝、属性丹、进阶丹、技能书、神装
20,306,封蛇第7关,奖励：神兽、元宝、属性丹、进阶丹、技能书、神装
20,307,封蛇第8关,奖励：神兽、元宝、属性丹、进阶丹、技能书、神装
20,308,封蛇第9关,奖励：神兽、元宝、属性丹、进阶丹、技能书、神装
20,309,封蛇第10关,奖励：神兽、元宝、属性丹、进阶丹、技能书、神装
20,400,鹿力大仙第1关,奖励：神兽、元宝、属性丹、进阶丹、技能书、突破丹
20,401,鹿力大仙第2关,奖励：神兽、元宝、属性丹、进阶丹、技能书、突破丹
20,402,鹿力大仙第3关,奖励：神兽、元宝、属性丹、进阶丹、技能书、突破丹
20,403,鹿力大仙第4关,奖励：神兽、元宝、属性丹、进阶丹、技能书、突破丹
20,404,鹿力大仙第5关,奖励：神兽、元宝、属性丹、进阶丹、技能书、突破丹
20,405,鹿力大仙第6关,奖励：神兽、元宝、属性丹、进阶丹、技能书、突破丹
20,406,鹿力大仙第7关,奖励：神兽、元宝、属性丹、进阶丹、技能书、突破丹
20,407,鹿力大仙第8关,奖励：神兽、元宝、属性丹、进阶丹、技能书、突破丹
20,408,鹿力大仙第9关,奖励：神兽、元宝、属性丹、进阶丹、技能书、突破丹
20,409,鹿力大仙第10关,奖励：神兽、元宝、属性丹、进阶丹、技能书、突破丹
20,500,象神第1关,奖励：神兽、元宝、属性丹、进阶丹、技能书、法宝
20,501,象神第2关,奖励：神兽、元宝、属性丹、进阶丹、技能书、法宝
20,502,象神第3关,奖励：神兽、元宝、属性丹、进阶丹、技能书、法宝
20,503,象神第4关,奖励：神兽、元宝、属性丹、进阶丹、技能书、法宝
20,504,象神第5关,奖励：神兽、元宝、属性丹、进阶丹、技能书、法宝
20,505,象神第6关,奖励：神兽、元宝、属性丹、进阶丹、技能书、法宝
20,506,象神第7关,奖励：神兽、元宝、属性丹、进阶丹、技能书、法宝
20,507,象神第8关,奖励：神兽、元宝、属性丹、进阶丹、技能书、法宝
20,508,象神第9关,奖励：神兽、元宝、属性丹、进阶丹、技能书、法宝
20,509,象神第10关,奖励：神兽、元宝、属性丹、进阶丹、技能书、法宝
9,0,帮会强盗,帮贡、随机属性丹
21,0,野外BOSS（PVP）,奖励：神装碎片、元宝、橙色装备、金装碎片
23,0,天下第一,奖励：天下第一积分、红色进阶装备
24,0,英雄大会,奖励：皮肤碎片、锻造石、进阶丹、法宝升阶石
