,名称,模型,难度系数,等级,生命上限,面板物理攻击,防御,出手速度,暴击值,抗暴值,爆伤加成,闪避值,命中值,无视防御,减免无视,暴伤减免,伤害增加,伤害减少,PVP伤加,PVP伤减,PVE伤加,PVE伤减,技能列表,技能队列,头目,普通技能ID
145609,白熊精,20015,0,100,86008,166025,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
145610,小白虎,20011,0,100,1563789,212852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80052,"0,0,0,0",1,80052
145709,跳跳鼠,100004,0,100,86267,166415,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80004,"0,0,0,0",0,80004
145710,龙象精,20028,0,100,1568485,213352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80069,"0,0,0,0",1,80069
145809,石巨人,100024,0,100,86525,166805,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80024,"0,0,0,0",0,80024
145810,云中子,100034,0,100,1573180,213852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80034,"0,0,0,0",1,80034
145909,硬壳龟,100027,0,100,86783,167195,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80027,"0,0,0,0",0,80027
145910,熊精,20009,0,100,1577876,214352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80050,"0,0,0,0",1,80050
146009,异面怪,100009,0,100,87041,167585,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80009,"0,0,0,0",0,80009
146010,逸琼玄女,100032,0,100,1582572,214852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80032,"0,0,0,0",1,80032
146109,古树精,100013,0,100,87300,167975,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80013,"0,0,0,0",0,80013
146110,黑风小妖,20020,0,100,1587267,215352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80061,"0,0,0,0",1,80061
146209,硬壳龟,100027,0,100,87558,168365,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80027,"0,0,0,0",0,80027
146210,炼丹童子,17002,0,100,1591963,215852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80090,"0,0,0,0",1,80090
146309,灵猴,100023,0,100,87816,168755,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80023,"0,0,0,0",0,80023
146310,重明鸟,20013,0,100,1596658,216352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80054,"0,0,0,0",1,80054
146409,瞌睡蛇,100020,0,100,88074,169145,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80020,"0,0,0,0",0,80020
146410,鲛人,20003,0,100,1601354,216852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80044,"0,0,0,0",1,80044
146509,林妖,100014,0,100,88333,169535,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80014,"0,0,0,0",0,80014
146510,流浪剑客,17005,0,100,1606049,217352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80093,"0,0,0,0",1,80093
146609,剑魂,100012,0,100,88591,169925,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80012,"0,0,0,0",0,80012
146610,狮驼,20046,0,100,1610745,217852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80087,"0,0,0,0",1,80087
146709,利刃猿,100028,0,100,88849,170315,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80028,"0,0,0,0",0,80028
146710,魑,100041,0,100,1615441,218352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80041,"0,0,0,0",1,80041
146809,木鱼怪,100026,0,100,89107,170705,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80026,"0,0,0,0",0,80026
146810,靡籁,100036,0,100,1620136,218852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80036,"0,0,0,0",1,80036
146909,灵猴,100023,0,100,89366,171095,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80023,"0,0,0,0",0,80023
146910,熊精,20009,0,100,1624832,219352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80050,"0,0,0,0",1,80050
147009,利刃猿,100028,0,100,89624,171485,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80028,"0,0,0,0",0,80028
147010,晶魂,20018,0,100,1629527,219852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80059,"0,0,0,0",1,80059
147109,林妖,100014,0,100,89882,171875,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80014,"0,0,0,0",0,80014
147110,棕熊,20008,0,100,1634223,220352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80049,"0,0,0,0",1,80049
147209,剑魂,100012,0,100,90141,172265,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80012,"0,0,0,0",0,80012
147210,狐妖,20004,0,100,1638918,220852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80045,"0,0,0,0",1,80045
147309,炎魔,100017,0,100,90399,172655,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80017,"0,0,0,0",0,80017
147310,魑,100041,0,100,1643614,221352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80041,"0,0,0,0",1,80041
147409,林妖,100014,0,100,90657,173045,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80014,"0,0,0,0",0,80014
147410,狮驼,20046,0,100,1648310,221852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80087,"0,0,0,0",1,80087
147509,寒霜狼,100011,0,100,90915,173435,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80011,"0,0,0,0",0,80011
147510,青龙,20040,0,100,1653005,222352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80081,"0,0,0,0",1,80081
147609,石狮,100007,0,100,91174,173825,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80007,"0,0,0,0",0,80007
147610,龙象精,20028,0,100,1657701,222852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80069,"0,0,0,0",1,80069
147709,寒霜狼,100011,0,100,91432,174215,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80011,"0,0,0,0",0,80011
147710,招财猫,20035,0,100,1662396,223352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80076,"0,0,0,0",1,80076
147809,古树精,100013,0,100,91690,174605,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80013,"0,0,0,0",0,80013
147810,靡籁,100036,0,100,1667092,223852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80036,"0,0,0,0",1,80036
147909,跳跳鼠,100004,0,100,91948,174995,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80004,"0,0,0,0",0,80004
147910,虎力大仙,20044,0,100,1671788,224352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80085,"0,0,0,0",1,80085
148009,寒霜狼,100011,0,100,92207,175385,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80011,"0,0,0,0",0,80011
148010,黑风老妖,20034,0,100,1676483,224852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80075,"0,0,0,0",1,80075
148109,异面怪,100009,0,110,92523,175775,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80009,"0,0,0,0",0,80009
148110,鹿力大仙,20047,0,110,1682235,225352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80088,"0,0,0,0",1,80088
148209,巫龟,100022,0,110,92839,176165,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80022,"0,0,0,0",0,80022
148210,猪刚鬣,20043,0,110,1687987,225852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80084,"0,0,0,0",1,80084
148309,山精,100029,0,110,93156,176555,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80029,"0,0,0,0",0,80029
148310,炼丹童子,17002,0,110,1693739,226352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80090,"0,0,0,0",1,80090
148409,小僵尸,100019,0,110,93472,176945,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80019,"0,0,0,0",0,80019
148410,鹿力大仙,20047,0,110,1699491,226852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80088,"0,0,0,0",1,80088
148509,石狮,100007,0,110,93788,177335,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80007,"0,0,0,0",0,80007
148510,冰龙,20030,0,110,1705244,227352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80071,"0,0,0,0",1,80071
148609,小僵尸,100019,0,110,94105,177725,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80019,"0,0,0,0",0,80019
148610,鲨鱼精,20007,0,110,1710996,227852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80048,"0,0,0,0",1,80048
148709,炎魔,100017,0,110,94421,178115,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80017,"0,0,0,0",0,80017
148710,鲛人,20003,0,110,1716748,228352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80044,"0,0,0,0",1,80044
148809,白熊精,20015,0,110,94737,178505,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
148810,多闻天王,17006,0,110,1722500,228852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80094,"0,0,0,0",1,80094
148909,白熊精,20015,0,110,95054,178895,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
148910,玉冥真人,100033,0,110,1728252,229352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80033,"0,0,0,0",1,80033
149009,五毒蝎,100021,0,110,95370,179285,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80021,"0,0,0,0",0,80021
149010,狻猊,20037,0,110,1734004,229852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80078,"0,0,0,0",1,80078
149109,巫龟,100022,0,110,95687,179675,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80022,"0,0,0,0",0,80022
149110,封蛇,20032,0,110,1739756,230352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80073,"0,0,0,0",1,80073
149209,五毒蝎,100021,0,110,96003,180065,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80021,"0,0,0,0",0,80021
149210,粉红兔,20002,0,110,1745508,230852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80043,"0,0,0,0",1,80043
149309,跳跳鼠,100004,0,110,96319,180455,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80004,"0,0,0,0",0,80004
149310,剑邪,20012,0,110,1751260,231352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80053,"0,0,0,0",1,80053
149409,石巨人,100024,0,110,96636,180845,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80024,"0,0,0,0",0,80024
149410,鲛人,20003,0,110,1757012,231852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80044,"0,0,0,0",1,80044
149509,异面怪,100009,0,110,96952,181235,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80009,"0,0,0,0",0,80009
149510,巨灵,20014,0,110,1762764,232352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80055,"0,0,0,0",1,80055
149609,古树精,100013,0,110,97268,181625,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80013,"0,0,0,0",0,80013
149610,阎罗王,17008,0,110,1768517,232852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80096,"0,0,0,0",1,80096
149709,小乌龟,100001,0,110,97585,182015,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80001,"0,0,0,0",0,80001
149710,玄武,20042,0,110,1774269,233352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80083,"0,0,0,0",1,80083
149809,蝶精灵,100010,0,110,97901,182405,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80010,"0,0,0,0",0,80010
149810,重明鸟,20013,0,110,1780021,233852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80054,"0,0,0,0",1,80054
149909,山精,100029,0,110,98218,182795,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80029,"0,0,0,0",0,80029
149910,圣灵蝶,17004,0,110,1785773,234352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80092,"0,0,0,0",1,80092
150009,炎魔,100017,0,110,98534,183185,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80017,"0,0,0,0",0,80017
150010,狐妖,20004,0,110,1791525,234852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80045,"0,0,0,0",1,80045
150109,蚌精,100005,0,110,107837,183575,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80005,"0,0,0,0",0,80005
150110,玄武,20042,0,110,1797277,235352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80083,"0,0,0,0",1,80083
150209,白熊精,20015,0,110,99167,183965,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
150210,百花仙子,17009,0,110,1803029,235852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80097,"0,0,0,0",1,80097
150309,剑魂,100012,0,110,99483,184355,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80012,"0,0,0,0",0,80012
150310,玄武,20042,0,110,1808781,236352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80083,"0,0,0,0",1,80083
150409,异面怪,100009,0,110,99799,184745,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80009,"0,0,0,0",0,80009
150410,水龙,20038,0,110,1814533,236852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80079,"0,0,0,0",1,80079
150509,白熊精,20015,0,110,100116,185135,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
150510,炼丹童子,17002,0,110,1820285,237352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80090,"0,0,0,0",1,80090
150609,魔爪花,100025,0,110,100432,185525,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80025,"0,0,0,0",0,80025
150610,玄武,20042,0,110,1826037,237852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80083,"0,0,0,0",1,80083
150709,异面怪,100009,0,110,100748,185915,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80009,"0,0,0,0",0,80009
150710,剑邪,20012,0,110,1831789,238352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80053,"0,0,0,0",1,80053
150809,蛮牛,100006,0,110,101065,186305,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80006,"0,0,0,0",0,80006
150810,青龙,20040,0,110,1837542,238852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80081,"0,0,0,0",1,80081
150909,蚌精,100005,0,110,101381,186695,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80005,"0,0,0,0",0,80005
150910,封蛇,20032,0,110,1843294,239352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80073,"0,0,0,0",1,80073
151009,蛮牛,100006,0,110,101698,187085,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80006,"0,0,0,0",0,80006
151010,麒麟,20019,0,110,1849046,239852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80060,"0,0,0,0",1,80060
151109,跳跳鼠,100004,0,110,102014,187475,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80004,"0,0,0,0",0,80004
151110,靡籁,100036,0,110,1854798,240352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80036,"0,0,0,0",1,80036
151209,寒霜狼,100011,0,110,102330,187865,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80011,"0,0,0,0",0,80011
151210,青龙,20040,0,110,1860550,240852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80081,"0,0,0,0",1,80081
151309,异面怪,100009,0,110,102647,188255,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80009,"0,0,0,0",0,80009
151310,青龙,20040,0,110,1866302,241352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80081,"0,0,0,0",1,80081
151409,冰火螳螂,100016,0,110,102963,188645,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80016,"0,0,0,0",0,80016
151410,云中子,100034,0,110,1872054,241852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80034,"0,0,0,0",1,80034
151509,石巨人,100024,0,110,103279,189035,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80024,"0,0,0,0",0,80024
151510,宠物剑邪,100030,0,110,1877806,242352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80030,"0,0,0,0",1,80030
151609,小乌龟,100001,0,110,103596,189425,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80001,"0,0,0,0",0,80001
151610,棕熊,20008,0,110,1883558,242852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80049,"0,0,0,0",1,80049
151709,跳跳鼠,100004,0,110,103912,189815,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80004,"0,0,0,0",0,80004
151710,流浪剑客,17005,0,110,1889310,243352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80093,"0,0,0,0",1,80093
151809,白熊精,20015,0,110,104228,190205,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
151810,白熊精,20015,0,110,1895062,243852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",1,80008
151909,跳跳鼠,100004,0,110,104545,190595,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80004,"0,0,0,0",0,80004
151910,魅,100040,0,110,1900815,244352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80040,"0,0,0,0",1,80040
152009,五毒蝎,100021,0,110,104861,190985,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80021,"0,0,0,0",0,80021
152010,黑风小妖,20020,0,110,1906567,244852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80061,"0,0,0,0",1,80061
152109,山精,100029,0,110,105178,191375,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80029,"0,0,0,0",0,80029
152110,魑,100041,0,110,1912319,245352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80041,"0,0,0,0",1,80041
152209,石狮,100007,0,110,105494,191765,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80007,"0,0,0,0",0,80007
152210,宠物剑邪,100030,0,110,1918071,245852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80030,"0,0,0,0",1,80030
152309,石巨人,100024,0,110,105810,192155,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80024,"0,0,0,0",0,80024
152310,白象精,20029,0,110,1923823,246352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80070,"0,0,0,0",1,80070
152409,跳跳鼠,100004,0,110,106127,192545,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80004,"0,0,0,0",0,80004
152410,火灵,20023,0,110,1929575,246852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80064,"0,0,0,0",1,80064
152509,古树精,100013,0,110,106443,192935,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80013,"0,0,0,0",0,80013
152510,宠物剑邪,100030,0,110,1935327,247352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80030,"0,0,0,0",1,80030
152609,木鱼怪,100026,0,110,106759,193325,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80026,"0,0,0,0",0,80026
152610,炼丹童子,17002,0,110,1941079,247852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80090,"0,0,0,0",1,80090
152709,异面怪,100009,0,110,107076,193715,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80009,"0,0,0,0",0,80009
152710,虎力大仙,20044,0,110,1946831,248352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80085,"0,0,0,0",1,80085
152809,邪毒蜂,100018,0,110,107392,194105,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80018,"0,0,0,0",0,80018
152810,魑,100041,0,110,1952583,248852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80041,"0,0,0,0",1,80041
152909,硬壳龟,100027,0,110,107708,194495,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80027,"0,0,0,0",0,80027
152910,黑风小妖,20020,0,110,1958335,249352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80061,"0,0,0,0",1,80061
153009,山精,100029,0,110,108025,194885,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80029,"0,0,0,0",0,80029
153010,青龙,20040,0,110,1964087,249852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80081,"0,0,0,0",1,80081
153109,石巨人,100024,0,110,108341,195275,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80024,"0,0,0,0",0,80024
153110,九尾狐,20016,0,110,1969840,250352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80057,"0,0,0,0",1,80057
153209,巫龟,100022,0,110,108658,195665,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80022,"0,0,0,0",0,80022
153210,龙象精,20028,0,110,1975592,250852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80069,"0,0,0,0",1,80069
153309,寒霜狼,100011,0,110,108974,196055,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80011,"0,0,0,0",0,80011
153310,圣灵蝶,17004,0,110,1981344,251352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80092,"0,0,0,0",1,80092
153409,山精,100029,0,110,109290,196445,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80029,"0,0,0,0",0,80029
153410,多闻天王,17006,0,110,1987096,251852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80094,"0,0,0,0",1,80094
153509,山精,100029,0,110,109607,196835,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80029,"0,0,0,0",0,80029
153510,麒麟,20019,0,110,1992848,252352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80060,"0,0,0,0",1,80060
153609,硬壳龟,100027,0,110,109923,197225,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80027,"0,0,0,0",0,80027
153610,九尾狐,20016,0,110,1998600,252852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80057,"0,0,0,0",1,80057
153709,蛮牛,100006,0,110,110239,197615,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80006,"0,0,0,0",0,80006
153710,鲛人,20003,0,110,2004352,253352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80044,"0,0,0,0",1,80044
153809,林妖,100014,0,110,110556,198005,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80014,"0,0,0,0",0,80014
153810,靡籁,100036,0,110,2010104,253852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80036,"0,0,0,0",1,80036
153909,瞌睡蛇,100020,0,110,110872,198395,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80020,"0,0,0,0",0,80020
153910,鱼精,20005,0,110,2015856,254352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80046,"0,0,0,0",1,80046
154009,小僵尸,100019,0,110,111188,198785,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80019,"0,0,0,0",0,80019
154010,鹿力大仙,20047,0,110,2021608,254852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80088,"0,0,0,0",1,80088
154109,异面怪,100009,0,110,111505,199175,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80009,"0,0,0,0",0,80009
154110,粉红兔,20002,0,110,2027360,255352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80043,"0,0,0,0",1,80043
154209,林妖,100014,0,110,111821,199565,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80014,"0,0,0,0",0,80014
154210,桃花仙子,17003,0,110,2033113,255852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80091,"0,0,0,0",1,80091
154309,魔爪花,100025,0,110,112138,199955,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80025,"0,0,0,0",0,80025
154310,晶魂,20018,0,110,2038865,256352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80059,"0,0,0,0",1,80059
154409,巫龟,100022,0,110,112454,200345,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80022,"0,0,0,0",0,80022
154410,地狱三头犬,20025,0,110,2044617,256852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80035,"0,0,0,0",1,80035
154509,魔爪花,100025,0,110,112770,200735,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80025,"0,0,0,0",0,80025
154510,棕熊,20008,0,110,2050369,257352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80049,"0,0,0,0",1,80049
154609,冰火螳螂,100016,0,110,113087,201125,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80016,"0,0,0,0",0,80016
154610,晶魂,20018,0,110,2056121,257852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80059,"0,0,0,0",1,80059
154709,寒霜狼,100011,0,110,113403,201515,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80011,"0,0,0,0",0,80011
154710,白熊精,20015,0,110,2061873,258352,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",1,80008
