索引,说明,库,物品ID,物品名称,权重,数量,品质,条件,修正增加权重,装备额外属性加成
528,,57,10067,7阶覆羽,100,1,"{6,100}",,,10
529,,57,10077,7阶翼羽,100,1,"{6,100}",,,10
530,,57,10087,7阶法灵,100,1,"{6,100}",,,10
531,,57,10097,7阶法眼,100,1,"{6,100}",,,10
532,,57,10107,7阶阵魂,100,1,"{6,100}",,,10
533,,57,10117,7阶阵魄,100,1,"{6,100}",,,10
534,,57,10127,7阶川泽,100,1,"{6,100}",,,10
535,,57,10137,7阶百物,100,1,"{6,100}",,,10
536,,57,10147,7阶天神,100,1,"{6,100}",,,10
537,,57,10157,7阶地只,100,1,"{6,100}",,,10
538,,57,10167,7阶洞察,100,1,"{6,100}",,,10
539,,57,10177,7阶灵识,100,1,"{6,100}",,,10
540,,57,10187,7阶感知,100,1,"{6,100}",,,10
541,,57,10197,7阶敏锐,100,1,"{6,100}",,,10
542,,57,10207,7阶血魂,100,1,"{6,100}",,,10
543,,57,10217,7阶地魂,100,1,"{6,100}",,,10
544,,57,10227,7阶战魂,100,1,"{6,100}",,,10
545,,57,10237,7阶刹魂,100,1,"{6,100}",,,10
546,,57,10247,7阶凤冠,100,1,"{6,100}",,,10
547,,57,10257,7阶耳环,100,1,"{6,100}",,,10
548,,57,10267,7阶护胸,100,1,"{6,100}",,,10
549,,57,10277,7阶披纱,100,1,"{6,100}",,,10
550,,57,10287,7阶护鞘,100,1,"{6,100}",,,10
551,,57,10297,7阶护柄,100,1,"{6,100}",,,10
552,,57,10307,7阶护刃,100,1,"{6,100}",,,10
553,,57,10317,7阶玉璇,100,1,"{6,100}",,,10
554,,57,10327,7阶战盔,100,1,"{6,100}",,,10
555,,57,10337,7阶战甲,100,1,"{6,100}",,,10
556,,57,10347,7阶战靴,100,1,"{6,100}",,,10
557,,57,10357,7阶战符,100,1,"{6,100}",,,10
558,,57,10367,7阶正气,100,1,"{6,100}",,,10
559,,57,10377,7阶阳刚,100,1,"{6,100}",,,10
560,,57,10387,7阶阴柔,100,1,"{6,100}",,,10
561,,57,10397,7阶贯通,100,1,"{6,100}",,,10
562,,57,10407,7阶花灯,100,1,"{6,100}",,,10
563,,57,10417,7阶花铃,100,1,"{6,100}",,,10
564,,57,10427,7阶花环,100,1,"{6,100}",,,10
565,,57,10437,7阶花印,100,1,"{6,100}",,,10
566,,57,10447,7阶灵意,100,1,"{6,100}",,,10
567,,57,10457,7阶灵境,100,1,"{6,100}",,,10
568,,57,10467,7阶灵法,100,1,"{6,100}",,,10
569,,57,10477,7阶灵域,100,1,"{6,100}",,,10
570,8阶红色通用装备+10,58,10008,8阶铠首,100,1,"{6,100}",,,10
571,,58,10018,8阶马鞍,100,1,"{6,100}",,,10
572,,58,10028,8阶缰绳,100,1,"{6,100}",,,10
573,,58,10038,8阶马蹬,100,1,"{6,100}",,,10
574,,58,10048,8阶翎羽,100,1,"{6,100}",,,10
575,,58,10058,8阶飞羽,100,1,"{6,100}",,,10
576,,58,10068,8阶覆羽,100,1,"{6,100}",,,10
577,,58,10078,8阶翼羽,100,1,"{6,100}",,,10
578,,58,10088,8阶法灵,100,1,"{6,100}",,,10
579,,58,10098,8阶法眼,100,1,"{6,100}",,,10
580,,58,10108,8阶阵魂,100,1,"{6,100}",,,10
581,,58,10118,8阶阵魄,100,1,"{6,100}",,,10
582,,58,10128,8阶川泽,100,1,"{6,100}",,,10
583,,58,10138,8阶百物,100,1,"{6,100}",,,10
584,,58,10148,8阶天神,100,1,"{6,100}",,,10
585,,58,10158,8阶地只,100,1,"{6,100}",,,10
586,,58,10168,8阶洞察,100,1,"{6,100}",,,10
587,,58,10178,8阶灵识,100,1,"{6,100}",,,10
588,,58,10188,8阶感知,100,1,"{6,100}",,,10
589,,58,10198,8阶敏锐,100,1,"{6,100}",,,10
590,,58,10208,8阶血魂,100,1,"{6,100}",,,10
591,,58,10218,8阶地魂,100,1,"{6,100}",,,10
592,,58,10228,8阶战魂,100,1,"{6,100}",,,10
593,,58,10238,8阶刹魂,100,1,"{6,100}",,,10
594,,58,10248,8阶凤冠,100,1,"{6,100}",,,10
595,,58,10258,8阶耳环,100,1,"{6,100}",,,10
596,,58,10268,8阶护胸,100,1,"{6,100}",,,10
597,,58,10278,8阶披纱,100,1,"{6,100}",,,10
598,,58,10288,8阶护鞘,100,1,"{6,100}",,,10
599,,58,10298,8阶护柄,100,1,"{6,100}",,,10
600,,58,10308,8阶护刃,100,1,"{6,100}",,,10
601,,58,10318,8阶玉璇,100,1,"{6,100}",,,10
602,,58,10328,8阶战盔,100,1,"{6,100}",,,10
603,,58,10338,8阶战甲,100,1,"{6,100}",,,10
604,,58,10348,8阶战靴,100,1,"{6,100}",,,10
605,,58,10358,8阶战符,100,1,"{6,100}",,,10
606,,58,10368,8阶正气,100,1,"{6,100}",,,10
607,,58,10378,8阶阳刚,100,1,"{6,100}",,,10
608,,58,10388,8阶阴柔,100,1,"{6,100}",,,10
609,,58,10398,8阶贯通,100,1,"{6,100}",,,10
610,,58,10408,8阶花灯,100,1,"{6,100}",,,10
611,,58,10418,8阶花铃,100,1,"{6,100}",,,10
612,,58,10428,8阶花环,100,1,"{6,100}",,,10
613,,58,10438,8阶花印,100,1,"{6,100}",,,10
614,,58,10448,8阶灵意,100,1,"{6,100}",,,10
615,,58,10458,8阶灵境,100,1,"{6,100}",,,10
616,,58,10468,8阶灵法,100,1,"{6,100}",,,10
617,,58,10478,8阶灵域,100,1,"{6,100}",,,10
618,9阶红色通用装备+10,59,10009,9阶铠首,100,1,"{6,100}",,,10
619,,59,10019,9阶马鞍,100,1,"{6,100}",,,10
620,,59,10029,9阶缰绳,100,1,"{6,100}",,,10
621,,59,10039,9阶马蹬,100,1,"{6,100}",,,10
622,,59,10049,9阶翎羽,100,1,"{6,100}",,,10
623,,59,10059,9阶飞羽,100,1,"{6,100}",,,10
624,,59,10069,9阶覆羽,100,1,"{6,100}",,,10
625,,59,10079,9阶翼羽,100,1,"{6,100}",,,10
626,,59,10089,9阶法灵,100,1,"{6,100}",,,10
627,,59,10099,9阶法眼,100,1,"{6,100}",,,10
628,,59,10109,9阶阵魂,100,1,"{6,100}",,,10
629,,59,10119,9阶阵魄,100,1,"{6,100}",,,10
630,,59,10129,9阶川泽,100,1,"{6,100}",,,10
631,,59,10139,9阶百物,100,1,"{6,100}",,,10
632,,59,10149,9阶天神,100,1,"{6,100}",,,10
633,,59,10159,9阶地只,100,1,"{6,100}",,,10
634,,59,10169,9阶洞察,100,1,"{6,100}",,,10
635,,59,10179,9阶灵识,100,1,"{6,100}",,,10
636,,59,10189,9阶感知,100,1,"{6,100}",,,10
637,,59,10199,9阶敏锐,100,1,"{6,100}",,,10
638,,59,10209,9阶血魂,100,1,"{6,100}",,,10
639,,59,10219,9阶地魂,100,1,"{6,100}",,,10
640,,59,10229,9阶战魂,100,1,"{6,100}",,,10
641,,59,10239,9阶刹魂,100,1,"{6,100}",,,10
642,,59,10249,9阶凤冠,100,1,"{6,100}",,,10
643,,59,10259,9阶耳环,100,1,"{6,100}",,,10
644,,59,10269,9阶护胸,100,1,"{6,100}",,,10
645,,59,10279,9阶披纱,100,1,"{6,100}",,,10
646,,59,10289,9阶护鞘,100,1,"{6,100}",,,10
647,,59,10299,9阶护柄,100,1,"{6,100}",,,10
648,,59,10309,9阶护刃,100,1,"{6,100}",,,10
649,,59,10319,9阶玉璇,100,1,"{6,100}",,,10
650,,59,10329,9阶战盔,100,1,"{6,100}",,,10
651,,59,10339,9阶战甲,100,1,"{6,100}",,,10
652,,59,10349,9阶战靴,100,1,"{6,100}",,,10
653,,59,10359,9阶战符,100,1,"{6,100}",,,10
654,,59,10369,9阶正气,100,1,"{6,100}",,,10
655,,59,10379,9阶阳刚,100,1,"{6,100}",,,10
656,,59,10389,9阶阴柔,100,1,"{6,100}",,,10
657,,59,10399,9阶贯通,100,1,"{6,100}",,,10
658,,59,10409,9阶花灯,100,1,"{6,100}",,,10
659,,59,10419,9阶花铃,100,1,"{6,100}",,,10
660,,59,10429,9阶花环,100,1,"{6,100}",,,10
661,,59,10439,9阶花印,100,1,"{6,100}",,,10
662,,59,10449,9阶灵意,100,1,"{6,100}",,,10
663,,59,10459,9阶灵境,100,1,"{6,100}",,,10
664,,59,10469,9阶灵法,100,1,"{6,100}",,,10
665,,59,10479,9阶灵域,100,1,"{6,100}",,,10
666,10阶红色通用装备+10,60,10010,10阶铠首,100,1,"{6,100}",,,10
667,,60,10020,10阶马鞍,100,1,"{6,100}",,,10
668,,60,10030,10阶缰绳,100,1,"{6,100}",,,10
669,,60,10040,10阶马蹬,100,1,"{6,100}",,,10
670,,60,10050,10阶翎羽,100,1,"{6,100}",,,10
671,,60,10060,10阶飞羽,100,1,"{6,100}",,,10
672,,60,10070,10阶覆羽,100,1,"{6,100}",,,10
673,,60,10080,10阶翼羽,100,1,"{6,100}",,,10
674,,60,10090,10阶法灵,100,1,"{6,100}",,,10
675,,60,10100,10阶法眼,100,1,"{6,100}",,,10
676,,60,10110,10阶阵魂,100,1,"{6,100}",,,10
677,,60,10120,10阶阵魄,100,1,"{6,100}",,,10
678,,60,10130,10阶川泽,100,1,"{6,100}",,,10
679,,60,10140,10阶百物,100,1,"{6,100}",,,10
680,,60,10150,10阶天神,100,1,"{6,100}",,,10
681,,60,10160,10阶地只,100,1,"{6,100}",,,10
682,,60,10170,10阶洞察,100,1,"{6,100}",,,10
683,,60,10180,10阶灵识,100,1,"{6,100}",,,10
684,,60,10190,10阶感知,100,1,"{6,100}",,,10
685,,60,10200,10阶敏锐,100,1,"{6,100}",,,10
686,,60,10210,10阶血魂,100,1,"{6,100}",,,10
687,,60,10220,10阶地魂,100,1,"{6,100}",,,10
688,,60,10230,10阶战魂,100,1,"{6,100}",,,10
689,,60,10240,10阶刹魂,100,1,"{6,100}",,,10
690,,60,10250,10阶凤冠,100,1,"{6,100}",,,10
691,,60,10260,10阶耳环,100,1,"{6,100}",,,10
692,,60,10270,10阶护胸,100,1,"{6,100}",,,10
693,,60,10280,10阶披纱,100,1,"{6,100}",,,10
694,,60,10290,10阶护鞘,100,1,"{6,100}",,,10
695,,60,10300,10阶护柄,100,1,"{6,100}",,,10
696,,60,10310,10阶护刃,100,1,"{6,100}",,,10
697,,60,10320,10阶玉璇,100,1,"{6,100}",,,10
698,,60,10330,10阶战盔,100,1,"{6,100}",,,10
699,,60,10340,10阶战甲,100,1,"{6,100}",,,10
700,,60,10350,10阶战靴,100,1,"{6,100}",,,10
701,,60,10360,10阶战符,100,1,"{6,100}",,,10
702,,60,10370,10阶正气,100,1,"{6,100}",,,10
703,,60,10380,10阶阳刚,100,1,"{6,100}",,,10
704,,60,10390,10阶阴柔,100,1,"{6,100}",,,10
705,,60,10400,10阶贯通,100,1,"{6,100}",,,10
706,,60,10410,10阶花灯,100,1,"{6,100}",,,10
707,,60,10420,10阶花铃,100,1,"{6,100}",,,10
708,,60,10430,10阶花环,100,1,"{6,100}",,,10
709,,60,10440,10阶花印,100,1,"{6,100}",,,10
710,,60,10450,10阶灵意,100,1,"{6,100}",,,10
711,,60,10460,10阶灵境,100,1,"{6,100}",,,10
712,,60,10470,10阶灵法,100,1,"{6,100}",,,10
713,,60,10480,10阶灵域,100,1,"{6,100}",,,10
714,,61,60154,洗心藤碎片,100,1,,,,
715,,61,60166,心之泪碎片,100,1,,,,
716,,61,60156,幻心草碎片,100,1,,,,
717,,62,60177,神圣宝石碎片,100,1,,,,
718,,62,60167,灵气果碎片,100,1,,,,
719,,62,60162,分水珠碎片,100,1,,,,
720,,63,60179,炼丹宝典碎片,100,1,,,,
721,,63,60172,幽冥泉水碎片,100,1,,,,
722,,63,60158,天神凭证碎片,100,1,,,,
723,,64,60159,魔气碎片,100,1,,,,
724,,64,60157,踏云步碎片,100,1,,,,
725,,64,60160,神鸟羽毛碎片,100,1,,,,
726,,65,60168,天地元晶碎片,100,1,,,,
727,,65,60174,风破珠碎片,100,1,,,,
728,,65,60153,金花膏碎片,100,1,,,,
729,,66,60170,七彩流光碎片,100,1,,,,
730,,66,60155,腾空飞行碎片,100,1,,,,
731,,66,60163,虎符碎片,100,1,,,,
732,,67,60171,王者勋章碎片,100,1,,,,
733,,67,60165,掌天镜碎片,100,1,,,,
734,,67,60175,古老阵盘碎片,100,1,,,,
735,,68,60176,破损宝箱碎片,100,1,,,,
736,,68,60180,令旗碎片,100,1,,,,
737,,68,60173,骨灵蓝火碎片,100,1,,,,
738,,69,60164,腐骨灵花碎片,100,1,,,,
739,,69,60161,天地冠碎片,100,1,,,,
740,,69,60169,玄冰魄碎片,100,1,,,,
741,,70,60152,元素精华碎片,100,1,,,,
742,,70,60181,魔兽骸骨碎片,100,1,,,,
743,,70,60178,恶魔宝石碎片,100,1,,,,
744,惊喜宝箱,71,60106,元宝中包,100,1,,,,
745,,72,60090,绑元小包,100,2,,,,
746,,73,60060,随机进阶属性丹,100,5,,,,
747,神宠宝箱,74,20013,宠物进阶丹,975,1,,,,
748,,74,40110,变异冰龙卡,25,1,,,,
749,花辇宝箱,75,30011,花辇技能书,3125,2,,,,
750,,75,20009,女王进阶丹,24219,1,,,,
751,,75,20010,仙位进阶丹,24219,1,,,,
752,,75,20011,花辇进阶丹,24219,1,,,,
753,,75,20012,灵气进阶丹,24219,1,,,,
754,万能材料,76,60114,洗心藤,32,1,,,,
755,,76,60126,心之泪,32,1,,,,
756,,76,60116,幻心草,32,1,,,,
757,,76,60188,万能材料,5,1,,,,
758,80级神装宝箱,77,15042,飞虎头盔,100,1,"{6,100}",,,
759,,77,15044,飞虎衣服,100,1,"{6,100}",,,
760,,77,15048,飞虎戒指,100,1,"{6,100}",,,
761,,77,15043,飞虎项链,100,1,"{6,100}",,,
762,,77,15050,飞虎鞋子,100,1,"{6,100}",,,
763,,77,15045,飞虎披肩,100,1,"{6,100}",,,
764,,77,15046,飞虎腰带,100,1,"{6,100}",,,
765,,77,15049,飞虎披风,100,1,"{6,100}",,,
766,,77,15047,飞虎护腕,100,1,"{6,100}",,,
767,,78,40056,九尾狐卡,100,1,,,,
768,,78,40018,武士卡,100,1,,,,
769,,78,40020,黑风小妖卡,100,1,,,,
770,,78,40021,熊猫卡,80,1,,,,
771,,78,40022,黑水麒麟卡,80,1,,,,
772,,78,40023,火德真君卡,80,1,,,,
773,,78,40024,六耳猕猴卡,80,1,,,,
774,,78,40026,夜游神卡,80,1,,,,
775,,78,40027,莲花仙子卡,50,1,,,,
776,,78,40028,强盗卡,50,1,,,,
777,,78,40029,白象王卡,50,1,,,,
778,,78,40031,剑侠兔卡,50,1,,,,
779,,78,40036,熊猫大侠卡,30,1,,,,
780,,78,40037,青狮怪卡,30,1,,,,
781,,78,40038,东海龙王卡,30,1,,,,
782,,78,40025,地狱三头犬卡,50,1,,,,
