等级,生命,面板伤害,护甲,防御穿透,减免无视,命中值,闪避值,暴击值,抗暴值,暴击伤害,暴击伤害减免,出手速度,伤害增加修正,伤害减少修正,PVP伤加修正,PVP伤减修正,PVE伤加修正,PVE伤减修正,战力
282,5388866,2155546,538887,381.61,,397.585,397.585,388.71,388.71,2,0,1,,,,,,,13472164
283,5442754,2177101,544275,382.61,,398.585,398.585,389.71,389.71,2,0,1,,,,,,,13606884
284,5497181,2198872,549718,383.61,,399.585,399.585,390.71,390.71,2,0,1,,,,,,,13742952
285,5552152,2220861,555215,384.61,,400.585,400.585,391.71,391.71,2,0,1,,,,,,,13880380
286,5607673,2243069,560767,385.61,,401.585,401.585,392.71,392.71,2,0,1,,,,,,,14019182
287,5663749,2265500,566375,386.61,,402.585,402.585,393.71,393.71,2,0,1,,,,,,,14159372
288,5720386,2288154,572039,387.61,,403.585,403.585,394.71,394.71,2,0,1,,,,,,,14300964
289,5777589,2311036,577759,388.61,,404.585,404.585,395.71,395.71,2,0,1,,,,,,,14443972
290,5835364,2334146,583536,389.61,,405.585,405.585,396.71,396.71,2,0,1,,,,,,,14588410
291,5893718,2357487,589372,390.61,,406.585,406.585,397.71,397.71,2,0,1,,,,,,,14734294
292,5952654,2381062,595265,391.61,,407.585,407.585,398.71,398.71,2,0,1,,,,,,,14881636
293,6012181,2404872,601218,392.61,,408.585,408.585,399.71,399.71,2,0,1,,,,,,,15030452
294,6072302,2428921,607230,393.61,,409.585,409.585,400.71,400.71,2,0,1,,,,,,,15180756
295,6133025,2453210,613302,394.61,,410.585,410.585,401.71,401.71,2,0,1,,,,,,,15332562
296,6194354,2477742,619435,395.61,,411.585,411.585,402.71,402.71,2,0,1,,,,,,,15485886
297,6256298,2502519,625630,396.61,,412.585,412.585,403.71,403.71,2,0,1,,,,,,,15640744
298,6318860,2527544,631886,397.61,,413.585,413.585,404.71,404.71,2,0,1,,,,,,,15797150
299,6382048,2552819,638205,398.61,,414.585,414.585,405.71,405.71,2,0,1,,,,,,,15955120
300,6445868,2578347,644587,399.61,,415.585,415.585,406.71,406.71,2,0,1,,,,,,,16114670
1000,2.1,2.2,1,1,,1,1,1,1,1,0,1,,,,,,,
1001,4,3.4,1,1,,1,1,1,1,1,0,1,,,,,,,
1002,5.1,4.6,1,1,,1,1,1,1,1,0,1,,,,,,,
1003,7,5.8,1,1,,1,1,1,1,1,0,1,,,,,,,
1004,8.5,7,1,1,,1,1,1,1,1,0,1,,,,,,,
1005,10.43,8.2,1,1,,1,1,1,1,1,0,1,,,,,,,
1006,11.963,9.4,1,1,,1,1,1,1,1,0,1,,,,,,,
1007,13.49,13,1,1,,1,1,1,1,1,0,1,,,,,,,
1008,20,25,1,1,,1,1,1,1,1,0,1,,,,,,,
1009,1.1,1.1,1,1,,1,1,1,1,1,0,1,,,,,,,
1010,1.15,1.2,1,1,,1,1,1,1,1,0,1,,,,,,,
1011,1.2,1.3,1,1,,1,1,1,1,1,0,1,,,,,,,
1012,1.25,1.4,1,1,,1,1,1,1,1,0,1,,,,,,,
1013,1.3,1.5,1,1,,1,1,1,1,1,0,1,,,,,,,
1014,1.35,1.6,1,1,,1,1,1,1,1,0,1,,,,,,,
1015,1.4,1.7,1,1,,1,1,1,1,1,0,1,,,,,,,
1016,1.45,1.8,1,1,,1,1,1,1,1,0,1,,,,,,,
1017,2.5,2,1,1,,1,1,1,1,1,0,1,,,,,,,
1018,2,1.333,1,1,,1,1,1,1,1,0,1,,,,,,,
1019,2,1.25,1,1,,1,1,1,1,1,0,1,,,,,,,
1020,2,1.2,1,1,,1,1,1,1,1,0,1,,,,,,,
1021,2,1.25,1,1,,1,1,1,1,1,0,1,,,,,,,
