索引,显示频道1系统+屏幕 2屏幕 3屏幕+弹窗 4屏幕上方,值
ATTENTION_ALREADY_IN_FRIENDGROUP,2,已经关注
YOUQINGBI_LIMIT,2,超过限制
IN_FIGHTING,2,你当前正在战斗中
GET_PRIZE_BY_ORDER,2,%s需要先领取前一关的奖励之后才能操作
TEAM_ACT_DATA_CHANGED,2,队伍活动信息已改变，加入失败
ESCORT_NOT_ROBBER,2,您已拦截过该镖车了，还请手下留情
TALISMAN_PACKET_FULL,2,法宝容量已满，请前往分解
NOT_FUNDS,2,银两不足
EQUIP_PACKET_FULL,2,装备背包不足，请前往分解
ITEM_PACKET_FULL,2,道具背包不足
REFUSE_SHITU,2,对方拒绝师徒邀请
SHOW_LOSE_EFFECT,2,展示超链接已失效
NOT_CANCEL_GUANZHU,2,对方是你的伴侣，你不能取消关注
TUDI_MAX,2,徒弟满了
LEVEL_NOT_ENOUGHT,2,必须大于等于徒弟3级
NOT_SHITULING,2,没有师徒令
DUIFAN_NOT_SHITULING,2,对方没有师徒令
DUIFAN_NOT_GUANZHU_SELF,2,对方没有关注你
COOL_TIME,2,1分钟后可再次进入
MARRY_LEVEL,2,必须双方55级及以上才可以结婚
OCCUP_READY,2,已经占领了一个boss，不能同时占领多个！
NOT_TEAM_ACTIVITY,2,组队中，不能做此操作！
SET_SUCCESS,2,设置成功！
OCCU_MAX_COUNT,2,人数已满不能进入！
ACTIVITY_CLOSED,2,抱歉，活动已结束，不能在做此操作。
ACTIVITY_GLOBALA_MINE_CLOSED,2,活动已结束，你被请出了活动
MINE_ONCE_PRIZE,8,开采%s获得：积分*%s，%s
MINE_GUARD_SUCCESS,8,成功守住矿产，击退%s。
MINE_GUARD_FAILED,8,%s成功掠夺你的矿产资源。
MINE_ROBBER_SUCCESS,8,成功掠夺%s矿产资源。
MINE_ROBBER_FAILED,8,抢夺%s矿产资源失败。
IN_ACTIVITY_MAP,2,请先离开活动地图
STRONGHOLD_ROB_NO_COUNT,2,抢夺次数不足，无法抢夺
STRONGHOLD_LOCK,2,玩家正在抢夺中，请稍后
STRONGHOD_OCCUPY_NO_COUNT,2,占领次数不足，无法占领
GLOBAL_MINE_READY,2,你已经占领了一个矿，无法重复占领
LIMIT_CAMPAIGN_NO_FINISH,2,你还有限时通关奖励没有完成或者领取。
MINE_NO_PRIVILEGE_ENTER,2,你当前所在的服务器组不在活动参与者列表内。
STRONGHOLD_ENTER_ABILITYADD,2,【%s】进入天宫战场，能力增加%s
STRONGHOLD_LEAVE_ABILITYDEC,2,【%s】离开天宫战场，能力减少%s
GET_HELP_COUNT_LIMIT,2,对方被帮助次数不足！
AUTO_FIGHT_NUM_LIMIT,2,你或者对方的的挂机战斗次数不足，不能进行帮助
SHENHUN_PACKET_FULL,2,神魂容量已满，请前往升级
SHENHUN_LEVEL_MAX,2,神魂已是最高等级
GLOBAL_MINE_STATUS,2,当前活动阶段不能做此操作
GLOBAL_MINE_ENTRY,2,配置错误，找不到该矿
GLOBAL_MINE_PLRDATA,2,玩家数据错误，没有队伍信息
GLOBAL_MINE_ACTTEAM,2,队伍信息错误，找不到该队伍
GLOBAL_MINE_INDEX,2,占矿信息与行进目标矿信息不符，无法占领
GLOBAL_MINE_MEMBER_DATA,2,%s队员信息初始化错误
GLOBAL_MINE_CAMPINFO,2,找不到所在阵营信息，无法占领
GLOBAL_MINE_MINE,2,矿初始化信息出错，找不到该矿
SHENHUN_NOT_YIYANG,2,不能穿戴一样的神魂
