ID,帮贡消耗,技能1,技能2,技能3,技能4,技能5,技能6,技能7,技能8
100,400,"{'maxhp',34400},{'hujia',1000}","{'demage',5300}","{'demage',300},{'hujia',5000}","{'demage',5000},{'critrate',200}","{'demage',5000},{'critratedec',200}","{'demage',5000},{'hitrate',200}","{'demage',5000},{'dodge',200}","{'maxhp',22400},{'speed',100}"
101,400,"{'maxhp',34744},{'hujia',1010}","{'demage',5353}","{'demage',303},{'hujia',5050}","{'demage',5050},{'critrate',202}","{'demage',5050},{'critratedec',202}","{'demage',5050},{'hitrate',202}","{'demage',5050},{'dodge',202}","{'maxhp',22624},{'speed',101}"
102,400,"{'maxhp',35088},{'hujia',1020}","{'demage',5406}","{'demage',306},{'hujia',5100}","{'demage',5100},{'critrate',204}","{'demage',5100},{'critratedec',204}","{'demage',5100},{'hitrate',204}","{'demage',5100},{'dodge',204}","{'maxhp',22848},{'speed',102}"
103,400,"{'maxhp',35432},{'hujia',1030}","{'demage',5459}","{'demage',309},{'hujia',5150}","{'demage',5150},{'critrate',206}","{'demage',5150},{'critratedec',206}","{'demage',5150},{'hitrate',206}","{'demage',5150},{'dodge',206}","{'maxhp',23072},{'speed',103}"
104,400,"{'maxhp',35776},{'hujia',1040}","{'demage',5512}","{'demage',312},{'hujia',5200}","{'demage',5200},{'critrate',208}","{'demage',5200},{'critratedec',208}","{'demage',5200},{'hitrate',208}","{'demage',5200},{'dodge',208}","{'maxhp',23296},{'speed',104}"
105,400,"{'maxhp',36120},{'hujia',1050}","{'demage',5565}","{'demage',315},{'hujia',5250}","{'demage',5250},{'critrate',210}","{'demage',5250},{'critratedec',210}","{'demage',5250},{'hitrate',210}","{'demage',5250},{'dodge',210}","{'maxhp',23520},{'speed',105}"
106,400,"{'maxhp',36464},{'hujia',1060}","{'demage',5618}","{'demage',318},{'hujia',5300}","{'demage',5300},{'critrate',212}","{'demage',5300},{'critratedec',212}","{'demage',5300},{'hitrate',212}","{'demage',5300},{'dodge',212}","{'maxhp',23744},{'speed',106}"
107,400,"{'maxhp',36808},{'hujia',1070}","{'demage',5671}","{'demage',321},{'hujia',5350}","{'demage',5350},{'critrate',214}","{'demage',5350},{'critratedec',214}","{'demage',5350},{'hitrate',214}","{'demage',5350},{'dodge',214}","{'maxhp',23968},{'speed',107}"
108,400,"{'maxhp',37152},{'hujia',1080}","{'demage',5724}","{'demage',324},{'hujia',5400}","{'demage',5400},{'critrate',216}","{'demage',5400},{'critratedec',216}","{'demage',5400},{'hitrate',216}","{'demage',5400},{'dodge',216}","{'maxhp',24192},{'speed',108}"
109,400,"{'maxhp',37496},{'hujia',1090}","{'demage',5777}","{'demage',327},{'hujia',5450}","{'demage',5450},{'critrate',218}","{'demage',5450},{'critratedec',218}","{'demage',5450},{'hitrate',218}","{'demage',5450},{'dodge',218}","{'maxhp',24416},{'speed',109}"
110,400,"{'maxhp',37840},{'hujia',1100}","{'demage',5830}","{'demage',330},{'hujia',5500}","{'demage',5500},{'critrate',220}","{'demage',5500},{'critratedec',220}","{'demage',5500},{'hitrate',220}","{'demage',5500},{'dodge',220}","{'maxhp',24640},{'speed',110}"
111,400,"{'maxhp',38184},{'hujia',1110}","{'demage',5883}","{'demage',333},{'hujia',5550}","{'demage',5550},{'critrate',222}","{'demage',5550},{'critratedec',222}","{'demage',5550},{'hitrate',222}","{'demage',5550},{'dodge',222}","{'maxhp',24864},{'speed',111}"
112,400,"{'maxhp',38528},{'hujia',1120}","{'demage',5936}","{'demage',336},{'hujia',5600}","{'demage',5600},{'critrate',224}","{'demage',5600},{'critratedec',224}","{'demage',5600},{'hitrate',224}","{'demage',5600},{'dodge',224}","{'maxhp',25088},{'speed',112}"
113,400,"{'maxhp',38872},{'hujia',1130}","{'demage',5989}","{'demage',339},{'hujia',5650}","{'demage',5650},{'critrate',226}","{'demage',5650},{'critratedec',226}","{'demage',5650},{'hitrate',226}","{'demage',5650},{'dodge',226}","{'maxhp',25312},{'speed',113}"
114,400,"{'maxhp',39216},{'hujia',1140}","{'demage',6042}","{'demage',342},{'hujia',5700}","{'demage',5700},{'critrate',228}","{'demage',5700},{'critratedec',228}","{'demage',5700},{'hitrate',228}","{'demage',5700},{'dodge',228}","{'maxhp',25536},{'speed',114}"
115,400,"{'maxhp',39560},{'hujia',1150}","{'demage',6095}","{'demage',345},{'hujia',5750}","{'demage',5750},{'critrate',230}","{'demage',5750},{'critratedec',230}","{'demage',5750},{'hitrate',230}","{'demage',5750},{'dodge',230}","{'maxhp',25760},{'speed',115}"
116,400,"{'maxhp',39904},{'hujia',1160}","{'demage',6148}","{'demage',348},{'hujia',5800}","{'demage',5800},{'critrate',232}","{'demage',5800},{'critratedec',232}","{'demage',5800},{'hitrate',232}","{'demage',5800},{'dodge',232}","{'maxhp',25984},{'speed',116}"
117,400,"{'maxhp',40248},{'hujia',1170}","{'demage',6201}","{'demage',351},{'hujia',5850}","{'demage',5850},{'critrate',234}","{'demage',5850},{'critratedec',234}","{'demage',5850},{'hitrate',234}","{'demage',5850},{'dodge',234}","{'maxhp',26208},{'speed',117}"
118,400,"{'maxhp',40592},{'hujia',1180}","{'demage',6254}","{'demage',354},{'hujia',5900}","{'demage',5900},{'critrate',236}","{'demage',5900},{'critratedec',236}","{'demage',5900},{'hitrate',236}","{'demage',5900},{'dodge',236}","{'maxhp',26432},{'speed',118}"
119,400,"{'maxhp',40936},{'hujia',1190}","{'demage',6307}","{'demage',357},{'hujia',5950}","{'demage',5950},{'critrate',238}","{'demage',5950},{'critratedec',238}","{'demage',5950},{'hitrate',238}","{'demage',5950},{'dodge',238}","{'maxhp',26656},{'speed',119}"
120,400,"{'maxhp',41280},{'hujia',1200}","{'demage',6360}","{'demage',360},{'hujia',6000}","{'demage',6000},{'critrate',240}","{'demage',6000},{'critratedec',240}","{'demage',6000},{'hitrate',240}","{'demage',6000},{'dodge',240}","{'maxhp',26880},{'speed',120}"
121,400,"{'maxhp',41624},{'hujia',1210}","{'demage',6413}","{'demage',363},{'hujia',6050}","{'demage',6050},{'critrate',242}","{'demage',6050},{'critratedec',242}","{'demage',6050},{'hitrate',242}","{'demage',6050},{'dodge',242}","{'maxhp',27104},{'speed',121}"
122,400,"{'maxhp',41968},{'hujia',1220}","{'demage',6466}","{'demage',366},{'hujia',6100}","{'demage',6100},{'critrate',244}","{'demage',6100},{'critratedec',244}","{'demage',6100},{'hitrate',244}","{'demage',6100},{'dodge',244}","{'maxhp',27328},{'speed',122}"
123,400,"{'maxhp',42312},{'hujia',1230}","{'demage',6519}","{'demage',369},{'hujia',6150}","{'demage',6150},{'critrate',246}","{'demage',6150},{'critratedec',246}","{'demage',6150},{'hitrate',246}","{'demage',6150},{'dodge',246}","{'maxhp',27552},{'speed',123}"
124,400,"{'maxhp',42656},{'hujia',1240}","{'demage',6572}","{'demage',372},{'hujia',6200}","{'demage',6200},{'critrate',248}","{'demage',6200},{'critratedec',248}","{'demage',6200},{'hitrate',248}","{'demage',6200},{'dodge',248}","{'maxhp',27776},{'speed',124}"
125,400,"{'maxhp',43000},{'hujia',1250}","{'demage',6625}","{'demage',375},{'hujia',6250}","{'demage',6250},{'critrate',250}","{'demage',6250},{'critratedec',250}","{'demage',6250},{'hitrate',250}","{'demage',6250},{'dodge',250}","{'maxhp',28000},{'speed',125}"
126,400,"{'maxhp',43344},{'hujia',1260}","{'demage',6678}","{'demage',378},{'hujia',6300}","{'demage',6300},{'critrate',252}","{'demage',6300},{'critratedec',252}","{'demage',6300},{'hitrate',252}","{'demage',6300},{'dodge',252}","{'maxhp',28224},{'speed',126}"
127,400,"{'maxhp',43688},{'hujia',1270}","{'demage',6731}","{'demage',381},{'hujia',6350}","{'demage',6350},{'critrate',254}","{'demage',6350},{'critratedec',254}","{'demage',6350},{'hitrate',254}","{'demage',6350},{'dodge',254}","{'maxhp',28448},{'speed',127}"
128,400,"{'maxhp',44032},{'hujia',1280}","{'demage',6784}","{'demage',384},{'hujia',6400}","{'demage',6400},{'critrate',256}","{'demage',6400},{'critratedec',256}","{'demage',6400},{'hitrate',256}","{'demage',6400},{'dodge',256}","{'maxhp',28672},{'speed',128}"
129,400,"{'maxhp',44376},{'hujia',1290}","{'demage',6837}","{'demage',387},{'hujia',6450}","{'demage',6450},{'critrate',258}","{'demage',6450},{'critratedec',258}","{'demage',6450},{'hitrate',258}","{'demage',6450},{'dodge',258}","{'maxhp',28896},{'speed',129}"
130,400,"{'maxhp',44720},{'hujia',1300}","{'demage',6890}","{'demage',390},{'hujia',6500}","{'demage',6500},{'critrate',260}","{'demage',6500},{'critratedec',260}","{'demage',6500},{'hitrate',260}","{'demage',6500},{'dodge',260}","{'maxhp',29120},{'speed',130}"
131,400,"{'maxhp',45064},{'hujia',1310}","{'demage',6943}","{'demage',393},{'hujia',6550}","{'demage',6550},{'critrate',262}","{'demage',6550},{'critratedec',262}","{'demage',6550},{'hitrate',262}","{'demage',6550},{'dodge',262}","{'maxhp',29344},{'speed',131}"
132,400,"{'maxhp',45408},{'hujia',1320}","{'demage',6996}","{'demage',396},{'hujia',6600}","{'demage',6600},{'critrate',264}","{'demage',6600},{'critratedec',264}","{'demage',6600},{'hitrate',264}","{'demage',6600},{'dodge',264}","{'maxhp',29568},{'speed',132}"
133,400,"{'maxhp',45752},{'hujia',1330}","{'demage',7049}","{'demage',399},{'hujia',6650}","{'demage',6650},{'critrate',266}","{'demage',6650},{'critratedec',266}","{'demage',6650},{'hitrate',266}","{'demage',6650},{'dodge',266}","{'maxhp',29792},{'speed',133}"
134,400,"{'maxhp',46096},{'hujia',1340}","{'demage',7102}","{'demage',402},{'hujia',6700}","{'demage',6700},{'critrate',268}","{'demage',6700},{'critratedec',268}","{'demage',6700},{'hitrate',268}","{'demage',6700},{'dodge',268}","{'maxhp',30016},{'speed',134}"
135,400,"{'maxhp',46440},{'hujia',1350}","{'demage',7155}","{'demage',405},{'hujia',6750}","{'demage',6750},{'critrate',270}","{'demage',6750},{'critratedec',270}","{'demage',6750},{'hitrate',270}","{'demage',6750},{'dodge',270}","{'maxhp',30240},{'speed',135}"
136,400,"{'maxhp',46784},{'hujia',1360}","{'demage',7208}","{'demage',408},{'hujia',6800}","{'demage',6800},{'critrate',272}","{'demage',6800},{'critratedec',272}","{'demage',6800},{'hitrate',272}","{'demage',6800},{'dodge',272}","{'maxhp',30464},{'speed',136}"
137,400,"{'maxhp',47128},{'hujia',1370}","{'demage',7261}","{'demage',411},{'hujia',6850}","{'demage',6850},{'critrate',274}","{'demage',6850},{'critratedec',274}","{'demage',6850},{'hitrate',274}","{'demage',6850},{'dodge',274}","{'maxhp',30688},{'speed',137}"
138,400,"{'maxhp',47472},{'hujia',1380}","{'demage',7314}","{'demage',414},{'hujia',6900}","{'demage',6900},{'critrate',276}","{'demage',6900},{'critratedec',276}","{'demage',6900},{'hitrate',276}","{'demage',6900},{'dodge',276}","{'maxhp',30912},{'speed',138}"
139,400,"{'maxhp',47816},{'hujia',1390}","{'demage',7367}","{'demage',417},{'hujia',6950}","{'demage',6950},{'critrate',278}","{'demage',6950},{'critratedec',278}","{'demage',6950},{'hitrate',278}","{'demage',6950},{'dodge',278}","{'maxhp',31136},{'speed',139}"
140,400,"{'maxhp',48160},{'hujia',1400}","{'demage',7420}","{'demage',420},{'hujia',7000}","{'demage',7000},{'critrate',280}","{'demage',7000},{'critratedec',280}","{'demage',7000},{'hitrate',280}","{'demage',7000},{'dodge',280}","{'maxhp',31360},{'speed',140}"
141,400,"{'maxhp',48504},{'hujia',1410}","{'demage',7473}","{'demage',423},{'hujia',7050}","{'demage',7050},{'critrate',282}","{'demage',7050},{'critratedec',282}","{'demage',7050},{'hitrate',282}","{'demage',7050},{'dodge',282}","{'maxhp',31584},{'speed',141}"
142,400,"{'maxhp',48848},{'hujia',1420}","{'demage',7526}","{'demage',426},{'hujia',7100}","{'demage',7100},{'critrate',284}","{'demage',7100},{'critratedec',284}","{'demage',7100},{'hitrate',284}","{'demage',7100},{'dodge',284}","{'maxhp',31808},{'speed',142}"
143,400,"{'maxhp',49192},{'hujia',1430}","{'demage',7579}","{'demage',429},{'hujia',7150}","{'demage',7150},{'critrate',286}","{'demage',7150},{'critratedec',286}","{'demage',7150},{'hitrate',286}","{'demage',7150},{'dodge',286}","{'maxhp',32032},{'speed',143}"
144,400,"{'maxhp',49536},{'hujia',1440}","{'demage',7632}","{'demage',432},{'hujia',7200}","{'demage',7200},{'critrate',288}","{'demage',7200},{'critratedec',288}","{'demage',7200},{'hitrate',288}","{'demage',7200},{'dodge',288}","{'maxhp',32256},{'speed',144}"
145,400,"{'maxhp',49880},{'hujia',1450}","{'demage',7685}","{'demage',435},{'hujia',7250}","{'demage',7250},{'critrate',290}","{'demage',7250},{'critratedec',290}","{'demage',7250},{'hitrate',290}","{'demage',7250},{'dodge',290}","{'maxhp',32480},{'speed',145}"
146,400,"{'maxhp',50224},{'hujia',1460}","{'demage',7738}","{'demage',438},{'hujia',7300}","{'demage',7300},{'critrate',292}","{'demage',7300},{'critratedec',292}","{'demage',7300},{'hitrate',292}","{'demage',7300},{'dodge',292}","{'maxhp',32704},{'speed',146}"
147,400,"{'maxhp',50568},{'hujia',1470}","{'demage',7791}","{'demage',441},{'hujia',7350}","{'demage',7350},{'critrate',294}","{'demage',7350},{'critratedec',294}","{'demage',7350},{'hitrate',294}","{'demage',7350},{'dodge',294}","{'maxhp',32928},{'speed',147}"
148,400,"{'maxhp',50912},{'hujia',1480}","{'demage',7844}","{'demage',444},{'hujia',7400}","{'demage',7400},{'critrate',296}","{'demage',7400},{'critratedec',296}","{'demage',7400},{'hitrate',296}","{'demage',7400},{'dodge',296}","{'maxhp',33152},{'speed',148}"
149,400,"{'maxhp',51256},{'hujia',1490}","{'demage',7897}","{'demage',447},{'hujia',7450}","{'demage',7450},{'critrate',298}","{'demage',7450},{'critratedec',298}","{'demage',7450},{'hitrate',298}","{'demage',7450},{'dodge',298}","{'maxhp',33376},{'speed',149}"
150,500,"{'maxhp',51600},{'hujia',1500}","{'demage',7950}","{'demage',450},{'hujia',7500}","{'demage',7500},{'critrate',300}","{'demage',7500},{'critratedec',300}","{'demage',7500},{'hitrate',300}","{'demage',7500},{'dodge',300}","{'maxhp',33600},{'speed',150}"
151,500,"{'maxhp',51944},{'hujia',1510}","{'demage',8003}","{'demage',453},{'hujia',7550}","{'demage',7550},{'critrate',302}","{'demage',7550},{'critratedec',302}","{'demage',7550},{'hitrate',302}","{'demage',7550},{'dodge',302}","{'maxhp',33824},{'speed',151}"
152,500,"{'maxhp',52288},{'hujia',1520}","{'demage',8056}","{'demage',456},{'hujia',7600}","{'demage',7600},{'critrate',304}","{'demage',7600},{'critratedec',304}","{'demage',7600},{'hitrate',304}","{'demage',7600},{'dodge',304}","{'maxhp',34048},{'speed',152}"
153,500,"{'maxhp',52632},{'hujia',1530}","{'demage',8109}","{'demage',459},{'hujia',7650}","{'demage',7650},{'critrate',306}","{'demage',7650},{'critratedec',306}","{'demage',7650},{'hitrate',306}","{'demage',7650},{'dodge',306}","{'maxhp',34272},{'speed',153}"
154,500,"{'maxhp',52976},{'hujia',1540}","{'demage',8162}","{'demage',462},{'hujia',7700}","{'demage',7700},{'critrate',308}","{'demage',7700},{'critratedec',308}","{'demage',7700},{'hitrate',308}","{'demage',7700},{'dodge',308}","{'maxhp',34496},{'speed',154}"
155,500,"{'maxhp',53320},{'hujia',1550}","{'demage',8215}","{'demage',465},{'hujia',7750}","{'demage',7750},{'critrate',310}","{'demage',7750},{'critratedec',310}","{'demage',7750},{'hitrate',310}","{'demage',7750},{'dodge',310}","{'maxhp',34720},{'speed',155}"
156,500,"{'maxhp',53664},{'hujia',1560}","{'demage',8268}","{'demage',468},{'hujia',7800}","{'demage',7800},{'critrate',312}","{'demage',7800},{'critratedec',312}","{'demage',7800},{'hitrate',312}","{'demage',7800},{'dodge',312}","{'maxhp',34944},{'speed',156}"
157,500,"{'maxhp',54008},{'hujia',1570}","{'demage',8321}","{'demage',471},{'hujia',7850}","{'demage',7850},{'critrate',314}","{'demage',7850},{'critratedec',314}","{'demage',7850},{'hitrate',314}","{'demage',7850},{'dodge',314}","{'maxhp',35168},{'speed',157}"
158,500,"{'maxhp',54352},{'hujia',1580}","{'demage',8374}","{'demage',474},{'hujia',7900}","{'demage',7900},{'critrate',316}","{'demage',7900},{'critratedec',316}","{'demage',7900},{'hitrate',316}","{'demage',7900},{'dodge',316}","{'maxhp',35392},{'speed',158}"
159,500,"{'maxhp',54696},{'hujia',1590}","{'demage',8427}","{'demage',477},{'hujia',7950}","{'demage',7950},{'critrate',318}","{'demage',7950},{'critratedec',318}","{'demage',7950},{'hitrate',318}","{'demage',7950},{'dodge',318}","{'maxhp',35616},{'speed',159}"
160,500,"{'maxhp',55040},{'hujia',1600}","{'demage',8480}","{'demage',480},{'hujia',8000}","{'demage',8000},{'critrate',320}","{'demage',8000},{'critratedec',320}","{'demage',8000},{'hitrate',320}","{'demage',8000},{'dodge',320}","{'maxhp',35840},{'speed',160}"
161,500,"{'maxhp',55384},{'hujia',1610}","{'demage',8533}","{'demage',483},{'hujia',8050}","{'demage',8050},{'critrate',322}","{'demage',8050},{'critratedec',322}","{'demage',8050},{'hitrate',322}","{'demage',8050},{'dodge',322}","{'maxhp',36064},{'speed',161}"
162,500,"{'maxhp',55728},{'hujia',1620}","{'demage',8586}","{'demage',486},{'hujia',8100}","{'demage',8100},{'critrate',324}","{'demage',8100},{'critratedec',324}","{'demage',8100},{'hitrate',324}","{'demage',8100},{'dodge',324}","{'maxhp',36288},{'speed',162}"
163,500,"{'maxhp',56072},{'hujia',1630}","{'demage',8639}","{'demage',489},{'hujia',8150}","{'demage',8150},{'critrate',326}","{'demage',8150},{'critratedec',326}","{'demage',8150},{'hitrate',326}","{'demage',8150},{'dodge',326}","{'maxhp',36512},{'speed',163}"
164,500,"{'maxhp',56416},{'hujia',1640}","{'demage',8692}","{'demage',492},{'hujia',8200}","{'demage',8200},{'critrate',328}","{'demage',8200},{'critratedec',328}","{'demage',8200},{'hitrate',328}","{'demage',8200},{'dodge',328}","{'maxhp',36736},{'speed',164}"
165,500,"{'maxhp',56760},{'hujia',1650}","{'demage',8745}","{'demage',495},{'hujia',8250}","{'demage',8250},{'critrate',330}","{'demage',8250},{'critratedec',330}","{'demage',8250},{'hitrate',330}","{'demage',8250},{'dodge',330}","{'maxhp',36960},{'speed',165}"
166,500,"{'maxhp',57104},{'hujia',1660}","{'demage',8798}","{'demage',498},{'hujia',8300}","{'demage',8300},{'critrate',332}","{'demage',8300},{'critratedec',332}","{'demage',8300},{'hitrate',332}","{'demage',8300},{'dodge',332}","{'maxhp',37184},{'speed',166}"
167,500,"{'maxhp',57448},{'hujia',1670}","{'demage',8851}","{'demage',501},{'hujia',8350}","{'demage',8350},{'critrate',334}","{'demage',8350},{'critratedec',334}","{'demage',8350},{'hitrate',334}","{'demage',8350},{'dodge',334}","{'maxhp',37408},{'speed',167}"
168,500,"{'maxhp',57792},{'hujia',1680}","{'demage',8904}","{'demage',504},{'hujia',8400}","{'demage',8400},{'critrate',336}","{'demage',8400},{'critratedec',336}","{'demage',8400},{'hitrate',336}","{'demage',8400},{'dodge',336}","{'maxhp',37632},{'speed',168}"
169,500,"{'maxhp',58136},{'hujia',1690}","{'demage',8957}","{'demage',507},{'hujia',8450}","{'demage',8450},{'critrate',338}","{'demage',8450},{'critratedec',338}","{'demage',8450},{'hitrate',338}","{'demage',8450},{'dodge',338}","{'maxhp',37856},{'speed',169}"
170,500,"{'maxhp',58480},{'hujia',1700}","{'demage',9010}","{'demage',510},{'hujia',8500}","{'demage',8500},{'critrate',340}","{'demage',8500},{'critratedec',340}","{'demage',8500},{'hitrate',340}","{'demage',8500},{'dodge',340}","{'maxhp',38080},{'speed',170}"
171,500,"{'maxhp',58824},{'hujia',1710}","{'demage',9063}","{'demage',513},{'hujia',8550}","{'demage',8550},{'critrate',342}","{'demage',8550},{'critratedec',342}","{'demage',8550},{'hitrate',342}","{'demage',8550},{'dodge',342}","{'maxhp',38304},{'speed',171}"
172,500,"{'maxhp',59168},{'hujia',1720}","{'demage',9116}","{'demage',516},{'hujia',8600}","{'demage',8600},{'critrate',344}","{'demage',8600},{'critratedec',344}","{'demage',8600},{'hitrate',344}","{'demage',8600},{'dodge',344}","{'maxhp',38528},{'speed',172}"
173,500,"{'maxhp',59512},{'hujia',1730}","{'demage',9169}","{'demage',519},{'hujia',8650}","{'demage',8650},{'critrate',346}","{'demage',8650},{'critratedec',346}","{'demage',8650},{'hitrate',346}","{'demage',8650},{'dodge',346}","{'maxhp',38752},{'speed',173}"
174,500,"{'maxhp',59856},{'hujia',1740}","{'demage',9222}","{'demage',522},{'hujia',8700}","{'demage',8700},{'critrate',348}","{'demage',8700},{'critratedec',348}","{'demage',8700},{'hitrate',348}","{'demage',8700},{'dodge',348}","{'maxhp',38976},{'speed',174}"
175,500,"{'maxhp',60200},{'hujia',1750}","{'demage',9275}","{'demage',525},{'hujia',8750}","{'demage',8750},{'critrate',350}","{'demage',8750},{'critratedec',350}","{'demage',8750},{'hitrate',350}","{'demage',8750},{'dodge',350}","{'maxhp',39200},{'speed',175}"
176,500,"{'maxhp',60544},{'hujia',1760}","{'demage',9328}","{'demage',528},{'hujia',8800}","{'demage',8800},{'critrate',352}","{'demage',8800},{'critratedec',352}","{'demage',8800},{'hitrate',352}","{'demage',8800},{'dodge',352}","{'maxhp',39424},{'speed',176}"
177,500,"{'maxhp',60888},{'hujia',1770}","{'demage',9381}","{'demage',531},{'hujia',8850}","{'demage',8850},{'critrate',354}","{'demage',8850},{'critratedec',354}","{'demage',8850},{'hitrate',354}","{'demage',8850},{'dodge',354}","{'maxhp',39648},{'speed',177}"
178,500,"{'maxhp',61232},{'hujia',1780}","{'demage',9434}","{'demage',534},{'hujia',8900}","{'demage',8900},{'critrate',356}","{'demage',8900},{'critratedec',356}","{'demage',8900},{'hitrate',356}","{'demage',8900},{'dodge',356}","{'maxhp',39872},{'speed',178}"
179,500,"{'maxhp',61576},{'hujia',1790}","{'demage',9487}","{'demage',537},{'hujia',8950}","{'demage',8950},{'critrate',358}","{'demage',8950},{'critratedec',358}","{'demage',8950},{'hitrate',358}","{'demage',8950},{'dodge',358}","{'maxhp',40096},{'speed',179}"
180,500,"{'maxhp',61920},{'hujia',1800}","{'demage',9540}","{'demage',540},{'hujia',9000}","{'demage',9000},{'critrate',360}","{'demage',9000},{'critratedec',360}","{'demage',9000},{'hitrate',360}","{'demage',9000},{'dodge',360}","{'maxhp',40320},{'speed',180}"
181,500,"{'maxhp',62264},{'hujia',1810}","{'demage',9593}","{'demage',543},{'hujia',9050}","{'demage',9050},{'critrate',362}","{'demage',9050},{'critratedec',362}","{'demage',9050},{'hitrate',362}","{'demage',9050},{'dodge',362}","{'maxhp',40544},{'speed',181}"
182,500,"{'maxhp',62608},{'hujia',1820}","{'demage',9646}","{'demage',546},{'hujia',9100}","{'demage',9100},{'critrate',364}","{'demage',9100},{'critratedec',364}","{'demage',9100},{'hitrate',364}","{'demage',9100},{'dodge',364}","{'maxhp',40768},{'speed',182}"
183,500,"{'maxhp',62952},{'hujia',1830}","{'demage',9699}","{'demage',549},{'hujia',9150}","{'demage',9150},{'critrate',366}","{'demage',9150},{'critratedec',366}","{'demage',9150},{'hitrate',366}","{'demage',9150},{'dodge',366}","{'maxhp',40992},{'speed',183}"
184,500,"{'maxhp',63296},{'hujia',1840}","{'demage',9752}","{'demage',552},{'hujia',9200}","{'demage',9200},{'critrate',368}","{'demage',9200},{'critratedec',368}","{'demage',9200},{'hitrate',368}","{'demage',9200},{'dodge',368}","{'maxhp',41216},{'speed',184}"
185,500,"{'maxhp',63640},{'hujia',1850}","{'demage',9805}","{'demage',555},{'hujia',9250}","{'demage',9250},{'critrate',370}","{'demage',9250},{'critratedec',370}","{'demage',9250},{'hitrate',370}","{'demage',9250},{'dodge',370}","{'maxhp',41440},{'speed',185}"
186,500,"{'maxhp',63984},{'hujia',1860}","{'demage',9858}","{'demage',558},{'hujia',9300}","{'demage',9300},{'critrate',372}","{'demage',9300},{'critratedec',372}","{'demage',9300},{'hitrate',372}","{'demage',9300},{'dodge',372}","{'maxhp',41664},{'speed',186}"
187,500,"{'maxhp',64328},{'hujia',1870}","{'demage',9911}","{'demage',561},{'hujia',9350}","{'demage',9350},{'critrate',374}","{'demage',9350},{'critratedec',374}","{'demage',9350},{'hitrate',374}","{'demage',9350},{'dodge',374}","{'maxhp',41888},{'speed',187}"
188,500,"{'maxhp',64672},{'hujia',1880}","{'demage',9964}","{'demage',564},{'hujia',9400}","{'demage',9400},{'critrate',376}","{'demage',9400},{'critratedec',376}","{'demage',9400},{'hitrate',376}","{'demage',9400},{'dodge',376}","{'maxhp',42112},{'speed',188}"
189,500,"{'maxhp',65016},{'hujia',1890}","{'demage',10017}","{'demage',567},{'hujia',9450}","{'demage',9450},{'critrate',378}","{'demage',9450},{'critratedec',378}","{'demage',9450},{'hitrate',378}","{'demage',9450},{'dodge',378}","{'maxhp',42336},{'speed',189}"
190,500,"{'maxhp',65360},{'hujia',1900}","{'demage',10070}","{'demage',570},{'hujia',9500}","{'demage',9500},{'critrate',380}","{'demage',9500},{'critratedec',380}","{'demage',9500},{'hitrate',380}","{'demage',9500},{'dodge',380}","{'maxhp',42560},{'speed',190}"
191,500,"{'maxhp',65704},{'hujia',1910}","{'demage',10123}","{'demage',573},{'hujia',9550}","{'demage',9550},{'critrate',382}","{'demage',9550},{'critratedec',382}","{'demage',9550},{'hitrate',382}","{'demage',9550},{'dodge',382}","{'maxhp',42784},{'speed',191}"
192,500,"{'maxhp',66048},{'hujia',1920}","{'demage',10176}","{'demage',576},{'hujia',9600}","{'demage',9600},{'critrate',384}","{'demage',9600},{'critratedec',384}","{'demage',9600},{'hitrate',384}","{'demage',9600},{'dodge',384}","{'maxhp',43008},{'speed',192}"
193,500,"{'maxhp',66392},{'hujia',1930}","{'demage',10229}","{'demage',579},{'hujia',9650}","{'demage',9650},{'critrate',386}","{'demage',9650},{'critratedec',386}","{'demage',9650},{'hitrate',386}","{'demage',9650},{'dodge',386}","{'maxhp',43232},{'speed',193}"
194,500,"{'maxhp',66736},{'hujia',1940}","{'demage',10282}","{'demage',582},{'hujia',9700}","{'demage',9700},{'critrate',388}","{'demage',9700},{'critratedec',388}","{'demage',9700},{'hitrate',388}","{'demage',9700},{'dodge',388}","{'maxhp',43456},{'speed',194}"
195,500,"{'maxhp',67080},{'hujia',1950}","{'demage',10335}","{'demage',585},{'hujia',9750}","{'demage',9750},{'critrate',390}","{'demage',9750},{'critratedec',390}","{'demage',9750},{'hitrate',390}","{'demage',9750},{'dodge',390}","{'maxhp',43680},{'speed',195}"
196,500,"{'maxhp',67424},{'hujia',1960}","{'demage',10388}","{'demage',588},{'hujia',9800}","{'demage',9800},{'critrate',392}","{'demage',9800},{'critratedec',392}","{'demage',9800},{'hitrate',392}","{'demage',9800},{'dodge',392}","{'maxhp',43904},{'speed',196}"
197,500,"{'maxhp',67768},{'hujia',1970}","{'demage',10441}","{'demage',591},{'hujia',9850}","{'demage',9850},{'critrate',394}","{'demage',9850},{'critratedec',394}","{'demage',9850},{'hitrate',394}","{'demage',9850},{'dodge',394}","{'maxhp',44128},{'speed',197}"
198,500,"{'maxhp',68112},{'hujia',1980}","{'demage',10494}","{'demage',594},{'hujia',9900}","{'demage',9900},{'critrate',396}","{'demage',9900},{'critratedec',396}","{'demage',9900},{'hitrate',396}","{'demage',9900},{'dodge',396}","{'maxhp',44352},{'speed',198}"
