ID,,宠物被动技能库ID,宠物被动技能ID,,权重
1173,,811,60207,,1000
1174,,811,60214,,1000
1175,,811,60221,,1000
1176,,811,60152,,750
1177,,811,60159,,500
1178,,811,60166,,500
1179,,811,60173,,1000
1180,,811,60180,,750
1181,,811,60187,,750
1182,,811,60194,,500
1183,,811,60201,,750
1184,,811,60208,,500
1185,,811,60215,,500
1186,,811,60222,,500
1187,,811,60153,,30
1188,,811,60160,,30
1189,,811,60167,,30
1190,,811,60174,,30
1191,,811,60181,,30
1192,,811,60188,,30
1193,,811,60195,,30
1194,,811,60202,,30
1195,,811,60209,,30
1196,,811,60216,,30
1197,,811,60223,,30
1198,,812,60001,,12000
1199,,812,60008,,4000
1200,,812,60015,,12000
1201,,812,60022,,15000
1202,,812,60029,,9000
1203,,812,60036,,15000
1204,,812,60043,,15000
1205,,812,60050,,9000
1206,,812,60057,,9000
1207,,812,60064,,9000
1208,,812,60002,,7531
1209,,812,60009,,2510
1210,,812,60016,,7531
1211,,812,60023,,9413
1212,,812,60030,,5648
1213,,812,60037,,9413
1214,,812,60044,,9413
1215,,812,60051,,5648
1216,,812,60058,,5648
1217,,812,60065,,5648
1218,,812,60003,,4965
1219,,812,60010,,1654
1220,,812,60017,,4965
1221,,812,60024,,6206
1222,,812,60031,,3723
1223,,812,60038,,6206
1224,,812,60045,,6206
1225,,812,60052,,3723
1226,,812,60059,,3723
1227,,812,60066,,3723
1228,,812,60004,,3144
1229,,812,60011,,1047
1230,,812,60018,,3144
1231,,812,60025,,3930
1232,,812,60032,,2357
1233,,812,60039,,3930
1234,,812,60046,,3930
1235,,812,60053,,2357
1236,,812,60060,,2357
1237,,812,60067,,2357
1238,,812,60005,,2068
1239,,812,60012,,688
1240,,812,60019,,2068
1241,,812,60026,,2585
1242,,812,60033,,1550
1243,,812,60040,,2585
1244,,812,60047,,2585
1245,,812,60054,,1550
1246,,812,60061,,1550
1247,,812,60068,,1550
1248,,812,60006,,90
1249,,812,60013,,90
1250,,812,60020,,90
1251,,812,60027,,90
1252,,812,60034,,90
1253,,812,60041,,90
1254,,812,60048,,90
1255,,812,60055,,90
1256,,812,60062,,90
1257,,812,60069,,90
1258,,812,60007,,60
1259,,812,60014,,60
1260,,812,60021,,60
1261,,812,60028,,60
1262,,812,60035,,60
1263,,812,60042,,60
1264,,812,60049,,60
1265,,812,60056,,60
1266,,812,60063,,60
1267,,812,60070,,60
1268,,812,60148,,12000
1269,,812,60155,,8000
1270,,812,60162,,8000
1271,,812,60169,,16000
1272,,812,60176,,12000
1273,,812,60183,,12000
1274,,812,60190,,8000
1275,,812,60197,,12000
1276,,812,60204,,8000
1277,,812,60211,,8000
1278,,812,60218,,8000
1279,,812,60149,,6000
1280,,812,60156,,4000
1281,,812,60163,,4000
1282,,812,60170,,8000
1283,,812,60177,,6000
1284,,812,60184,,6000
1285,,812,60191,,4000
1286,,812,60198,,6000
1287,,812,60205,,4000
1288,,812,60212,,4000
1289,,812,60219,,4000
1290,,812,60150,,3000
1291,,812,60157,,2000
1292,,812,60164,,2000
1293,,812,60171,,4000
1294,,812,60178,,3000
1295,,812,60185,,3000
1296,,812,60192,,2000
1297,,812,60199,,3000
1298,,812,60206,,2000
1299,,812,60213,,2000
1300,,812,60220,,2000
1301,,812,60151,,1500
1302,,812,60158,,1000
1303,,812,60165,,1000
1304,,812,60172,,2000
1305,,812,60179,,1500
1306,,812,60186,,1500
1307,,812,60193,,1000
1308,,812,60200,,1500
1309,,812,60207,,1000
1310,,812,60214,,1000
1311,,812,60221,,1000
1312,,812,60152,,750
1313,,812,60159,,500
1314,,812,60166,,500
1315,,812,60173,,1000
1316,,812,60180,,750
1317,,812,60187,,750
1318,,812,60194,,500
1319,,812,60201,,750
1320,,812,60208,,500
1321,,812,60215,,500
1322,,812,60222,,500
1323,,812,60153,,30
1324,,812,60160,,30
1325,,812,60167,,30
1326,,812,60174,,30
1327,,812,60181,,30
1328,,812,60188,,30
1329,,812,60195,,30
1330,,812,60202,,30
1331,,812,60209,,30
1332,,812,60216,,30
1333,,812,60223,,30
1334,,812,60154,,20
1335,,812,60161,,20
1336,,812,60168,,20
1337,,812,60175,,20
1338,,812,60182,,20
1339,,812,60189,,20
1340,,812,60196,,20
1341,,812,60203,,20
1342,,812,60210,,20
1343,,812,60217,,20
1344,,812,60224,,20
1345,,813,60001,,2900
1346,,813,60008,,2000
1347,,813,60015,,2100
1348,,813,60022,,1900
1349,,813,60029,,2800
1350,,813,60036,,3300
1351,,813,60043,,2800
1352,,813,60050,,2800
1353,,813,60057,,2500
1354,,813,60064,,2800
1355,,813,60002,,1303
1356,,813,60009,,899
1357,,813,60016,,944
1358,,813,60023,,854
1359,,813,60030,,1258
1360,,813,60037,,1483
1361,,813,60044,,1258
1362,,813,60051,,1258
1363,,813,60058,,1124
1364,,813,60065,,1258
1365,,813,60003,,966
1366,,813,60010,,666
1367,,813,60017,,699
1368,,813,60024,,633
1369,,813,60031,,932
1370,,813,60038,,1099
1371,,813,60045,,932
1372,,813,60052,,932
1373,,813,60059,,833
1374,,813,60066,,932
1375,,813,60004,,292
1376,,813,60011,,201
1377,,813,60018,,211
1378,,813,60025,,191
1379,,813,60032,,281
1380,,813,60039,,332
1381,,813,60046,,281
1382,,813,60053,,281
1383,,813,60060,,251
1384,,813,60067,,281
1385,,813,60005,,202
1386,,813,60012,,139
1387,,813,60019,,146
1388,,813,60026,,132
1389,,813,60033,,194
1390,,813,60040,,229
1391,,813,60047,,194
1392,,813,60054,,194
1393,,813,60061,,173
1394,,813,60068,,194
1395,,813,60006,,157
1396,,813,60013,,108
1397,,813,60020,,113
1398,,813,60027,,102
1399,,813,60034,,150
1400,,813,60041,,178
1401,,813,60048,,150
1402,,813,60055,,150
1403,,813,60062,,134
1404,,813,60069,,150
1405,,813,60007,,22
1406,,813,60014,,15
1407,,813,60021,,16
1408,,813,60028,,14
1409,,813,60035,,21
1410,,813,60042,,25
1411,,813,60049,,21
1412,,813,60056,,21
1413,,813,60063,,19
1414,,813,60070,,21
1415,,813,60148,,2600
1416,,813,60155,,1400
1417,,813,60162,,2600
1418,,813,60169,,2800
1419,,813,60176,,1800
1420,,813,60183,,2400
1421,,813,60190,,3200
1422,,813,60197,,3000
1423,,813,60204,,1200
1424,,813,60211,,1800
1425,,813,60218,,2000
1426,,813,60149,,1352
1427,,813,60156,,728
1428,,813,60163,,1352
1429,,813,60170,,1456
1430,,813,60177,,936
1431,,813,60184,,1248
1432,,813,60191,,1664
1433,,813,60198,,1560
1434,,813,60205,,624
1435,,813,60212,,936
1436,,813,60219,,1040
1437,,813,60150,,1456
1438,,813,60157,,784
1439,,813,60164,,1456
1440,,813,60171,,1568
1441,,813,60178,,1008
1442,,813,60185,,1344
1443,,813,60192,,1792
1444,,813,60199,,1680
1445,,813,60206,,672
1446,,813,60213,,1008
1447,,813,60220,,1120
1448,,813,60151,,260
1449,,813,60158,,140
1450,,813,60165,,260
1451,,813,60172,,280
1452,,813,60179,,180
1453,,813,60186,,240
1454,,813,60193,,320
1455,,813,60200,,300
1456,,813,60207,,120
1457,,813,60214,,180
1458,,813,60221,,200
1459,,813,60152,,260
1460,,813,60159,,140
1461,,813,60166,,260
1462,,813,60173,,280
1463,,813,60180,,180
1464,,813,60187,,240
1465,,813,60194,,320
1466,,813,60201,,300
1467,,813,60208,,120
1468,,813,60215,,180
1469,,813,60222,,200
1470,,813,60153,,52
1471,,813,60160,,28
1472,,813,60167,,52
1473,,813,60174,,56
1474,,813,60181,,36
1475,,813,60188,,48
1476,,813,60195,,64
1477,,813,60202,,60
1478,,813,60209,,24
1479,,813,60216,,36
1480,,813,60223,,40
1481,,813,60154,,26
1482,,813,60161,,14
1483,,813,60168,,26
1484,,813,60175,,28
1485,,813,60182,,18
1486,,813,60189,,24
1487,,813,60196,,32
1488,,813,60203,,30
1489,,813,60210,,12
1490,,813,60217,,18
1491,,813,60224,,20
1492,,814,60001,,3000
1493,,814,60008,,1900
1494,,814,60015,,2400
1495,,814,60022,,1800
1496,,814,60029,,1500
1497,,814,60036,,2300
1498,,814,60043,,2200
1499,,814,60050,,1100
1500,,814,60057,,2300
1501,,814,60064,,1600
1502,,814,60002,,1568
1503,,814,60009,,993
1504,,814,60016,,1254
1505,,814,60023,,940
1506,,814,60030,,784
1507,,814,60037,,1202
1508,,814,60044,,1150
1509,,814,60051,,575
1510,,814,60058,,1202
1511,,814,60065,,836
1512,,814,60003,,1636
1513,,814,60010,,1036
1514,,814,60017,,1308
1515,,814,60024,,980
1516,,814,60031,,818
1517,,814,60038,,1254
1518,,814,60045,,1200
1519,,814,60052,,600
1520,,814,60059,,1254
1521,,814,60066,,872
1522,,814,60004,,374
1523,,814,60011,,237
1524,,814,60018,,299
1525,,814,60025,,224
1526,,814,60032,,187
1527,,814,60039,,287
1528,,814,60046,,275
1529,,814,60053,,137
1530,,814,60060,,287
1531,,814,60067,,199
1532,,814,60005,,136
1533,,814,60012,,86
1534,,814,60019,,108
1535,,814,60026,,81
1536,,814,60033,,68
1537,,814,60040,,104
1538,,814,60047,,100
1539,,814,60054,,49
1540,,814,60061,,104
1541,,814,60068,,72
1542,,814,60006,,102
1543,,814,60013,,64
1544,,814,60020,,81
1545,,814,60027,,60
1546,,814,60034,,51
1547,,814,60041,,78
1548,,814,60048,,75
1549,,814,60055,,36
1550,,814,60062,,78
1551,,814,60069,,54
1552,,814,60007,,34
1553,,814,60014,,21
1554,,814,60021,,27
1555,,814,60028,,20
1556,,814,60035,,17
1557,,814,60042,,26
1558,,814,60049,,25
1559,,814,60056,,12
1560,,814,60063,,26
1561,,814,60070,,18
1562,,814,60148,,2000
1563,,814,60155,,2000
1564,,814,60162,,1800
1565,,814,60169,,1800
1566,,814,60176,,1800
1567,,814,60183,,2400
1568,,814,60190,,1600
1569,,814,60197,,1800
1570,,814,60204,,2000
1571,,814,60211,,1000
1572,,814,60218,,2200
1573,,814,60149,,1400
1574,,814,60156,,1400
1575,,814,60163,,1260
1576,,814,60170,,1260
1577,,814,60177,,1260
1578,,814,60184,,1680
1579,,814,60191,,1120
1580,,814,60198,,1260
1581,,814,60205,,1400
1582,,814,60212,,700
1583,,814,60219,,1540
1584,,814,60150,,1050
1585,,814,60157,,1050
1586,,814,60164,,945
1587,,814,60171,,945
1588,,814,60178,,945
1589,,814,60185,,1260
1590,,814,60192,,840
1591,,814,60199,,945
1592,,814,60206,,1050
1593,,814,60213,,525
1594,,814,60220,,1155
1595,,814,60151,,350
1596,,814,60158,,350
1597,,814,60165,,315
1598,,814,60172,,315
1599,,814,60179,,315
1600,,814,60186,,420
1601,,814,60193,,280
1602,,814,60200,,315
1603,,814,60207,,350
1604,,814,60214,,175
1605,,814,60221,,385
1606,,814,60152,,250
1607,,814,60159,,250
1608,,814,60166,,225
1609,,814,60173,,225
1610,,814,60180,,225
1611,,814,60187,,300
1612,,814,60194,,200
1613,,814,60201,,225
1614,,814,60208,,250
1615,,814,60215,,125
1616,,814,60222,,275
1617,,814,60153,,50
1618,,814,60160,,50
1619,,814,60167,,45
1620,,814,60174,,45
1621,,814,60181,,45
1622,,814,60188,,60
1623,,814,60195,,40
1624,,814,60202,,45
1625,,814,60209,,50
1626,,814,60216,,25
1627,,814,60223,,55
1628,,814,60154,,25
1629,,814,60161,,25
1630,,814,60168,,22
1631,,814,60175,,22
1632,,814,60182,,22
1633,,814,60189,,30
1634,,814,60196,,20
1635,,814,60203,,22
1636,,814,60210,,25
1637,,814,60217,,12
1638,,814,60224,,27
