玩法名字,升级后的等级,,物品id,物品数量,货币单位,货币数量,增加属性的标准值
baoshi,157,,60003,180,,,25094
baoshi,158,,60003,180,,,25539
baoshi,159,,60003,180,,,25991
baoshi,160,,60003,180,,,26450
baoshi,161,,60003,220,,,26917
baoshi,162,,60003,220,,,27391
baoshi,163,,60003,220,,,27873
baoshi,164,,60003,220,,,28363
baoshi,165,,60003,220,,,28861
baoshi,166,,60003,260,,,29367
baoshi,167,,60003,260,,,29882
baoshi,168,,60003,260,,,30405
baoshi,169,,60003,260,,,30936
baoshi,170,,60003,260,,,31476
baoshi,171,,60003,300,,,32025
baoshi,172,,60003,300,,,32583
baoshi,173,,60003,300,,,33150
baoshi,174,,60003,300,,,33726
baoshi,175,,60003,300,,,34312
baoshi,176,,60003,340,,,34907
baoshi,177,,60003,340,,,35512
baoshi,178,,60003,340,,,36127
baoshi,179,,60003,340,,,36752
baoshi,180,,60003,340,,,37387
baoshi,181,,60003,380,,,38032
baoshi,182,,60003,380,,,38688
baoshi,183,,60003,380,,,39355
baoshi,184,,60003,380,,,40033
baoshi,185,,60003,380,,,40722
baoshi,186,,60003,420,,,41422
baoshi,187,,60003,420,,,42133
baoshi,188,,60003,420,,,42856
baoshi,189,,60003,420,,,43591
baoshi,190,,60003,420,,,44338
baoshi,191,,60003,460,,,45097
baoshi,192,,60003,460,,,45868
baoshi,193,,60003,460,,,46652
baoshi,194,,60003,460,,,47449
baoshi,195,,60003,460,,,48259
baoshi,196,,60003,500,,,49082
baoshi,197,,60003,500,,,49918
baoshi,198,,60003,500,,,50768
baoshi,199,,60003,500,,,51632
baoshi,200,,60003,500,,,52510
