生死劫索引,怪物entryId,说明,等级（要求）,能否组队,开启宝箱消耗,怪物列表,怪物列表,怪物列表,劫索引,劫名称,几率掉落库,几率掉落展示,宝箱奖励,宝箱奖励(掉落库),首通奖励展示,首通奖励,领取宝箱后固定物品显示,固定物品奖励,协助物品奖励,全服首通奖励
26,13002710,第5劫(3),105,1,500,"[2]=13002702,[3]=13002703,[4]=13002702,[5]=13002705,[6]=13002706,[8]=13002708,[9]=13002709,[10]=13002712,[11]=13002711,[12]=13002712","[2]=13002702,[3]=13002703,[4]=13002702,[5]=13002705,[6]=13002706,[8]=13002708,[9]=13002709,[10]=13002712,[11]=13002711,[12]=13002712","[2]=13002702,[3]=13002703,[5]=13002705,[6]=13002706,[8]=13002708,[9]=13002709,[10]=13002710,[11]=13002711,[12]=13002712",5,第五劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
27,13002810,第5劫(4),105,1,500,"[2]=13002802,[3]=13002803,[4]=13002802,[5]=13002805,[6]=13002806,[8]=13002808,[9]=13002809,[10]=13002812,[11]=13002811,[12]=13002812","[2]=13002802,[3]=13002803,[4]=13002802,[5]=13002805,[6]=13002806,[8]=13002808,[9]=13002809,[10]=13002812,[11]=13002811,[12]=13002812","[2]=13002802,[3]=13002803,[5]=13002805,[6]=13002806,[8]=13002808,[9]=13002809,[10]=13002810,[11]=13002811,[12]=13002812",5,第五劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
28,13002910,第5劫(5),105,1,500,"[2]=13002902,[3]=13002903,[4]=13002902,[5]=13002905,[6]=13002906,[8]=13002908,[9]=13002909,[10]=13002912,[11]=13002911,[12]=13002912","[2]=13002902,[3]=13002903,[4]=13002902,[5]=13002905,[6]=13002906,[8]=13002908,[9]=13002909,[10]=13002912,[11]=13002911,[12]=13002912","[2]=13002902,[3]=13002903,[5]=13002905,[6]=13002906,[8]=13002908,[9]=13002909,[10]=13002910,[11]=13002911,[12]=13002912",5,第五劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
29,13003010,第5劫(6),105,1,500,"[2]=13003002,[3]=13003003,[4]=13003002,[5]=13003005,[6]=13003006,[8]=13003008,[9]=13003009,[10]=13003012,[11]=13003011,[12]=13003012","[2]=13003002,[3]=13003003,[4]=13003002,[5]=13003005,[6]=13003006,[8]=13003008,[9]=13003009,[10]=13003012,[11]=13003011,[12]=13003012","[2]=13003002,[3]=13003003,[5]=13003005,[6]=13003006,[8]=13003008,[9]=13003009,[10]=13003010,[11]=13003011,[12]=13003012",5,第五劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
30,13003110,第6劫(1),105,1,500,"[2]=13003102,[3]=13003103,[4]=13003102,[5]=13003105,[6]=13003106,[8]=13003108,[9]=13003109,[10]=13003112,[11]=13003111,[12]=13003112","[2]=13003102,[3]=13003103,[4]=13003102,[5]=13003105,[6]=13003106,[8]=13003108,[9]=13003109,[10]=13003112,[11]=13003111,[12]=13003112","[2]=13003102,[3]=13003103,[5]=13003105,[6]=13003106,[8]=13003108,[9]=13003109,[10]=13003110,[11]=13003111,[12]=13003112",6,第六劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
31,13003210,第6劫(2),105,1,500,"[2]=13003202,[3]=13003203,[4]=13003202,[5]=13003205,[6]=13003206,[8]=13003208,[9]=13003209,[10]=13003212,[11]=13003211,[12]=13003212","[2]=13003202,[3]=13003203,[4]=13003202,[5]=13003205,[6]=13003206,[8]=13003208,[9]=13003209,[10]=13003212,[11]=13003211,[12]=13003212","[2]=13003202,[3]=13003203,[5]=13003205,[6]=13003206,[8]=13003208,[9]=13003209,[10]=13003210,[11]=13003211,[12]=13003212",6,第六劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
32,13003310,第6劫(3),105,1,500,"[2]=13003302,[3]=13003303,[4]=13003302,[5]=13003305,[6]=13003306,[8]=13003308,[9]=13003309,[10]=13003312,[11]=13003311,[12]=13003312","[2]=13003302,[3]=13003303,[4]=13003302,[5]=13003305,[6]=13003306,[8]=13003308,[9]=13003309,[10]=13003312,[11]=13003311,[12]=13003312","[2]=13003302,[3]=13003303,[5]=13003305,[6]=13003306,[8]=13003308,[9]=13003309,[10]=13003310,[11]=13003311,[12]=13003312",6,第六劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
33,13003410,第6劫(4),105,1,500,"[2]=13003402,[3]=13003403,[4]=13003402,[5]=13003405,[6]=13003406,[8]=13003408,[9]=13003409,[10]=13003412,[11]=13003411,[12]=13003412","[2]=13003402,[3]=13003403,[4]=13003402,[5]=13003405,[6]=13003406,[8]=13003408,[9]=13003409,[10]=13003412,[11]=13003411,[12]=13003412","[2]=13003402,[3]=13003403,[5]=13003405,[6]=13003406,[8]=13003408,[9]=13003409,[10]=13003410,[11]=13003411,[12]=13003412",6,第六劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
34,13003510,第6劫(5),105,1,500,"[2]=13003502,[3]=13003503,[4]=13003502,[5]=13003505,[6]=13003506,[8]=13003508,[9]=13003509,[10]=13003512,[11]=13003511,[12]=13003512","[2]=13003502,[3]=13003503,[4]=13003502,[5]=13003505,[6]=13003506,[8]=13003508,[9]=13003509,[10]=13003512,[11]=13003511,[12]=13003512","[2]=13003502,[3]=13003503,[5]=13003505,[6]=13003506,[8]=13003508,[9]=13003509,[10]=13003510,[11]=13003511,[12]=13003512",6,第六劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
35,13003610,第6劫(6),105,1,500,"[2]=13003602,[3]=13003603,[4]=13003602,[5]=13003605,[6]=13003606,[8]=13003608,[9]=13003609,[10]=13003612,[11]=13003611,[12]=13003612","[2]=13003602,[3]=13003603,[4]=13003602,[5]=13003605,[6]=13003606,[8]=13003608,[9]=13003609,[10]=13003612,[11]=13003611,[12]=13003612","[2]=13003602,[3]=13003603,[5]=13003605,[6]=13003606,[8]=13003608,[9]=13003609,[10]=13003610,[11]=13003611,[12]=13003612",6,第六劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
36,13003710,第7劫(1),105,1,500,"[2]=13003702,[3]=13003703,[4]=13003702,[5]=13003705,[6]=13003706,[8]=13003708,[9]=13003709,[10]=13003712,[11]=13003711,[12]=13003712","[2]=13003702,[3]=13003703,[4]=13003702,[5]=13003705,[6]=13003706,[8]=13003708,[9]=13003709,[10]=13003712,[11]=13003711,[12]=13003712","[2]=13003702,[3]=13003703,[5]=13003705,[6]=13003706,[8]=13003708,[9]=13003709,[10]=13003710,[11]=13003711,[12]=13003712",7,第七劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
37,13003810,第7劫(2),105,1,500,"[2]=13003802,[3]=13003803,[4]=13003802,[5]=13003805,[6]=13003806,[8]=13003808,[9]=13003809,[10]=13003812,[11]=13003811,[12]=13003812","[2]=13003802,[3]=13003803,[4]=13003802,[5]=13003805,[6]=13003806,[8]=13003808,[9]=13003809,[10]=13003812,[11]=13003811,[12]=13003812","[2]=13003802,[3]=13003803,[5]=13003805,[6]=13003806,[8]=13003808,[9]=13003809,[10]=13003810,[11]=13003811,[12]=13003812",7,第七劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
38,13003910,第7劫(3),105,1,500,"[2]=13003902,[3]=13003903,[4]=13003902,[5]=13003905,[6]=13003906,[8]=13003908,[9]=13003909,[10]=13003912,[11]=13003911,[12]=13003912","[2]=13003902,[3]=13003903,[4]=13003902,[5]=13003905,[6]=13003906,[8]=13003908,[9]=13003909,[10]=13003912,[11]=13003911,[12]=13003912","[2]=13003902,[3]=13003903,[5]=13003905,[6]=13003906,[8]=13003908,[9]=13003909,[10]=13003910,[11]=13003911,[12]=13003912",7,第七劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
39,13004010,第7劫(4),105,1,500,"[2]=13004002,[3]=13004003,[4]=13004002,[5]=13004005,[6]=13004006,[8]=13004008,[9]=13004009,[10]=13004012,[11]=13004011,[12]=13004012","[2]=13004002,[3]=13004003,[4]=13004002,[5]=13004005,[6]=13004006,[8]=13004008,[9]=13004009,[10]=13004012,[11]=13004011,[12]=13004012","[2]=13004002,[3]=13004003,[5]=13004005,[6]=13004006,[8]=13004008,[9]=13004009,[10]=13004010,[11]=13004011,[12]=13004012",7,第七劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
40,13004110,第7劫(5),105,1,500,"[2]=13004102,[3]=13004103,[4]=13004102,[5]=13004105,[6]=13004106,[8]=13004108,[9]=13004109,[10]=13004112,[11]=13004111,[12]=13004112","[2]=13004102,[3]=13004103,[4]=13004102,[5]=13004105,[6]=13004106,[8]=13004108,[9]=13004109,[10]=13004112,[11]=13004111,[12]=13004112","[2]=13004102,[3]=13004103,[5]=13004105,[6]=13004106,[8]=13004108,[9]=13004109,[10]=13004110,[11]=13004111,[12]=13004112",7,第七劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
41,13004210,第7劫(6),105,1,500,"[2]=13004202,[3]=13004203,[4]=13004202,[5]=13004205,[6]=13004206,[8]=13004208,[9]=13004209,[10]=13004212,[11]=13004211,[12]=13004212","[2]=13004202,[3]=13004203,[4]=13004202,[5]=13004205,[6]=13004206,[8]=13004208,[9]=13004209,[10]=13004212,[11]=13004211,[12]=13004212","[2]=13004202,[3]=13004203,[5]=13004205,[6]=13004206,[8]=13004208,[9]=13004209,[10]=13004210,[11]=13004211,[12]=13004212",7,第七劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
42,13004310,第8劫(1),105,1,500,"[2]=13004302,[3]=13004303,[4]=13004302,[5]=13004305,[6]=13004306,[8]=13004308,[9]=13004309,[10]=13004312,[11]=13004311,[12]=13004312","[2]=13004302,[3]=13004303,[4]=13004302,[5]=13004305,[6]=13004306,[8]=13004308,[9]=13004309,[10]=13004312,[11]=13004311,[12]=13004312","[2]=13004302,[3]=13004303,[5]=13004305,[6]=13004306,[8]=13004308,[9]=13004309,[10]=13004310,[11]=13004311,[12]=13004312",8,第八劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
43,13004410,第8劫(2),105,1,500,"[2]=13004402,[3]=13004403,[4]=13004402,[5]=13004405,[6]=13004406,[8]=13004408,[9]=13004409,[10]=13004412,[11]=13004411,[12]=13004412","[2]=13004402,[3]=13004403,[4]=13004402,[5]=13004405,[6]=13004406,[8]=13004408,[9]=13004409,[10]=13004412,[11]=13004411,[12]=13004412","[2]=13004402,[3]=13004403,[5]=13004405,[6]=13004406,[8]=13004408,[9]=13004409,[10]=13004410,[11]=13004411,[12]=13004412",8,第八劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
44,13004510,第8劫(3),105,1,500,"[2]=13004502,[3]=13004503,[4]=13004502,[5]=13004505,[6]=13004506,[8]=13004508,[9]=13004509,[10]=13004512,[11]=13004511,[12]=13004512","[2]=13004502,[3]=13004503,[4]=13004502,[5]=13004505,[6]=13004506,[8]=13004508,[9]=13004509,[10]=13004512,[11]=13004511,[12]=13004512","[2]=13004502,[3]=13004503,[5]=13004505,[6]=13004506,[8]=13004508,[9]=13004509,[10]=13004510,[11]=13004511,[12]=13004512",8,第八劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
45,13004610,第8劫(4),105,1,500,"[2]=13004602,[3]=13004603,[4]=13004602,[5]=13004605,[6]=13004606,[8]=13004608,[9]=13004609,[10]=13004612,[11]=13004611,[12]=13004612","[2]=13004602,[3]=13004603,[4]=13004602,[5]=13004605,[6]=13004606,[8]=13004608,[9]=13004609,[10]=13004612,[11]=13004611,[12]=13004612","[2]=13004602,[3]=13004603,[5]=13004605,[6]=13004606,[8]=13004608,[9]=13004609,[10]=13004610,[11]=13004611,[12]=13004612",8,第八劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
46,13004710,第8劫(5),105,1,500,"[2]=13004702,[3]=13004703,[4]=13004702,[5]=13004705,[6]=13004706,[8]=13004708,[9]=13004709,[10]=13004712,[11]=13004711,[12]=13004712","[2]=13004702,[3]=13004703,[4]=13004702,[5]=13004705,[6]=13004706,[8]=13004708,[9]=13004709,[10]=13004712,[11]=13004711,[12]=13004712","[2]=13004702,[3]=13004703,[5]=13004705,[6]=13004706,[8]=13004708,[9]=13004709,[10]=13004710,[11]=13004711,[12]=13004712",8,第八劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
47,13004810,第8劫(6),105,1,500,"[2]=13004802,[3]=13004803,[4]=13004802,[5]=13004805,[6]=13004806,[8]=13004808,[9]=13004809,[10]=13004812,[11]=13004811,[12]=13004812","[2]=13004802,[3]=13004803,[4]=13004802,[5]=13004805,[6]=13004806,[8]=13004808,[9]=13004809,[10]=13004812,[11]=13004811,[12]=13004812","[2]=13004802,[3]=13004803,[5]=13004805,[6]=13004806,[8]=13004808,[9]=13004809,[10]=13004810,[11]=13004811,[12]=13004812",8,第八劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
48,13004910,第9劫(1),105,1,500,"[2]=13004902,[3]=13004903,[4]=13004902,[5]=13004905,[6]=13004906,[8]=13004908,[9]=13004909,[10]=13004912,[11]=13004911,[12]=13004912","[2]=13004902,[3]=13004903,[4]=13004902,[5]=13004905,[6]=13004906,[8]=13004908,[9]=13004909,[10]=13004912,[11]=13004911,[12]=13004912","[2]=13004902,[3]=13004903,[5]=13004905,[6]=13004906,[8]=13004908,[9]=13004909,[10]=13004910,[11]=13004911,[12]=13004912",9,第九劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
49,13005010,第9劫(2),105,1,500,"[2]=13005002,[3]=13005003,[4]=13005002,[5]=13005005,[6]=13005006,[8]=13005008,[9]=13005009,[10]=13005012,[11]=13005011,[12]=13005012","[2]=13005002,[3]=13005003,[4]=13005002,[5]=13005005,[6]=13005006,[8]=13005008,[9]=13005009,[10]=13005012,[11]=13005011,[12]=13005012","[2]=13005002,[3]=13005003,[5]=13005005,[6]=13005006,[8]=13005008,[9]=13005009,[10]=13005010,[11]=13005011,[12]=13005012",9,第九劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
50,13005110,第9劫(3),105,1,500,"[2]=13005102,[3]=13005103,[4]=13005102,[5]=13005105,[6]=13005106,[8]=13005108,[9]=13005109,[10]=13005112,[11]=13005111,[12]=13005112","[2]=13005102,[3]=13005103,[4]=13005102,[5]=13005105,[6]=13005106,[8]=13005108,[9]=13005109,[10]=13005112,[11]=13005111,[12]=13005112","[2]=13005102,[3]=13005103,[5]=13005105,[6]=13005106,[8]=13005108,[9]=13005109,[10]=13005110,[11]=13005111,[12]=13005112",9,第九劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
51,13005210,第9劫(4),105,1,500,"[2]=13005202,[3]=13005203,[4]=13005202,[5]=13005205,[6]=13005206,[8]=13005208,[9]=13005209,[10]=13005212,[11]=13005211,[12]=13005212","[2]=13005202,[3]=13005203,[4]=13005202,[5]=13005205,[6]=13005206,[8]=13005208,[9]=13005209,[10]=13005212,[11]=13005211,[12]=13005212","[2]=13005202,[3]=13005203,[5]=13005205,[6]=13005206,[8]=13005208,[9]=13005209,[10]=13005210,[11]=13005211,[12]=13005212",9,第九劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
52,13005310,第9劫(5),105,1,500,"[2]=13005302,[3]=13005303,[4]=13005302,[5]=13005305,[6]=13005306,[8]=13005308,[9]=13005309,[10]=13005312,[11]=13005311,[12]=13005312","[2]=13005302,[3]=13005303,[4]=13005302,[5]=13005305,[6]=13005306,[8]=13005308,[9]=13005309,[10]=13005312,[11]=13005311,[12]=13005312","[2]=13005302,[3]=13005303,[5]=13005305,[6]=13005306,[8]=13005308,[9]=13005309,[10]=13005310,[11]=13005311,[12]=13005312",9,第九劫,7,"{""item"",20009,1},{""item"",20010,1},{""item"",20011,1},{""item"",20012,1}","{""bindRmb"",500},{""item"",60001,500},{""item"",60002,100},{""item"",60003,10},{""item"",20009,10},{""item"",20010,10},{""item"",20011,10},{""item"",20012,10},{""item"",60074,5},{""item"",60075,5}","5,6","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",60041,1}, {""bindRmb"",5000}","{""item"",20015,2}","{""item"",20015,2}","{""item"",20015,2}","{""bindRmb"",1200}"
