皇城天塔索引,怪物entryId,等级（要求）,能否组队,怪物列表,通关奖励,关卡序号,关卡名称,奖励预览
110,9010010,0,0,"[2]=9010009,[3]=9010009,[4]=9010009,[5]=9010009,[6]=9010009,[8]=9010009,[9]=9010009,[10]=9010010,[11]=9010009,[12]=9010009","{""exp"",27900000},{""funds"",60600}",100,第100关,"{""exp"",27900000},{""funds"",60600}"
111,9010110,0,0,"[2]=9010109,[3]=9010109,[4]=9010109,[5]=9010109,[6]=9010109,[8]=9010109,[9]=9010109,[10]=9010110,[11]=9010109,[12]=9010109","{""exp"",28200000},{""funds"",151500}",101,第101关,"{""exp"",28200000},{""funds"",151500}"
112,9010210,0,0,"[2]=9010209,[3]=9010209,[4]=9010209,[5]=9010209,[6]=9010209,[8]=9010209,[9]=9010209,[10]=9010210,[11]=9010209,[12]=9010209","{""exp"",28400000},{""item"",60019,36}",102,第102关,"{""exp"",28400000},{""item"",60019,36}"
113,9010310,0,0,"[2]=9010309,[3]=9010309,[4]=9010309,[5]=9010309,[6]=9010309,[8]=9010309,[9]=9010309,[10]=9010310,[11]=9010309,[12]=9010309","{""exp"",28700000},{""funds"",64100}",103,第103关,"{""exp"",28700000},{""funds"",64100}"
114,50000001,0,0,"[2]=9010409,[3]=9010409,[4]=9010409,[5]=9010409,[6]=9010409,[8]=9010409,[9]=9010409,[10]=9010410,[11]=9010409,[12]=9010409","{""exp"",29000000},{""funds"",160250}",104,第104关,"{""exp"",29000000},{""funds"",160250}"
115,9010510,0,0,"[2]=9010509,[3]=9010509,[4]=9010509,[5]=9010509,[6]=9010509,[8]=9010509,[9]=9010509,[10]=9010510,[11]=9010509,[12]=9010509","{""exp"",29200000},{""item"",60019,36}",105,第105关,"{""exp"",29200000},{""item"",60019,36}"
116,9010610,0,0,"[2]=9010609,[3]=9010609,[4]=9010609,[5]=9010609,[6]=9010609,[8]=9010609,[9]=9010609,[10]=9010610,[11]=9010609,[12]=9010609","{""exp"",29500000},{""funds"",67700}",106,第106关,"{""exp"",29500000},{""funds"",67700}"
117,9010710,0,0,"[2]=9010709,[3]=9010709,[4]=9010709,[5]=9010709,[6]=9010709,[8]=9010709,[9]=9010709,[10]=9010710,[11]=9010709,[12]=9010709","{""exp"",29800000},{""funds"",169250}",107,第107关,"{""exp"",29800000},{""funds"",169250}"
118,9010810,0,0,"[2]=9010809,[3]=9010809,[4]=9010809,[5]=9010809,[6]=9010809,[8]=9010809,[9]=9010809,[10]=9010810,[11]=9010809,[12]=9010809","{""exp"",30000000},{""item"",60019,36}",108,第108关,"{""exp"",30000000},{""item"",60019,36}"
119,9010910,0,0,"[2]=9010909,[3]=9010909,[4]=9010909,[5]=9010909,[6]=9010909,[8]=9010909,[9]=9010909,[10]=9010910,[11]=9010909,[12]=9010909","{""exp"",30300000},{""funds"",71400}",109,第109关,"{""exp"",30300000},{""funds"",71400}"
120,50000004,0,0,"[2]=9011009,[3]=9011009,[4]=9011009,[5]=9011009,[6]=9011009,[8]=9011009,[9]=9011009,[10]=9011010,[11]=9011009,[12]=9011009","{""exp"",30600000},{""funds"",178500}",110,第110关,"{""exp"",30600000},{""funds"",178500}"
121,9011110,0,0,"[2]=9011109,[3]=9011109,[4]=9011109,[5]=9011109,[6]=9011109,[8]=9011109,[9]=9011109,[10]=9011110,[11]=9011109,[12]=9011109","{""exp"",30800000},{""item"",60019,36}",111,第111关,"{""exp"",30800000},{""item"",60019,36}"
122,9011210,0,0,"[2]=9011209,[3]=9011209,[4]=9011209,[5]=9011209,[6]=9011209,[8]=9011209,[9]=9011209,[10]=9011210,[11]=9011209,[12]=9011209","{""exp"",31100000},{""funds"",75200}",112,第112关,"{""exp"",31100000},{""funds"",75200}"
123,9011310,0,0,"[2]=9011309,[3]=9011309,[4]=9011309,[5]=9011309,[6]=9011309,[8]=9011309,[9]=9011309,[10]=9011310,[11]=9011309,[12]=9011309","{""exp"",31400000},{""funds"",188000}",113,第113关,"{""exp"",31400000},{""funds"",188000}"
124,9011410,0,0,"[2]=9011409,[3]=9011409,[4]=9011409,[5]=9011409,[6]=9011409,[8]=9011409,[9]=9011409,[10]=9011410,[11]=9011409,[12]=9011409","{""exp"",31600000},{""item"",60019,36}",114,第114关,"{""exp"",31600000},{""item"",60019,36}"
125,9011510,0,0,"[2]=9011509,[3]=9011509,[4]=9011509,[5]=9011509,[6]=9011509,[8]=9011509,[9]=9011509,[10]=9011510,[11]=9011509,[12]=9011509","{""exp"",31900000},{""funds"",79100}",115,第115关,"{""exp"",31900000},{""funds"",79100}"
126,50000004,0,0,"[2]=9011609,[3]=9011609,[4]=9011609,[5]=9011609,[6]=9011609,[8]=9011609,[9]=9011609,[10]=9011610,[11]=9011609,[12]=9011609","{""exp"",32200000},{""funds"",197750}",116,第116关,"{""exp"",32200000},{""funds"",197750}"
127,9011710,0,0,"[2]=9011709,[3]=9011709,[4]=9011709,[5]=9011709,[6]=9011709,[8]=9011709,[9]=9011709,[10]=9011710,[11]=9011709,[12]=9011709","{""exp"",32400000},{""item"",60019,36}",117,第117关,"{""exp"",32400000},{""item"",60019,36}"
128,9011810,0,0,"[2]=9011809,[3]=9011809,[4]=9011809,[5]=9011809,[6]=9011809,[8]=9011809,[9]=9011809,[10]=9011810,[11]=9011809,[12]=9011809","{""exp"",32700000},{""funds"",83100}",118,第118关,"{""exp"",32700000},{""funds"",83100}"
129,9011910,0,0,"[2]=9011909,[3]=9011909,[4]=9011909,[5]=9011909,[6]=9011909,[8]=9011909,[9]=9011909,[10]=9011910,[11]=9011909,[12]=9011909","{""exp"",33000000},{""funds"",207750}",119,第119关,"{""exp"",33000000},{""funds"",207750}"
130,9012010,0,0,"[2]=9012009,[3]=9012009,[4]=9012009,[5]=9012009,[6]=9012009,[8]=9012009,[9]=9012009,[10]=9012010,[11]=9012009,[12]=9012009","{""exp"",33200000},{""item"",60019,36}",120,第120关,"{""exp"",33200000},{""item"",60019,36}"
131,9012110,0,0,"[2]=9012109,[3]=9012109,[4]=9012109,[5]=9012109,[6]=9012109,[8]=9012109,[9]=9012109,[10]=9012110,[11]=9012109,[12]=9012109","{""exp"",33500000},{""funds"",87200}",121,第121关,"{""exp"",33500000},{""funds"",87200}"
132,50000001,0,0,"[2]=9012209,[3]=9012209,[4]=9012209,[5]=9012209,[6]=9012209,[8]=9012209,[9]=9012209,[10]=9012210,[11]=9012209,[12]=9012209","{""exp"",33800000},{""funds"",218000}",122,第122关,"{""exp"",33800000},{""funds"",218000}"
133,9012310,0,0,"[2]=9012309,[3]=9012309,[4]=9012309,[5]=9012309,[6]=9012309,[8]=9012309,[9]=9012309,[10]=9012310,[11]=9012309,[12]=9012309","{""exp"",34000000},{""item"",60019,48}",123,第123关,"{""exp"",34000000},{""item"",60019,48}"
134,9012410,0,0,"[2]=9012409,[3]=9012409,[4]=9012409,[5]=9012409,[6]=9012409,[8]=9012409,[9]=9012409,[10]=9012410,[11]=9012409,[12]=9012409","{""exp"",34300000},{""funds"",91400}",124,第124关,"{""exp"",34300000},{""funds"",91400}"
135,9012510,0,0,"[2]=9012509,[3]=9012509,[4]=9012509,[5]=9012509,[6]=9012509,[8]=9012509,[9]=9012509,[10]=9012510,[11]=9012509,[12]=9012509","{""exp"",34600000},{""funds"",228500}",125,第125关,"{""exp"",34600000},{""funds"",228500}"
136,9012610,0,0,"[2]=9012609,[3]=9012609,[4]=9012609,[5]=9012609,[6]=9012609,[8]=9012609,[9]=9012609,[10]=9012610,[11]=9012609,[12]=9012609","{""exp"",34800000},{""item"",60019,48}",126,第126关,"{""exp"",34800000},{""item"",60019,48}"
137,9012710,0,0,"[2]=9012709,[3]=9012709,[4]=9012709,[5]=9012709,[6]=9012709,[8]=9012709,[9]=9012709,[10]=9012710,[11]=9012709,[12]=9012709","{""exp"",35100000},{""funds"",95700}",127,第127关,"{""exp"",35100000},{""funds"",95700}"
138,9012810,0,0,"[2]=9012809,[3]=9012809,[4]=9012809,[5]=9012809,[6]=9012809,[8]=9012809,[9]=9012809,[10]=9012810,[11]=9012809,[12]=9012809","{""exp"",35400000},{""funds"",239250}",128,第128关,"{""exp"",35400000},{""funds"",239250}"
139,9012910,0,0,"[2]=9012909,[3]=9012909,[4]=9012909,[5]=9012909,[6]=9012909,[8]=9012909,[9]=9012909,[10]=9012910,[11]=9012909,[12]=9012909","{""exp"",35600000},{""item"",60019,48}",129,第129关,"{""exp"",35600000},{""item"",60019,48}"
140,9013010,0,0,"[2]=9013009,[3]=9013009,[4]=9013009,[5]=9013009,[6]=9013009,[8]=9013009,[9]=9013009,[10]=9013010,[11]=9013009,[12]=9013009","{""exp"",35900000},{""funds"",100100}",130,第130关,"{""exp"",35900000},{""funds"",100100}"
141,50000001,0,0,"[2]=9013109,[3]=9013109,[4]=9013109,[5]=9013109,[6]=9013109,[8]=9013109,[9]=9013109,[10]=9013110,[11]=9013109,[12]=9013109","{""exp"",36200000},{""funds"",250250}",131,第131关,"{""exp"",36200000},{""funds"",250250}"
142,9013210,0,0,"[2]=9013209,[3]=9013209,[4]=9013209,[5]=9013209,[6]=9013209,[8]=9013209,[9]=9013209,[10]=9013210,[11]=9013209,[12]=9013209","{""exp"",36400000},{""item"",60019,48}",132,第132关,"{""exp"",36400000},{""item"",60019,48}"
143,9013310,0,0,"[2]=9013309,[3]=9013309,[4]=9013309,[5]=9013309,[6]=9013309,[8]=9013309,[9]=9013309,[10]=9013310,[11]=9013309,[12]=9013309","{""exp"",36700000},{""funds"",104600}",133,第133关,"{""exp"",36700000},{""funds"",104600}"
144,9013410,0,0,"[2]=9013409,[3]=9013409,[4]=9013409,[5]=9013409,[6]=9013409,[8]=9013409,[9]=9013409,[10]=9013410,[11]=9013409,[12]=9013409","{""exp"",37000000},{""funds"",261500}",134,第134关,"{""exp"",37000000},{""funds"",261500}"
145,9013510,0,0,"[2]=9013509,[3]=9013509,[4]=9013509,[5]=9013509,[6]=9013509,[8]=9013509,[9]=9013509,[10]=9013510,[11]=9013509,[12]=9013509","{""exp"",37200000},{""item"",60019,48}",135,第135关,"{""exp"",37200000},{""item"",60019,48}"
146,9013610,0,0,"[2]=9013609,[3]=9013609,[4]=9013609,[5]=9013609,[6]=9013609,[8]=9013609,[9]=9013609,[10]=9013610,[11]=9013609,[12]=9013609","{""exp"",37500000},{""funds"",109200}",136,第136关,"{""exp"",37500000},{""funds"",109200}"
147,9013710,0,0,"[2]=9013709,[3]=9013709,[4]=9013709,[5]=9013709,[6]=9013709,[8]=9013709,[9]=9013709,[10]=9013710,[11]=9013709,[12]=9013709","{""exp"",37800000},{""funds"",273000}",137,第137关,"{""exp"",37800000},{""funds"",273000}"
148,9013810,0,0,"[2]=9013809,[3]=9013809,[4]=9013809,[5]=9013809,[6]=9013809,[8]=9013809,[9]=9013809,[10]=9013810,[11]=9013809,[12]=9013809","{""exp"",38000000},{""item"",60019,48}",138,第138关,"{""exp"",38000000},{""item"",60019,48}"
149,9013910,0,0,"[2]=9013909,[3]=9013909,[4]=9013909,[5]=9013909,[6]=9013909,[8]=9013909,[9]=9013909,[10]=9013910,[11]=9013909,[12]=9013909","{""exp"",38300000},{""funds"",113900}",139,第139关,"{""exp"",38300000},{""funds"",113900}"
150,9014010,0,0,"[2]=9014009,[3]=9014009,[4]=9014009,[5]=9014009,[6]=9014009,[8]=9014009,[9]=9014009,[10]=9014010,[11]=9014009,[12]=9014009","{""exp"",38600000},{""funds"",284750}",140,第140关,"{""exp"",38600000},{""funds"",284750}"
151,9014110,0,0,"[2]=9014109,[3]=9014109,[4]=9014109,[5]=9014109,[6]=9014109,[8]=9014109,[9]=9014109,[10]=9014110,[11]=9014109,[12]=9014109","{""exp"",38800000},{""item"",60019,48}",141,第141关,"{""exp"",38800000},{""item"",60019,48}"
152,50000004,0,0,"[2]=9014209,[3]=9014209,[4]=9014209,[5]=9014209,[6]=9014209,[8]=9014209,[9]=9014209,[10]=9014210,[11]=9014209,[12]=9014209","{""exp"",39100000},{""funds"",118700}",142,第142关,"{""exp"",39100000},{""funds"",118700}"
153,9014310,0,0,"[2]=9014309,[3]=9014309,[4]=9014309,[5]=9014309,[6]=9014309,[8]=9014309,[9]=9014309,[10]=9014310,[11]=9014309,[12]=9014309","{""exp"",39400000},{""funds"",296750}",143,第143关,"{""exp"",39400000},{""funds"",296750}"
154,9014410,0,0,"[2]=9014409,[3]=9014409,[4]=9014409,[5]=9014409,[6]=9014409,[8]=9014409,[9]=9014409,[10]=9014410,[11]=9014409,[12]=9014409","{""exp"",39600000},{""item"",60019,48}",144,第144关,"{""exp"",39600000},{""item"",60019,48}"
155,9014510,0,0,"[2]=9014509,[3]=9014509,[4]=9014509,[5]=9014509,[6]=9014509,[8]=9014509,[9]=9014509,[10]=9014510,[11]=9014509,[12]=9014509","{""exp"",39900000},{""funds"",123600}",145,第145关,"{""exp"",39900000},{""funds"",123600}"
156,50000006,0,0,"[2]=9014609,[3]=9014609,[4]=9014609,[5]=9014609,[6]=9014609,[8]=9014609,[9]=9014609,[10]=9014610,[11]=9014609,[12]=9014609","{""exp"",40200000},{""funds"",309000}",146,第146关,"{""exp"",40200000},{""funds"",309000}"
157,9014710,0,0,"[2]=9014709,[3]=9014709,[4]=9014709,[5]=9014709,[6]=9014709,[8]=9014709,[9]=9014709,[10]=9014710,[11]=9014709,[12]=9014709","{""exp"",40400000},{""item"",60019,54}",147,第147关,"{""exp"",40400000},{""item"",60019,54}"
158,9014810,0,0,"[2]=9014809,[3]=9014809,[4]=9014809,[5]=9014809,[6]=9014809,[8]=9014809,[9]=9014809,[10]=9014810,[11]=9014809,[12]=9014809","{""exp"",40700000},{""funds"",128600}",148,第148关,"{""exp"",40700000},{""funds"",128600}"
159,50000001,0,0,"[2]=9014909,[3]=9014909,[4]=9014909,[5]=9014909,[6]=9014909,[8]=9014909,[9]=9014909,[10]=9014910,[11]=9014909,[12]=9014909","{""exp"",41000000},{""funds"",321500}",149,第149关,"{""exp"",41000000},{""funds"",321500}"
160,9015010,0,0,"[2]=9015009,[3]=9015009,[4]=9015009,[5]=9015009,[6]=9015009,[8]=9015009,[9]=9015009,[10]=9015010,[11]=9015009,[12]=9015009","{""exp"",41200000},{""item"",60019,54}",150,第150关,"{""exp"",41200000},{""item"",60019,54}"
161,9015110,0,0,"[2]=9015109,[3]=9015109,[4]=9015109,[5]=9015109,[6]=9015109,[8]=9015109,[9]=9015109,[10]=9015110,[11]=9015109,[12]=9015109","{""exp"",41500000},{""funds"",133700}",151,第151关,"{""exp"",41500000},{""funds"",133700}"
162,9015210,0,0,"[2]=9015209,[3]=9015209,[4]=9015209,[5]=9015209,[6]=9015209,[8]=9015209,[9]=9015209,[10]=9015210,[11]=9015209,[12]=9015209","{""exp"",41800000},{""funds"",334250}",152,第152关,"{""exp"",41800000},{""funds"",334250}"
163,9015310,0,0,"[2]=9015309,[3]=9015309,[4]=9015309,[5]=9015309,[6]=9015309,[8]=9015309,[9]=9015309,[10]=9015310,[11]=9015309,[12]=9015309","{""exp"",42000000},{""item"",60019,54}",153,第153关,"{""exp"",42000000},{""item"",60019,54}"
164,9015410,0,0,"[2]=9015409,[3]=9015409,[4]=9015409,[5]=9015409,[6]=9015409,[8]=9015409,[9]=9015409,[10]=9015410,[11]=9015409,[12]=9015409","{""exp"",42300000},{""funds"",138900}",154,第154关,"{""exp"",42300000},{""funds"",138900}"
165,9015510,0,0,"[2]=9015509,[3]=9015509,[4]=9015509,[5]=9015509,[6]=9015509,[8]=9015509,[9]=9015509,[10]=9015510,[11]=9015509,[12]=9015509","{""exp"",42600000},{""funds"",347250}",155,第155关,"{""exp"",42600000},{""funds"",347250}"
166,9015610,0,0,"[2]=9015609,[3]=9015609,[4]=9015609,[5]=9015609,[6]=9015609,[8]=9015609,[9]=9015609,[10]=9015610,[11]=9015609,[12]=9015609","{""exp"",42800000},{""item"",60019,54}",156,第156关,"{""exp"",42800000},{""item"",60019,54}"
167,9015710,0,0,"[2]=9015709,[3]=9015709,[4]=9015709,[5]=9015709,[6]=9015709,[8]=9015709,[9]=9015709,[10]=9015710,[11]=9015709,[12]=9015709","{""exp"",43100000},{""funds"",144200}",157,第157关,"{""exp"",43100000},{""funds"",144200}"
168,9015810,0,0,"[2]=9015809,[3]=9015809,[4]=9015809,[5]=9015809,[6]=9015809,[8]=9015809,[9]=9015809,[10]=9015810,[11]=9015809,[12]=9015809","{""exp"",43400000},{""funds"",360500}",158,第158关,"{""exp"",43400000},{""funds"",360500}"
169,9015910,0,0,"[2]=9015909,[3]=9015909,[4]=9015909,[5]=9015909,[6]=9015909,[8]=9015909,[9]=9015909,[10]=9015910,[11]=9015909,[12]=9015909","{""exp"",43600000},{""item"",60019,54}",159,第159关,"{""exp"",43600000},{""item"",60019,54}"
170,9016010,0,0,"[2]=9016009,[3]=9016009,[4]=9016009,[5]=9016009,[6]=9016009,[8]=9016009,[9]=9016009,[10]=9016010,[11]=9016009,[12]=9016009","{""exp"",43900000},{""funds"",149600}",160,第160关,"{""exp"",43900000},{""funds"",149600}"
171,9016110,0,0,"[2]=9016109,[3]=9016109,[4]=9016109,[5]=9016109,[6]=9016109,[8]=9016109,[9]=9016109,[10]=9016110,[11]=9016109,[12]=9016109","{""exp"",44200000},{""funds"",374000}",161,第161关,"{""exp"",44200000},{""funds"",374000}"
172,50000004,0,0,"[2]=9016209,[3]=9016209,[4]=9016209,[5]=9016209,[6]=9016209,[8]=9016209,[9]=9016209,[10]=9016210,[11]=9016209,[12]=9016209","{""exp"",44400000},{""item"",60019,54}",162,第162关,"{""exp"",44400000},{""item"",60019,54}"
173,9016310,0,0,"[2]=9016309,[3]=9016309,[4]=9016309,[5]=9016309,[6]=9016309,[8]=9016309,[9]=9016309,[10]=9016310,[11]=9016309,[12]=9016309","{""exp"",44700000},{""funds"",155100}",163,第163关,"{""exp"",44700000},{""funds"",155100}"
174,9016410,0,0,"[2]=9016409,[3]=9016409,[4]=9016409,[5]=9016409,[6]=9016409,[8]=9016409,[9]=9016409,[10]=9016410,[11]=9016409,[12]=9016409","{""exp"",45000000},{""funds"",387750}",164,第164关,"{""exp"",45000000},{""funds"",387750}"
175,9016510,0,0,"[2]=9016509,[3]=9016509,[4]=9016509,[5]=9016509,[6]=9016509,[8]=9016509,[9]=9016509,[10]=9016510,[11]=9016509,[12]=9016509","{""exp"",45200000},{""item"",60019,54}",165,第165关,"{""exp"",45200000},{""item"",60019,54}"
176,9016610,0,0,"[2]=9016609,[3]=9016609,[4]=9016609,[5]=9016609,[6]=9016609,[8]=9016609,[9]=9016609,[10]=9016610,[11]=9016609,[12]=9016609","{""exp"",45500000},{""funds"",160700}",166,第166关,"{""exp"",45500000},{""funds"",160700}"
177,9016710,0,0,"[2]=9016709,[3]=9016709,[4]=9016709,[5]=9016709,[6]=9016709,[8]=9016709,[9]=9016709,[10]=9016710,[11]=9016709,[12]=9016709","{""exp"",45800000},{""funds"",401750}",167,第167关,"{""exp"",45800000},{""funds"",401750}"
178,9016810,0,0,"[2]=9016809,[3]=9016809,[4]=9016809,[5]=9016809,[6]=9016809,[8]=9016809,[9]=9016809,[10]=9016810,[11]=9016809,[12]=9016809","{""exp"",46000000},{""item"",60019,54}",168,第168关,"{""exp"",46000000},{""item"",60019,54}"
179,9016910,0,0,"[2]=9016909,[3]=9016909,[4]=9016909,[5]=9016909,[6]=9016909,[8]=9016909,[9]=9016909,[10]=9016910,[11]=9016909,[12]=9016909","{""exp"",46300000},{""funds"",166400}",169,第169关,"{""exp"",46300000},{""funds"",166400}"
180,9017010,0,0,"[2]=9017009,[3]=9017009,[4]=9017009,[5]=9017009,[6]=9017009,[8]=9017009,[9]=9017009,[10]=9017010,[11]=9017009,[12]=9017009","{""exp"",46600000},{""funds"",416000}",170,第170关,"{""exp"",46600000},{""funds"",416000}"
181,9017110,0,0,"[2]=9017109,[3]=9017109,[4]=9017109,[5]=9017109,[6]=9017109,[8]=9017109,[9]=9017109,[10]=9017110,[11]=9017109,[12]=9017109","{""exp"",46800000},{""item"",60019,60}",171,第171关,"{""exp"",46800000},{""item"",60019,60}"
182,9017210,0,0,"[2]=9017209,[3]=9017209,[4]=9017209,[5]=9017209,[6]=9017209,[8]=9017209,[9]=9017209,[10]=9017210,[11]=9017209,[12]=9017209","{""exp"",47100000},{""funds"",172200}",172,第172关,"{""exp"",47100000},{""funds"",172200}"
183,9017310,0,0,"[2]=9017309,[3]=9017309,[4]=9017309,[5]=9017309,[6]=9017309,[8]=9017309,[9]=9017309,[10]=9017310,[11]=9017309,[12]=9017309","{""exp"",47400000},{""funds"",430500}",173,第173关,"{""exp"",47400000},{""funds"",430500}"
184,9017410,0,0,"[2]=9017409,[3]=9017409,[4]=9017409,[5]=9017409,[6]=9017409,[8]=9017409,[9]=9017409,[10]=9017410,[11]=9017409,[12]=9017409","{""exp"",47600000},{""item"",60019,60}",174,第174关,"{""exp"",47600000},{""item"",60019,60}"
185,9017510,0,0,"[2]=9017509,[3]=9017509,[4]=9017509,[5]=9017509,[6]=9017509,[8]=9017509,[9]=9017509,[10]=9017510,[11]=9017509,[12]=9017509","{""exp"",47900000},{""funds"",178100}",175,第175关,"{""exp"",47900000},{""funds"",178100}"
186,9017610,0,0,"[2]=9017609,[3]=9017609,[4]=9017609,[5]=9017609,[6]=9017609,[8]=9017609,[9]=9017609,[10]=9017610,[11]=9017609,[12]=9017609","{""exp"",48200000},{""funds"",445250}",176,第176关,"{""exp"",48200000},{""funds"",445250}"
187,50000001,0,0,"[2]=9017709,[3]=9017709,[4]=9017709,[5]=9017709,[6]=9017709,[8]=9017709,[9]=9017709,[10]=9017710,[11]=9017709,[12]=9017709","{""exp"",48400000},{""item"",60019,60}",177,第177关,"{""exp"",48400000},{""item"",60019,60}"
188,9017810,0,0,"[2]=9017809,[3]=9017809,[4]=9017809,[5]=9017809,[6]=9017809,[8]=9017809,[9]=9017809,[10]=9017810,[11]=9017809,[12]=9017809","{""exp"",48700000},{""funds"",184100}",178,第178关,"{""exp"",48700000},{""funds"",184100}"
189,9017910,0,0,"[2]=9017909,[3]=9017909,[4]=9017909,[5]=9017909,[6]=9017909,[8]=9017909,[9]=9017909,[10]=9017910,[11]=9017909,[12]=9017909","{""exp"",49000000},{""funds"",460250}",179,第179关,"{""exp"",49000000},{""funds"",460250}"
190,9018010,0,0,"[2]=9018009,[3]=9018009,[4]=9018009,[5]=9018009,[6]=9018009,[8]=9018009,[9]=9018009,[10]=9018010,[11]=9018009,[12]=9018009","{""exp"",49200000},{""item"",60019,60}",180,第180关,"{""exp"",49200000},{""item"",60019,60}"
191,9018110,0,0,"[2]=9018109,[3]=9018109,[4]=9018109,[5]=9018109,[6]=9018109,[8]=9018109,[9]=9018109,[10]=9018110,[11]=9018109,[12]=9018109","{""exp"",49500000},{""funds"",190200}",181,第181关,"{""exp"",49500000},{""funds"",190200}"
192,9018210,0,0,"[2]=9018209,[3]=9018209,[4]=9018209,[5]=9018209,[6]=9018209,[8]=9018209,[9]=9018209,[10]=9018210,[11]=9018209,[12]=9018209","{""exp"",49800000},{""funds"",475500}",182,第182关,"{""exp"",49800000},{""funds"",475500}"
193,9018310,0,0,"[2]=9018309,[3]=9018309,[4]=9018309,[5]=9018309,[6]=9018309,[8]=9018309,[9]=9018309,[10]=9018310,[11]=9018309,[12]=9018309","{""exp"",50000000},{""item"",60019,60}",183,第183关,"{""exp"",50000000},{""item"",60019,60}"
194,9018410,0,0,"[2]=9018409,[3]=9018409,[4]=9018409,[5]=9018409,[6]=9018409,[8]=9018409,[9]=9018409,[10]=9018410,[11]=9018409,[12]=9018409","{""exp"",50300000},{""funds"",196400}",184,第184关,"{""exp"",50300000},{""funds"",196400}"
195,9018510,0,0,"[2]=9018509,[3]=9018509,[4]=9018509,[5]=9018509,[6]=9018509,[8]=9018509,[9]=9018509,[10]=9018510,[11]=9018509,[12]=9018509","{""exp"",50600000},{""funds"",491000}",185,第185关,"{""exp"",50600000},{""funds"",491000}"
196,9018610,0,0,"[2]=9018609,[3]=9018609,[4]=9018609,[5]=9018609,[6]=9018609,[8]=9018609,[9]=9018609,[10]=9018610,[11]=9018609,[12]=9018609","{""exp"",50800000},{""item"",60019,60}",186,第186关,"{""exp"",50800000},{""item"",60019,60}"
197,9018710,0,0,"[2]=9018709,[3]=9018709,[4]=9018709,[5]=9018709,[6]=9018709,[8]=9018709,[9]=9018709,[10]=9018710,[11]=9018709,[12]=9018709","{""exp"",51100000},{""funds"",202700}",187,第187关,"{""exp"",51100000},{""funds"",202700}"
198,9018810,0,0,"[2]=9018809,[3]=9018809,[4]=9018809,[5]=9018809,[6]=9018809,[8]=9018809,[9]=9018809,[10]=9018810,[11]=9018809,[12]=9018809","{""exp"",51400000},{""funds"",506750}",188,第188关,"{""exp"",51400000},{""funds"",506750}"
199,9018910,0,0,"[2]=9018909,[3]=9018909,[4]=9018909,[5]=9018909,[6]=9018909,[8]=9018909,[9]=9018909,[10]=9018910,[11]=9018909,[12]=9018909","{""exp"",51600000},{""item"",60019,60}",189,第189关,"{""exp"",51600000},{""item"",60019,60}"
200,9019010,0,0,"[2]=9019009,[3]=9019009,[4]=9019009,[5]=9019009,[6]=9019009,[8]=9019009,[9]=9019009,[10]=9019010,[11]=9019009,[12]=9019009","{""exp"",51900000},{""funds"",209100}",190,第190关,"{""exp"",51900000},{""funds"",209100}"
201,9019110,0,0,"[2]=9019109,[3]=9019109,[4]=9019109,[5]=9019109,[6]=9019109,[8]=9019109,[9]=9019109,[10]=9019110,[11]=9019109,[12]=9019109","{""exp"",52200000},{""funds"",522750}",191,第191关,"{""exp"",52200000},{""funds"",522750}"
202,50000001,0,0,"[2]=9019209,[3]=9019209,[4]=9019209,[5]=9019209,[6]=9019209,[8]=9019209,[9]=9019209,[10]=9019210,[11]=9019209,[12]=9019209","{""exp"",52400000},{""item"",60019,60}",192,第192关,"{""exp"",52400000},{""item"",60019,60}"
203,9019310,0,0,"[2]=9019309,[3]=9019309,[4]=9019309,[5]=9019309,[6]=9019309,[8]=9019309,[9]=9019309,[10]=9019310,[11]=9019309,[12]=9019309","{""exp"",52700000},{""funds"",215600}",193,第193关,"{""exp"",52700000},{""funds"",215600}"
204,9019410,0,0,"[2]=9019409,[3]=9019409,[4]=9019409,[5]=9019409,[6]=9019409,[8]=9019409,[9]=9019409,[10]=9019410,[11]=9019409,[12]=9019409","{""exp"",53000000},{""funds"",539000}",194,第194关,"{""exp"",53000000},{""funds"",539000}"
205,9019510,0,0,"[2]=9019509,[3]=9019509,[4]=9019509,[5]=9019509,[6]=9019509,[8]=9019509,[9]=9019509,[10]=9019510,[11]=9019509,[12]=9019509","{""exp"",53200000},{""item"",60019,66}",195,第195关,"{""exp"",53200000},{""item"",60019,66}"
206,9019610,0,0,"[2]=9019609,[3]=9019609,[4]=9019609,[5]=9019609,[6]=9019609,[8]=9019609,[9]=9019609,[10]=9019610,[11]=9019609,[12]=9019609","{""exp"",53500000},{""funds"",222200}",196,第196关,"{""exp"",53500000},{""funds"",222200}"
207,9019710,0,0,"[2]=9019709,[3]=9019709,[4]=9019709,[5]=9019709,[6]=9019709,[8]=9019709,[9]=9019709,[10]=9019710,[11]=9019709,[12]=9019709","{""exp"",53800000},{""funds"",555500}",197,第197关,"{""exp"",53800000},{""funds"",555500}"
208,9019810,0,0,"[2]=9019809,[3]=9019809,[4]=9019809,[5]=9019809,[6]=9019809,[8]=9019809,[9]=9019809,[10]=9019810,[11]=9019809,[12]=9019809","{""exp"",54000000},{""item"",60019,66}",198,第198关,"{""exp"",54000000},{""item"",60019,66}"
