神龙宝藏索引,章节,怪物entryId,等级（要求）,挑战次数（每天）,能否组队,怪物列表,挑战奖励,首通奖励,挖宝星级,章节名称,进度（关）,首通奖励预览,通关奖励预览
59,19,5004910,0,1,0,"[2]=5004909,[3]=5004909,[4]=5004909,[5]=5004909,[6]=5004909,[8]=5004909,[9]=5004909,[10]=5004910,[11]=5004909,[12]=5004909","{""exp"",107000},{""funds"",43000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4400000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",6400000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,74}}",宝藏图9,49,"{60056, 100}","{60061,107000},{60055,43000},{20013,1}"
60,19,5005010,0,1,0,"[2]=5005009,[3]=5005009,[4]=5005009,[5]=5005009,[6]=5005009,[8]=5005009,[9]=5005009,[10]=5005010,[11]=5005009,[12]=5005009","{""exp"",107000},{""funds"",43000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4400000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",6400000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,74}}",宝藏图9,50,"{60056, 100}","{60061,107000},{60055,43000},{20013,1}"
61,19,5005110,0,1,0,"[2]=5005109,[3]=5005109,[4]=5005109,[5]=5005109,[6]=5005109,[8]=5005109,[9]=5005109,[10]=5005110,[11]=5005109,[12]=5005109","{""exp"",107000},{""funds"",43000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4400000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",6400000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,74}}",宝藏图9,51,"{60056, 100}","{60061,107000},{60055,43000},{20013,1}"
62,19,5005210,0,1,0,"[2]=5005209,[3]=5005209,[4]=5005209,[5]=5005209,[6]=5005209,[8]=5005209,[9]=5005209,[10]=5005210,[11]=5005209,[12]=5005209","{""exp"",107000},{""funds"",43000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4400000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",6400000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,74}}",宝藏图9,52,"{60056, 100}","{60061,107000},{60055,43000},{20013,1}"
63,19,5005310,0,1,0,"[2]=5005309,[3]=5005309,[4]=5005309,[5]=5005309,[6]=5005309,[8]=5005309,[9]=5005309,[10]=5005310,[11]=5005309,[12]=5005309","{""exp"",107000},{""funds"",43000},{""item"",20013,1}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4400000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",6400000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,74}}",宝藏图9,53,"{60056, 100}","{60061,107000},{60055,43000},{20013,1}"
64,19,5005410,0,1,0,"[2]=5005409,[3]=5005409,[4]=5005409,[5]=5005409,[6]=5005409,[8]=5005409,[9]=5005409,[10]=5005410,[11]=5005409,[12]=5005409","{""exp"",107000},{""funds"",43000},{""item"",20013,1}","{""bindRmb"",100},{""item"",40020,1}","[6]={{""bindRmb"",800}, {""item"",20013,31}, {""exp"",4400000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",6400000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,74}}",宝藏图9,54,"{60056, 100},{40020, 1}","{60061,107000},{60055,43000},{20013,1}"
65,20,5005510,0,1,0,"[2]=5005509,[3]=5005509,[4]=5005509,[5]=5005509,[6]=5005509,[8]=5005509,[9]=5005509,[10]=5005510,[11]=5005509,[12]=5005509","{""exp"",179000},{""funds"",44000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,49}, {""exp"",4800000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",7000000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,116}}",宝藏图10,55,"{60056, 100}","{60061,179000},{60055,44000},{20013,2}"
66,20,5005610,0,1,0,"[2]=5005609,[3]=5005609,[4]=5005609,[5]=5005609,[6]=5005609,[8]=5005609,[9]=5005609,[10]=5005610,[11]=5005609,[12]=5005609","{""exp"",179000},{""funds"",44000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,49}, {""exp"",4800000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",7000000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,116}}",宝藏图10,56,"{60056, 100}","{60061,179000},{60055,44000},{20013,2}"
67,20,5005710,0,1,0,"[2]=5005709,[3]=5005709,[4]=5005709,[5]=5005709,[6]=5005709,[8]=5005709,[9]=5005709,[10]=5005710,[11]=5005709,[12]=5005709","{""exp"",179000},{""funds"",44000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,49}, {""exp"",4800000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",7000000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,116}}",宝藏图10,57,"{60056, 100}","{60061,179000},{60055,44000},{20013,2}"
68,20,5005810,0,1,0,"[2]=5005809,[3]=5005809,[4]=5005809,[5]=5005809,[6]=5005809,[8]=5005809,[9]=5005809,[10]=5005810,[11]=5005809,[12]=5005809","{""exp"",179000},{""funds"",44000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,49}, {""exp"",4800000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",7000000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,116}}",宝藏图10,58,"{60056, 100}","{60061,179000},{60055,44000},{20013,2}"
69,20,5005910,0,1,0,"[2]=5005909,[3]=5005909,[4]=5005909,[5]=5005909,[6]=5005909,[8]=5005909,[9]=5005909,[10]=5005910,[11]=5005909,[12]=5005909","{""exp"",179000},{""funds"",44000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,49}, {""exp"",4800000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",7000000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,116}}",宝藏图10,59,"{60056, 100}","{60061,179000},{60055,44000},{20013,2}"
70,20,5006010,0,1,0,"[2]=5006009,[3]=5006009,[4]=5006009,[5]=5006009,[6]=5006009,[8]=5006009,[9]=5006009,[10]=5006010,[11]=5006009,[12]=5006009","{""exp"",179000},{""funds"",44000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",800}, {""item"",20013,49}, {""exp"",4800000}},[12]={{""bindRmb"",1500}, {""item"",60005,1}, {""exp"",7000000}},[18]={{""bindRmb"",3000}, {""item"",60005,1}, {""item"",20013,116}}",宝藏图10,60,"{60056, 100}","{60061,179000},{60055,44000},{20013,2}"
71,21,5006110,0,1,0,"[2]=5006109,[3]=5006109,[4]=5006109,[5]=5006109,[6]=5006109,[8]=5006109,[9]=5006109,[10]=5006110,[11]=5006109,[12]=5006109","{""exp"",179000},{""funds"",45000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5200000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",7600000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,116}}",宝藏图11,61,"{60056, 100}","{60061,179000},{60055,45000},{20013,2}"
72,21,5006210,0,1,0,"[2]=5006209,[3]=5006209,[4]=5006209,[5]=5006209,[6]=5006209,[8]=5006209,[9]=5006209,[10]=5006210,[11]=5006209,[12]=5006209","{""exp"",179000},{""funds"",45000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5200000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",7600000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,116}}",宝藏图11,62,"{60056, 100}","{60061,179000},{60055,45000},{20013,2}"
73,21,5006310,0,1,0,"[2]=5006309,[3]=5006309,[4]=5006309,[5]=5006309,[6]=5006309,[8]=5006309,[9]=5006309,[10]=5006310,[11]=5006309,[12]=5006309","{""exp"",179000},{""funds"",45000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5200000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",7600000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,116}}",宝藏图11,63,"{60056, 100}","{60061,179000},{60055,45000},{20013,2}"
74,21,5006410,0,1,0,"[2]=5006409,[3]=5006409,[4]=5006409,[5]=5006409,[6]=5006409,[8]=5006409,[9]=5006409,[10]=5006410,[11]=5006409,[12]=5006409","{""exp"",179000},{""funds"",45000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5200000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",7600000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,116}}",宝藏图11,64,"{60056, 100}","{60061,179000},{60055,45000},{20013,2}"
75,21,5006510,0,1,0,"[2]=5006509,[3]=5006509,[4]=5006509,[5]=5006509,[6]=5006509,[8]=5006509,[9]=5006509,[10]=5006510,[11]=5006509,[12]=5006509","{""exp"",179000},{""funds"",45000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5200000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",7600000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,116}}",宝藏图11,65,"{60056, 100}","{60061,179000},{60055,45000},{20013,2}"
76,21,5006610,0,1,0,"[2]=5006609,[3]=5006609,[4]=5006609,[5]=5006609,[6]=5006609,[8]=5006609,[9]=5006609,[10]=5006610,[11]=5006609,[12]=5006609","{""exp"",179000},{""funds"",45000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5200000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",7600000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,116}}",宝藏图11,66,"{60056, 100}","{60061,179000},{60055,45000},{20013,2}"
77,22,5006710,0,1,0,"[2]=5006709,[3]=5006709,[4]=5006709,[5]=5006709,[6]=5006709,[8]=5006709,[9]=5006709,[10]=5006710,[11]=5006709,[12]=5006709","{""exp"",179000},{""funds"",46000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5600000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8200000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,116}}",宝藏图12,67,"{60056, 100}","{60061,179000},{60055,46000},{20013,2}"
78,22,50000005,0,1,0,"[2]=5006809,[3]=5006809,[4]=5006809,[5]=5006809,[6]=5006809,[8]=5006809,[9]=5006809,[10]=5006810,[11]=5006809,[12]=5006809","{""exp"",179000},{""funds"",46000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5600000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8200000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,116}}",宝藏图12,68,"{60056, 100}","{60061,179000},{60055,46000},{20013,2}"
79,22,5006910,0,1,0,"[2]=5006909,[3]=5006909,[4]=5006909,[5]=5006909,[6]=5006909,[8]=5006909,[9]=5006909,[10]=5006910,[11]=5006909,[12]=5006909","{""exp"",179000},{""funds"",46000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5600000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8200000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,116}}",宝藏图12,69,"{60056, 100}","{60061,179000},{60055,46000},{20013,2}"
80,22,5007010,0,1,0,"[2]=5007009,[3]=5007009,[4]=5007009,[5]=5007009,[6]=5007009,[8]=5007009,[9]=5007009,[10]=5007010,[11]=5007009,[12]=5007009","{""exp"",179000},{""funds"",46000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5600000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8200000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,116}}",宝藏图12,70,"{60056, 100}","{60061,179000},{60055,46000},{20013,2}"
81,22,5007110,0,1,0,"[2]=5007109,[3]=5007109,[4]=5007109,[5]=5007109,[6]=5007109,[8]=5007109,[9]=5007109,[10]=5007110,[11]=5007109,[12]=5007109","{""exp"",179000},{""funds"",46000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5600000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8200000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,116}}",宝藏图12,71,"{60056, 100}","{60061,179000},{60055,46000},{20013,2}"
82,22,5007210,0,1,0,"[2]=5007209,[3]=5007209,[4]=5007209,[5]=5007209,[6]=5007209,[8]=5007209,[9]=5007209,[10]=5007210,[11]=5007209,[12]=5007209","{""exp"",179000},{""funds"",46000},{""item"",20013,2}","{""bindRmb"",100},{""item"",63005,1}","[6]={{""bindRmb"",1000}, {""item"",20013,49}, {""exp"",5600000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8200000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,116}}",宝藏图12,72,"{60056, 100},{63005, 1}","{60061,179000},{60055,46000},{20013,2}"
83,23,5007310,0,1,0,"[2]=5007309,[3]=5007309,[4]=5007309,[5]=5007309,[6]=5007309,[8]=5007309,[9]=5007309,[10]=5007310,[11]=5007309,[12]=5007309","{""exp"",401000},{""funds"",47000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6000000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8800000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,167}}",宝藏图13,73,"{60056, 100}","{60061,401000},{60055,47000},{20013,2}"
84,23,5007410,0,1,0,"[2]=5007409,[3]=5007409,[4]=5007409,[5]=5007409,[6]=5007409,[8]=5007409,[9]=5007409,[10]=5007410,[11]=5007409,[12]=5007409","{""exp"",401000},{""funds"",47000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6000000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8800000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,167}}",宝藏图13,74,"{60056, 100}","{60061,401000},{60055,47000},{20013,2}"
85,23,5007510,0,1,0,"[2]=5007509,[3]=5007509,[4]=5007509,[5]=5007509,[6]=5007509,[8]=5007509,[9]=5007509,[10]=5007510,[11]=5007509,[12]=5007509","{""exp"",401000},{""funds"",47000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6000000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8800000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,167}}",宝藏图13,75,"{60056, 100}","{60061,401000},{60055,47000},{20013,2}"
86,23,5007610,0,1,0,"[2]=5007609,[3]=5007609,[4]=5007609,[5]=5007609,[6]=5007609,[8]=5007609,[9]=5007609,[10]=5007610,[11]=5007609,[12]=5007609","{""exp"",401000},{""funds"",47000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6000000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8800000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,167}}",宝藏图13,76,"{60056, 100}","{60061,401000},{60055,47000},{20013,2}"
87,23,5007710,0,1,0,"[2]=5007709,[3]=5007709,[4]=5007709,[5]=5007709,[6]=5007709,[8]=5007709,[9]=5007709,[10]=5007710,[11]=5007709,[12]=5007709","{""exp"",401000},{""funds"",47000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6000000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8800000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,167}}",宝藏图13,77,"{60056, 100}","{60061,401000},{60055,47000},{20013,2}"
88,23,5007810,0,1,0,"[2]=5007809,[3]=5007809,[4]=5007809,[5]=5007809,[6]=5007809,[8]=5007809,[9]=5007809,[10]=5007810,[11]=5007809,[12]=5007809","{""exp"",401000},{""funds"",47000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6000000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",8800000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,167}}",宝藏图13,78,"{60056, 100}","{60061,401000},{60055,47000},{20013,2}"
89,24,5007910,0,1,0,"[2]=5007909,[3]=5007909,[4]=5007909,[5]=5007909,[6]=5007909,[8]=5007909,[9]=5007909,[10]=5007910,[11]=5007909,[12]=5007909","{""exp"",401000},{""funds"",48000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6400000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",9400000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,167}}",宝藏图14,79,"{60056, 100}","{60061,401000},{60055,48000},{20013,2}"
90,24,5008010,0,1,0,"[2]=5008009,[3]=5008009,[4]=5008009,[5]=5008009,[6]=5008009,[8]=5008009,[9]=5008009,[10]=5008010,[11]=5008009,[12]=5008009","{""exp"",401000},{""funds"",48000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6400000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",9400000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,167}}",宝藏图14,80,"{60056, 100}","{60061,401000},{60055,48000},{20013,2}"
91,24,5008110,0,1,0,"[2]=5008109,[3]=5008109,[4]=5008109,[5]=5008109,[6]=5008109,[8]=5008109,[9]=5008109,[10]=5008110,[11]=5008109,[12]=5008109","{""exp"",401000},{""funds"",48000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6400000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",9400000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,167}}",宝藏图14,81,"{60056, 100}","{60061,401000},{60055,48000},{20013,2}"
92,24,5008210,0,1,0,"[2]=5008209,[3]=5008209,[4]=5008209,[5]=5008209,[6]=5008209,[8]=5008209,[9]=5008209,[10]=5008210,[11]=5008209,[12]=5008209","{""exp"",401000},{""funds"",48000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6400000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",9400000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,167}}",宝藏图14,82,"{60056, 100}","{60061,401000},{60055,48000},{20013,2}"
93,24,5008310,0,1,0,"[2]=5008309,[3]=5008309,[4]=5008309,[5]=5008309,[6]=5008309,[8]=5008309,[9]=5008309,[10]=5008310,[11]=5008309,[12]=5008309","{""exp"",401000},{""funds"",48000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6400000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",9400000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,167}}",宝藏图14,83,"{60056, 100}","{60061,401000},{60055,48000},{20013,2}"
94,24,5008410,0,1,0,"[2]=5008409,[3]=5008409,[4]=5008409,[5]=5008409,[6]=5008409,[8]=5008409,[9]=5008409,[10]=5008410,[11]=5008409,[12]=5008409","{""exp"",401000},{""funds"",48000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6400000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",9400000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,167}}",宝藏图14,84,"{60056, 100}","{60061,401000},{60055,48000},{20013,2}"
95,25,5008510,0,1,0,"[2]=5008509,[3]=5008509,[4]=5008509,[5]=5008509,[6]=5008509,[8]=5008509,[9]=5008509,[10]=5008510,[11]=5008509,[12]=5008509","{""exp"",401000},{""funds"",49000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6800000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",10000000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,167}}",宝藏图15,85,"{60056, 100}","{60061,401000},{60055,49000},{20013,2}"
96,25,50000005,0,1,0,"[2]=5008609,[3]=5008609,[4]=5008609,[5]=5008609,[6]=5008609,[8]=5008609,[9]=5008609,[10]=5008610,[11]=5008609,[12]=5008609","{""exp"",401000},{""funds"",49000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6800000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",10000000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,167}}",宝藏图15,86,"{60056, 100}","{60061,401000},{60055,49000},{20013,2}"
97,25,5008710,0,1,0,"[2]=5008709,[3]=5008709,[4]=5008709,[5]=5008709,[6]=5008709,[8]=5008709,[9]=5008709,[10]=5008710,[11]=5008709,[12]=5008709","{""exp"",401000},{""funds"",49000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6800000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",10000000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,167}}",宝藏图15,87,"{60056, 100}","{60061,401000},{60055,49000},{20013,2}"
98,25,5008810,0,1,0,"[2]=5008809,[3]=5008809,[4]=5008809,[5]=5008809,[6]=5008809,[8]=5008809,[9]=5008809,[10]=5008810,[11]=5008809,[12]=5008809","{""exp"",401000},{""funds"",49000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6800000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",10000000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,167}}",宝藏图15,88,"{60056, 100}","{60061,401000},{60055,49000},{20013,2}"
99,25,5008910,0,1,0,"[2]=5008909,[3]=5008909,[4]=5008909,[5]=5008909,[6]=5008909,[8]=5008909,[9]=5008909,[10]=5008910,[11]=5008909,[12]=5008909","{""exp"",401000},{""funds"",49000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6800000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",10000000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,167}}",宝藏图15,89,"{60056, 100}","{60061,401000},{60055,49000},{20013,2}"
100,25,5009010,0,1,0,"[2]=5009009,[3]=5009009,[4]=5009009,[5]=5009009,[6]=5009009,[8]=5009009,[9]=5009009,[10]=5009010,[11]=5009009,[12]=5009009","{""exp"",401000},{""funds"",49000},{""item"",20013,2}","{""bindRmb"",100},{""item"",40028,1}","[6]={{""bindRmb"",1000}, {""item"",20013,71}, {""exp"",6800000}},[12]={{""bindRmb"",1800}, {""item"",60005,1}, {""exp"",10000000}},[18]={{""bindRmb"",3600}, {""item"",60005,1}, {""item"",20013,167}}",宝藏图15,90,"{60056, 100},{40028, 1}","{60061,401000},{60055,49000},{20013,2}"
101,26,5009110,132,1,0,"[2]=5009109,[3]=5009109,[4]=5009109,[5]=5009109,[6]=5009109,[8]=5009109,[9]=5009109,[10]=5009110,[11]=5009109,[12]=5009109","{""exp"",860000},{""funds"",50000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,88}, {""exp"",7200000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",10600000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,206}}",宝藏图16,91,"{60056, 100}","{60061,860000},{60055,50000},{20013,2}"
102,26,5009210,132,1,0,"[2]=5009209,[3]=5009209,[4]=5009209,[5]=5009209,[6]=5009209,[8]=5009209,[9]=5009209,[10]=5009210,[11]=5009209,[12]=5009209","{""exp"",860000},{""funds"",50000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,88}, {""exp"",7200000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",10600000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,206}}",宝藏图16,92,"{60056, 100}","{60061,860000},{60055,50000},{20013,2}"
103,26,5009310,132,1,0,"[2]=5009309,[3]=5009309,[4]=5009309,[5]=5009309,[6]=5009309,[8]=5009309,[9]=5009309,[10]=5009310,[11]=5009309,[12]=5009309","{""exp"",860000},{""funds"",50000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,88}, {""exp"",7200000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",10600000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,206}}",宝藏图16,93,"{60056, 100}","{60061,860000},{60055,50000},{20013,2}"
104,26,5009410,132,1,0,"[2]=5009409,[3]=5009409,[4]=5009409,[5]=5009409,[6]=5009409,[8]=5009409,[9]=5009409,[10]=5009410,[11]=5009409,[12]=5009409","{""exp"",860000},{""funds"",50000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,88}, {""exp"",7200000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",10600000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,206}}",宝藏图16,94,"{60056, 100}","{60061,860000},{60055,50000},{20013,2}"
105,26,5009510,132,1,0,"[2]=5009509,[3]=5009509,[4]=5009509,[5]=5009509,[6]=5009509,[8]=5009509,[9]=5009509,[10]=5009510,[11]=5009509,[12]=5009509","{""exp"",860000},{""funds"",50000},{""item"",20013,2}","{""bindRmb"",100}","[6]={{""bindRmb"",1000}, {""item"",20013,88}, {""exp"",7200000}},[12]={{""bindRmb"",2100}, {""item"",60005,2}, {""exp"",10600000}},[18]={{""bindRmb"",4200}, {""item"",60005,2}, {""item"",20013,206}}",宝藏图16,95,"{60056, 100}","{60061,860000},{60055,50000},{20013,2}"
