#key,msg_s,count(播放次数),优先级（数值越大越高）,show_s(1:系统，2:淡入淡出提示，3:确定对话框，4:大喇叭，5:屏幕提示，6：结拜频道，7:世界频道，10。帮派频道，11.IM消息，23:圣地横幅，24:世界BOSS横幅)","transform_s(用于对接收到的参数进行转换)编写规则{[index1] = op,[index2] = op}1:物品entry => 物品name 2：物品品质 => 颜色 7.物品附加属性id->名称  9:帮派建筑id =》建筑名  10：时间转换，转换成的格式放在100对应的参数 例子参见 RESULT_BIWU_ENTER_ROOM，11。id转竞技组别名字  12。id转比赛名字，13。数字转星期名，14.帮派职位名字"
key_ks,msg_s,count_n,priority_n,show_t,transform_t
RESULT_UNIONPVP_NOT_APPLY,你所在的联盟没有获得参赛资格!,,,0,
RIDE_FEED_ADD_VALUE,喂养成功，坐骑成长度增加%s%%!,,,0,
RESULT_UNIONPVPS_GAME16,跨服联盟战8强战正火热进行中!,,,0,
RESULT_UNIONPVPS_GAME8,跨服联盟战4强战正火热进行中!,,,0,
RESULT_UNIONPVPS_GAME4,跨服联盟战半决赛正火热进行中!,,,0,
RESULT_UNIONPVPS_GAME2,跨服联盟战决赛战正火热进行中!,,,0,
RIDE_ADVANCEEX_SUCCESS,您通过【坐骑激活】成功激活坐骑%s，以下是本次激活所用材料：%s,,,0,
RIDE_ADVANCEEX_SUCCESS_FAILE,不好意思，您激活失败了，放入的素材消失了！,,,0,
RESULT_UNIONPVPS_USEITEM,成功使用道具！,,,0,
RESULT_TASK_IS_TAKEN,任务已经被领取,,,0,
RESULT_TASK_IS_OVERDUE,任务已经过期,,,0,
RESULT_UNIONPVPS_USEITEM_MAX,使用次数已满,,,0,
RESULT_UNIONPVPS_USEITEM_CD,使用冷却中,,,0,
RESULT_RIDE_ADVANCEEX,恭喜#yellow#rf%s通过【坐骑激活】成功激活%s!,,,0,[2]=23
RESULT_ALREADY_HAVE_PUB_TASK,已经领取到任务,,,0,
RESULT_TASK_POOL_IS_FULL,任务池已满,,,0,
RESULT_GUOZHANCST_MAX_ARMY,达到部队出征上限，无法再出征！,,,0,
RESULT_GUOZHANCST_ATTACK_ERROR1,需要攻破外城墙！,,,0,
RESULT_MARRY_LEVEL_LIMIT,结婚等级不够，无法完成婚礼！,,,2,       
RESULT_MARRY_NOT_FRIEND,结婚双方不是好友，无法完成婚礼！,,,2,          
RESULT_MARRY_FRINEDSHIP_LIMIT,结婚缘分值不够，无法完成婚礼！,,,2,      
RESULT_MARRY_IN_BLACKLIST,结婚双方不能存在黑名单！,,,2,         
RESULT_MARRY_SPOUSE_LIMIT,结婚双方都需未婚！,,,2,         
RESULT_MARRY_TEAM_ONLINE_MEMBER,有人已经离线，无法完成婚礼！,,,2,   
RESULT_MARRY_ITEM_LIMIT,道具不足，无法完成婚礼！,,,2,  
RESULT_MARRY_DIVORCE_TIME_LIMIT,30分钟后可再次申请离婚！,,,2,          
RESULT_MARRY_DIVORCE_ONLINE_LIMIT,您的伴侣不在线，不能申请离婚！,,,2,  
RESULT_MARRY_DIVORCE_REJECT,您的伴侣拒绝了您的离婚申请！,,,2,    
RESULT_MARRY_DIVORCE_RMB_LIMIT,钻石不足，无法强制离婚！,,,2,    
RESULT_MARRY_DIVORCE_LOST_TIME,失踪离婚申请条件不足，申请失败！,,,2,   
RESULT_GUOZHANCST_ATTACK_SUCCESS,攻击城墙成功，获得%d点积分！,,,0,
RESULT_GUOZHANCST_MARCH,部队成功出发！,,,0,
RESULT_GUOZHANCST_BOMB,进攻方发动一个攻城炸弹！,,,0,
RESULT_MARRY_WEDDING_TIME,请稍等，正在举行婚礼！,,,0, 
RESULT_GUOZHANCST_START,世界霸主争霸赛正在火热进行中！请有志之士进入异界纷争，为国家争夺霸主之位！,,,0,
RESULT_GUOZHANCST_CLOSE,经过激烈的比拼，%s服名成为新一届世界霸主！他们将收到各个服务器的进贡奖励！,,,0,
RESULT_GUOZHANCST_DEFECE,%d服成功守护住了皇城，他们将成为新一届的世界霸主！,,,0,
RESULT_GUOZHANCST_ATTACK,通过各方精英合作无间，已经成功攻破皇城的防守！新的世界霸主即将诞生！,,,0,
RESULT_MARRY_WEDDING,%s和%s喜结良缘，祝他们白头到老！,,,22, 
RESULT_MARRY_REJECT,对方拒绝了您的求婚！,,,2,
RESULT_MARRY_REQUEST_WAIT,请稍后发送结婚申请！,,,2,
RESULT_MARRY_SAME_SEX,必须异性才能进行結婚！,,,2,
RESULT_MARRY_TEAM_THREE_PEOPLE,只有两人组队才能结婚!,,,,
RESULT_RIDE_AUTO_FEED_ITEM_EMPTY,道具已经消耗完，已取消自动喂养！,,,0,
RESULT_RIDE_AUTO_FEED_SCHE_FULL,进度已满，不能再自动喂养！,,,0,
RESULT_RIDE_AUTO_FEED_ONGOING,当前有自动喂养正在进行中，请先取消!,,,0,
RESULT_MARRY_PICK_UP_LIMIT,捡糖果次数限制,,,0,
RESULT_MARRY_LUXURY_WEDDING,%s和%s在异界大陆举行豪华婚礼，还有花车游街，每次停留会发喜糖给大家，大家快去拿喜糖吧！,,,0,
RESULT_GUOZHANCST_ATTACK_ERROR2,准备阶段不能发起进攻,,,0,
RESULT_RIDE_AUTO_FEED_ITEM_LIMIT,自动喂养道具不足！,,,0,
RESULT_RED_FACTION_DAILY_LIMIT,已经达到公会每日发红包上限！,,,0,
RESULT_FACTION_APPLY_NOT_EXIT,所申请的公会不存在或已解散,,,2,
RESULT_RED_PLR_DAILY_LIMIT,已经达到每日领取上限！,,,2,
RESULT_RED_ENVELOPE_OVER_TIME,红包已过期！,,,0,
RESULT_RED_ENVELOPE_ALREADY,你已经领取过该红包了！,,,0,
RESULT_RED_SEND_PLR_DAILY_LIMIT,每天只能发一个红包！,,,0,
RESULT_RED_CONTRIBUTE_LIMIT,你当前的活跃值不够！,,,0,
RESULT_TASK_PET_LEVEL,等级不足%s级,,,0,
RESULT_TASK_PET_ACTIVE,进阶等级不足%s级,,,0,
RESULT_TASK_PET_BREAK,蜕变等级不足%s级,,,0,
RESULT_TASK_PET_SKILL,需要强化的技能没有解锁,,,0,
RESULT_TASK_SKILL_COUNT,该类型的任务数量已经达到上限,,,0,
RESULT_TASK_CANCEL_SUCCESS,任务取消成功,,,0,
RESULT_ELEMENT_STONE_GET,获得一个%s级%s元素石,,,0,[2] = 24
RESULT_ELEMENT_STONE_SPLIT_POWDER,获得了%s点装备粉末,,,0,
RESULT_MARRY_COMPENSATE_WEDDING_DIVORCE,补办婚礼条件不足！,,,0,
RESULT_RIDE_GET_EMPEROR_RIDE,大帝专属坐骑已激活！,,,0,
RESULT_MARRY_COMPENSATE_COUPLE_TEAM,补办婚礼时只能与伴侣组队!,,,0,
RESULT_CAMP_WAR_BUFF,由于进行过度的体力劳动，获得了精疲力竭的状态!,,,0,
RESULT_MASK_FORGE_VALUE_NORMAL,很遗憾，本次锻造失败，你获得了锻造值!,,,0,
RESULT_MASK_FORGE_VALUE_CRITICAL,很遗憾，本次锻造失败，你获得了小暴击3倍锻造值!,,,0,
RESULT_MASK_FORGE_VALUE_SUPER_CRITICAL,很遗憾，本次锻造失败，你获得了大暴击10倍锻造值!,,,0,
RESULT_MASK_FORGE_SUCCESS,恭喜你，本次锻造成功，你的面具属性已重新生成，锻造值已重置!,,,0,
RESULT_FACTION_ELITE_WAR_TIPS1,没有加入公会!,,,0,
RESULT_FACTION_ELITE_WAR_TIPS2,公会等级不足!,,,0,
RESULT_FACTION_ELITE_WAR_TIPS3,公会长才能选择参赛阵容!,,,0,
RESULT_FACTION_ELITE_WAR_TIPS4,你的公会没有参赛!,,,0,
RESULT_FACTION_ELITE_WAR_TIPS5,你已经助威过了!,,,0,
RESULT_FACTION_ELITE_WAR_TIPS6,你不在参赛阵容中，不能进入赛场!,,,0,
RESULT_FACTION_ELITE_WAR_TIPS7,报名成功!,,,0,
RESULT_FACTION_ELITE_WAR_TIPS8,助威成功!,,,0,
RESULT_FACTION_ELITE_WAR_TIPS9,助威失败，参加战斗的玩家不能助威!,,,0,
RESULT_FACTION_ELITE_WAR_TIPS10,无需再次侦查!,,,0,
RESULT_FACTION_ELITE_WAR_TIPS11,钻石不足，无法侦察!,,,0,
RESULT_FACTION_ELITE_WAR_TIPS12,不在比赛阶段!,,,0,
RESULT_FACTION_ELITE_WAR_TIPS13,不在助威阶段!,,,0,
RESULT_FACTION_ELITE_WAR_TIPS14,选择参赛玩家的时间已经截止!,,,0,
RESULT_FACTION_ELITE_WAR_TIPS15,你的公会已经被淘汰了!,,,0,
RESULT_FACTION_ELITE_WAR_TIPS16,对应位置无对手，无法探查!,,,0,
RESULT_LUCKY_CANDY,玩家%s于%s手抽中大奖%s，可喜可贺,,,0,[3] = 1
RESULT_FACTION_ELITE_WAR_NOTICE_APPLY,距离群英会武的参赛报名直截止时间还有1小时，请要参加比赛的公会尽快报名！会长、副会长均可为公会报名!,,,0,
RESULT_FACTION_ELITE_WAR_APPLY_END,群英会武报名时间已经截止，晚上21点30分将正式开始比赛，请参赛的公会成员准时进入比赛界面!,,,0,
RESULT_FACTION_ELITE_WAR_START1,群英会武已经正式开始，请参赛的公会精英成员迅速进入活动!,,,0,
RESULT_FACTION_ELITE_WAR_RANK1,恭喜%s成为本次群英会武比赛冠军公会!,,,0,
RESULT_PLAYER_PET_TRAIN_TIPS1,该属性已经达到满值，无需养成!,,,0,
RESULT_PLAYER_PET_TRAIN_TIPS2,使用后会超过属性上限，无法使用!,,,0,
RESULT_PLAYER_PET_TRAIN_TIPS3,使用后会超过次数上限，无法使用!,,,0,
RESULT_PLAYER_PET_TRAIN_TIPS4,请等待其他角色养成完毕!,,,0,
RESULT_PLAYER_PET_TRAIN_TIPS5,剩余次数不足!,,,0,
RESULT_ROLE_TIPS,vip等级不足,,,0,
RESULT_PLAYER_DRAGON_DEVELOP_FAIL,进化失败，增加%s成长值,,,0,
FACTION_MTX_ENTER_COUNT_LIMIT,每周只能进入三次阵眼,,,0,
RESULT_PLAYER_DRAGON_NOT_MORE_HOLE,剩余孔位不足!,,,0,
RESULT_PLAYER_DRAGON_PUNCH_FAIL,打孔失败!,,,0,
RESULT_PLAYER_DRAGON_PUNCH_SUCCESS,打孔成功!,,,0,
RESULT_TEAM_ACTIVITY_LINK,（%s）进组啦~！//9;%s;1;加入队伍//,,,7,[1]=25
RESULT_SACRIFICE_FAILED,#red御灵升级失败,,,2,
ROBBER_MEMBER_HAVE_TICKET,#yellow%s#rf正在持有宝藏钥匙，队伍无法挑战怪物,,,0,
RESULT_EQUIP_IDENTIFY_SUCCESS,鉴定成功,,,0,
RESULT_ROBBER_HARD_COUNT_LIMIT,#yellow%s#rf已击杀%d次,达到上限,,0,
RESULT_DROP_PARTNER_VOCATION,您失去了女神#yellow%s#rf,,,0,[1]=12
RESULT_EQUIP_RESONATE,产生了%s阶装备共鸣,,,0,
RESULT_VOCATION_NOT_DEAD,主角还没有阵亡,,,0,
RESULT_VOCATION_REVIVE_SUCCESS,主角复活，可以继续战斗,,,0,
RESULT_MESSAGE_MAX_LENGTH,留言超过最大长度,,,2,
RESULT_MESSAGE_MAX_COUNT,对方留言板空间已满,,,0,
RESULT_PRAISE_ALREADY,你今天已点赞过了,,,0,
RESULT_SEND_FLOWER,%s,,,0,
RESULT_SET_HOME_PAGE_GIFT,%s在个人主页中设置了奖励，大家快去点个赞吧_LINK_,,,0,
RESULT_SUCCESS_APPLY,申请成功,,,0,
RESULT_SUCCESS_INVITE,邀请成功,,,0,
RESULT_PLAYER_RECEVIE_MAX_COUNT,对方达到每日接收上限,,,0,
RESULT_PLAYER_NOT_FRIEND,对方与你不是好友,,,0,
RESULT_PLAYER_SEND_MAX_COUNT,达到每日赠送上限,,,0,
RESULT_SAME_PLAYER_SEND,不能赠送相同好友,,,0,
RESULT_EMPLOY_DAILY_MAX_COUNT,达到每日最大雇佣次数,,,0,
RESULT_EMPLOY_COMMON,不能雇佣同一个人的队伍,,,0,
RESULT_BE_EMPLOYED_MAX_COUNT,被雇佣次数达到上限,,,0,
RESULT_EMPLOY_OVER_TIME,雇佣队伍已过期，等待下架中,,,0,
RESULT_NOT_MY_FACTION,不是本公会人员，不能操作,,,0,
RESULT_EMPLOY_MAX_COUNT,达到个人雇佣组携带上限,,,0,
#,,,,0,
RESULT_GET_MONEY_UNIT,获得%s%s,,,2,[1]=24
RESULT_USE_MONEY_UNIT,失去%s%s,,,2,[1]=24
RESULT_EXCITE_LIMIT,恭喜限时通关%s，获得%s钻石,,,0,[1]=11
RESULT_PLAYER_GET_EXP,获得%d点经验,,,8,
RESULT_PET_LEVEL_OVER_PLR_LEVEL,女神等级不能高于主角等级,,,0,
RESULT_PET_GET_EXP,女神%s获得%s点经验,,,0,[1]=12
RESULT_ROBBER_ITEM_GET,圣地挂机:获得%s个%s,,,0,[2]=15
RESULT_ROBBER_GET_MONEY_UNIT,圣地挂机:获得%s%s,,,0,[1]=24
RESULT_ROBBER_PLAYER_GET_EXP,圣地挂机:角色获得%s点经验,,,0,
RESULT_ROBBER_PET_LEVEL_OVER,圣地挂机:女神等级不能高于主角等级,,,0,
RESULT_ROBBER_PET_GET_EXP,圣地挂机:女神%s获得%s点经验,,,0,[1]=12
RESULT_ROBBER_HARD_KILLED,%s在圣地击杀一个精英怪，还剩余%s个精英怪，大家快去杀吧！！,,,0,
RESULT_PLAYER_IN_COMBAT,对方或者己方正在处于战斗中,,,0,
RESULT_ROBBER_HANG_LIST_MAX_COUNT,圣地挂机人数达到了最高上限，挂机失败,,,0,
RESULT_ROBBER_MAX_PLAYER,圣地在线人数达到最高上限，请稍后再进,,,0,
RESULT_ROBBER_KILL_STATUS_POWER,当前处于恶人状态，无法领取双倍药水,,,0,
RESULT_LOST_TEMPLE_BEGIN,众神祗在圣地中丢弃大量魔盒，快去拾取吧，可以获得魔盒中宝藏哦,,,0,
RESULT_LOST_TEMPLE_END,众神祗已经离开圣地了，活动结束！,,,0,
RESULT_ROBBER_TICKET_SCORE_STATUS,%s携带有钥匙或者神像，不能攻击npc,,,0,
RESULT_EQUIP_IDENTIFY_FAILD,很遗憾，鉴定失败，没有生成特效,,,0,
RESULT_EQUIP_IDENTIFY_SUCCESS,恭喜你，鉴定成功，生成了一条特效,,,0,
RESULT_HOME_PAGE_POUND_EGG,你被%s砸了%s个鸡蛋，魅力减少了%s,,,0,
RESULT_NOT_FIGHT_FAST_END,当前战斗不能快速退出,,,2,
RESULT_ROBBER_NOT_TEAM_HANG,组队状态下不可以挂机,,,0,
RESULT_TASK_CANCEL_MEMBER_OUT,队友离队，组队任务取消，需要重新领取,,,0,
RESULT_ROBBER_NOT_TEAM_GRADE,组队状态下不可以进行评级战斗,,,0,
RESULT_TASK_FINISH_COUNT_LIMIT,任务完成次数达到上限，无法获取奖励,,,0,
RESULT_TASK_TEAM_FOLLOWER,你或者对方处于任务跟随状态,,,0,
RESULT_ACTIVITY_DATA_REFRESH,活动数据已刷新，请重新进入活动！,,,0,
RESULT_TASK_ACCEPT_MEMBER_COUNT,队员暂离或人数不足3人,,,0,
RESULT_TASK_CANCEL_CAPTAIN_CHANGE,队长转换，组队任务取消，需要重新领取,,,0,
RESULT_TASK_CANCEL_LEAVE_ROBBER,战斗失败离开圣地，组队任务取消，需要重新领取,,,0,
RESULT_ROBBER_PICK_BOSS_BOX,boss不是你击杀的，还需要等待%s秒才能拾取,,,0,
ROBBER_MEMBER_HAVE_BOSS_BOX,持有boss宝箱不能与npc战斗,,,0,
RESULT_ROBBER_BOSS_COUNT_LIMIT,当前这种boss击杀数量已达到上限,,,0,
RESULT_ROBBER_BOSS_BOX_MINE_LIMIT,你抢夺宝箱次数已满，不能再抢夺对方的boss宝箱,,,0,
RESULT_ROBBER_BOSS_BOX_OTHER_LIMIT,对方宝箱抢夺次数已满，不能在有宝箱的状态下和对方pk,,,0,
RESULT_ROBBER_BOTH_BOSS_BOX_STATUS,你和对方都有boss宝箱或者钥匙状态，不能pk,,,0,
RESULT_ROBBER_BOSS_BOX_PRIZE_COUNT,今天已经超过最大奖励次数了,,,0,
RESULT_ROBBER_OFFLINE_HANG,当前玩家正在离线挂机，不能被pk,,,0,
RESULT_ROBBER_DROP_FASTEST,恭喜【%s】在圣地中获得【%s】，用时%s秒钟创造该物品掉落记录。,,,0,[2]=1
RESULT_ROBBER_DROP_FAST_AVAGE,恭喜你获得【%s】，时间为%s秒，低于全服平均时间,,,0,[1]=1
RESULT_ROBBER_DROP_SLOW_AVAGE,恭喜你获得【%s】，用时为%s秒，虽然超出平均时间，但是还是成功获得了物品哦,,,0,[1]=1
RESULT_ROBBER_NO_FACTION_OR_STATUS,没有工会，或者持有boss宝箱，不能持有宝箱钥匙,,,0,
RESULT_TEAM_NOT_ACTIVITY,你或者队员不在活动内,,,0,
RESULT_UNLOCK_VOCATION_TIPS,恭喜%s成功解锁职业#lime%s!,,,0,[2]=26
RESULT_PARTNER_EVOLVE_MAX,#yellow%s已经进化到最高阶,,,0,[1]=27
RESULT_PARTNER_EVOLVE_UP,%s已经进化成功,,,0,
RESULT_PARTNER_EVOLVE_UP,%s已经进化成功,,,0,
RESULT_TEAM_IN_BATTLE,队伍正在战斗中，请稍候回归队伍,,,0,
RESULT_HOME_PAGE_GIFT,我已经在个人主页放置神秘礼物，点赞会有惊喜噢~,,,0,
RESULT_HOME_PAGE_ICON,我的个人主页更新啦，欢迎大家踩踩！,,,0,
RESULT_FIRST_FINISH_CHAMPION,#yellow%s一路过关斩将，首个成为竞技场全服排名前%s的勇者，恭喜贺喜！,,,0,
RESULT_EGPICK_LEVEL_LIMIT,等级不足20，无法拾取！,,,0,
RESULT_HOME_PAGE_POUND_EGGS,#yellow%s#rf将五十颗82年的陈年烂鸡蛋砸向#yellow%s#rf，那场景壮观得不得了，#yellow%s#rf瞬间成了鸡蛋人，臭气熏天！,,,0,
RESULT_FACTIONWAR_SENIOR_RECORD1,#lime[精英赛]#rf我方大将VS敌方大将，失败,,,0,
RESULT_FACTIONWAR_SENIOR_RECORD2,#lime[精英赛]#rf我方副将VS敌方副将，失败,,,0,
RESULT_FACTIONWAR_SENIOR_RECORD3,#lime[精英赛]#rf我方后卫VS敌方后卫，失败,,,0,
RESULT_FACTIONWAR_SENIOR_RECORD4,#lime[精英赛]#rf我方大将VS敌方大将，胜利，获得%d积分,,,0,
RESULT_FACTIONWAR_SENIOR_RECORD5,#lime[精英赛]#rf我方副将VS敌方副将，胜利，获得%d积分,,,0,
RESULT_FACTIONWAR_SENIOR_RECORD6,#lime[精英赛]#rf我方后卫VS敌方后卫，胜利，获得%d积分,,,0,
RESULT_PUSHPRAISE_PRIZE,恭喜#yellow%s#rf通过点赞获得神秘礼物一份！,,,0,
RESULT_PUSHPRAISE_NOPRIZE,点赞成功，但没有获得礼物,,,0,
RESULT_PRAISE_MAX,今天点赞已达上限，请明天再来,,,0,
RESULT_ISCENTERSERVER,跨服中无法操作,,,0,
RESULT_SKY_HISTORY_LAYER,需要达到海底历史最高层%s层,,,0,
RESULT_RIDDLE_BOX_FINISH,惊喜宝箱刚出来就被拾取完了！呜呜呜~~~,,,0,
RESULT_RELIC_MINE_PVP_WIN,成功抢夺【%s】的商船,,,0,
RESULT_ROBBER_PUNISH,#yellow%s#rf战斗失败处罚中（剩余%s秒）,,,0,
RESULT_EMPLOY_MAX_RENT_COUNT,入驻数量达到系统上限，入驻失败,,,0,
RESULT_FACTION_NO_CHECK,没有操作权限,,,0,
RESULT_VIEDO_OVER_TIME,抱歉，录像已过期，无法查看了,,,0,
RESULT_FACTION_NO_CHECK,没有操作权限,,,0,
RESULT_EMPLOY_LEADER,公会职位长老以上直接获得,,,0,
RESULT_FACTIONWAR_SENIORPER,#lime精英赛已经进入准备阶段，请参加的成员前去布阵，3分钟后开始比赛,,,0,
RESULT_FACTIONWAR_RANK16,#lime公会进入了淘汰赛，比赛将在20点开始，请做好准备,,,0,
RESULT_FACTIONWAR_RANK4,#lime公会通过昨天的淘汰赛夺得了进入冠军赛的资格，比赛将在20点开始，请做好准备,,,0,
RESULT_USE_CALL_STONE,%s玩家使用%s，获得女神%s%s。,,,0,"[2]=1,[3]=28,[4]=12"
RESULT_GET_PRIZE_MAX_COUNT,达到拾取上限,,,0,
RESULT_FACTIONWAR_SENIORPER2,#lime精英赛还有1分钟开始，被选中成员请前往布阵,,,0,
RESULT_LEAVE_ROBBER_CREATE_TICKET,%s玩家离开圣地,钥匙重新刷新在了圣地，详细位置可以查看小地图!!,,0,22
RESULT_QUIT_FACTION_TIME,退出公会不足%s天，不能参加当次活动,,,0,
RESULT_KILL_ROBBER_CREATE_TICKET,%s玩家被打的丢盔弃甲，狼狈而逃，抢夺者%s的详细位置可以查看小地图!!,,,0,
RESULT_FACTIONTASK_ENTER,加入公会不足七天，无法进入臧宝阁！,,,0,
RESULT_FACTIONTASK_ENTER2,您所在公会未获得第一名，无法进入藏宝阁！,,,0,
RESULT_FACTIONTASK_RANK,本次公会争霸，第一名公会：【%s】，第二名公会：【%s】，第三名公会：【%s】，恭喜这三个公会！,,,0,
RESULT_FIRST_FACTION,欢迎本届公会霸主【%s】，来自【%s】公会,,,0,
RESULT_ROBBER_ENTER_SINGLE_SPACE,%s持有钥匙或者boss宝箱或者魔盒或者处于战斗中，不能进行当前活动,,,0,
RESULT_QUIT_FACTION_TIME,退出公会不足%s天，不能参加当次活动,,,0,
RESULT_REFUSE_MARRIAGE,%s拒绝求婚,,,2,
RESULT_SHITU,%s正在寻觅一名良师，师徒双方可获得大量经验和突破丹，仙君赶紧来寻高徒吧,,,22,
RESULT_WULIN_WIN,#lime%s#rf挑战了%s，挑战#lime胜利#rf，获得%d积分,,,22,
RESULT_WULIN_LOSE,#lime%s#rf挑战了%s，挑战#lime失败#rf，获得%d积分,,,22,
RESULT_MINUTE_PRIZE,不同层获得每分钟奖励不同，本次获得#cyan%s#rf,,,22,
RESULT_MENG_ZHU,#lime%s#rf成为武林盟主,,,22,
RESULT_STRONGHOLD_EVACUATE,撤离成功,,,2,
RESULT_STRONGHOLD_HAS_EVACUATE,该玩家已撤离,,,2,
RESULT_STRONGHOLD_HAS_OCCUPY,该矿点已被占领,,,2,
RESULT_STRONGHOLD_OCCUPY_ONE,只能占领一个矿点,,,2,
RESULT_STRONGHOLD_OCCUPY_SUCCESS,占领成功,,,2,
RESULT_STRONGHOLD_REVENGEING,其他玩家正在帮忙复仇中,,,2,
RESULT_STRONGHOLD_HAS_REVENGEING,已经复仇成功了,,,2,
RESULT_STRONGHOLD_ACTIVI_START,天魔已入侵天宫，请各位大仙伸出援助之手，前往消灭天魔！,,,22,
RESULT_STRONGHOLD_REVENGE_SELF,你是掠夺者，无法帮助公会好友复仇。,,,2,
RESULT_STRONGHOLD_MAP_MAX_PLRCOUNT,天宫地图人数达到上限无法进入，请稍等,,,2,
