索引ID,添加叹号的路径,红点检查事件,红点检查参数,手动关闭红点,特效表现（不填默认红点）,描述,
247,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv"",""TianNvFrame/group_bottom/radio_group/lingqi""",event_fun_upgrade,"[""itemId""]=60044,[""type""]=21,[""checkLevel""]=115",,,女儿国王灵气,
#,,,,,,,
248,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/tab1""",event_pet_upgrade,,,,宠物升级,
249,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/tab1""",event_pet_embattle,,,,宠物布阵,
250,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/tab1""",event_pet_naturl,,,,宠物资质,
251,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/tab1""",event_pet_active,,,,宠物激活,
#,,,,,,,
252,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/club_btn_img"",""ClubFrame/bottom_group/tab_group/radio1""",event_club_hall,["checkLevel"]=52,,,帮会大厅,
253,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/club_btn_img"",""ClubFrame/bottom_group/tab_group/radio2""",event_club_incense,["checkLevel"]=52,,,帮会上香,
254,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/club_btn_img"",""ClubFrame/bottom_group/tab_group/radio3""",event_club_fuben,["checkLevel"]=52,,,帮会副本,
255,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/club_btn_img"",""ClubFrame/bottom_group/tab_group/radio4"",""ClubFrame/group4/tab_group/btn_upgrade""",event_club_skill,["checkLevel"]=52,,,帮会技能,
256,"""MainFrame/head_group/vip_wnd/vip_btn""",event_vip_prize,,,,VIP奖励,
257,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/activity_btn_img""",event_activity_open,"[""checkLevel""]=45",,,活动列表,
259,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/tongling""",event_fun_shootup,"[""type""]=8,[""checkLevel""]=82",,,宠物通灵,
260,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/shouhun""",event_fun_shootup,"[""type""]=9,[""checkLevel""]=86",,,宠物元神,
261,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/zuoqi""",event_fun_shootup,"[""type""]=4,[""checkLevel""]=10",,,角色坐骑,
262,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/chibang""",event_fun_shootup,"[""type""]=5,[""checkLevel""]=70",,,角色翅膀,
263,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv"",""XianLvFrame/bottom_group/fazhen""",event_fun_shootup,"[""type""]=12,[""checkLevel""]=74",,,仙君法阵,
264,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv"",""XianLvFrame/bottom_group/xianwei""",event_fun_shootup,"[""type""]=13,[""checkLevel""]=78",,,仙君神位,
265,"""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/tianxian""",event_fun_shootup,"[""type""]=14,[""checkLevel""]=50",,,天仙,
266,"""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/shenbing""",event_fun_shootup,"[""itemId""]=60040,[""type""]=15,[""checkLevel""]=65",,,天仙神兵,
267,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/group_actList/bg106/dynamicButotn106""",event_wonder_activity,["checkLevel"]=20,,,精彩活动,
#,,,,,,,
268,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/tongling""",event_fun_prize,"[""type""]=8,[""checkLevel""]=82",,,宠物通灵,
269,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/shouhun""",event_fun_prize,"[""type""]=9,[""checkLevel""]=86",,,宠物元神,
270,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/zuoqi""",event_fun_prize,"[""type""]=4,[""checkLevel""]=10",,,角色坐骑,
271,"""MainFrame/bottom_group/scene_group/tab2"",""RoleFrame/group_bottom/group/chibang""",event_fun_prize,"[""type""]=5,[""checkLevel""]=70",,,角色翅膀,
272,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv"",""XianLvFrame/bottom_group/fazhen""",event_fun_prize,"[""type""]=12,[""checkLevel""]=74",,,仙君法阵,
273,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_xianlv"",""XianLvFrame/bottom_group/xianwei""",event_fun_prize,"[""type""]=13,[""checkLevel""]=78",,,仙君神位,
274,"""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/tianxian""",event_fun_prize,"[""type""]=14,[""checkLevel""]=50",,,天仙,
275,"""MainCityFrame/build_wnd/shop_group/btn_tianxian"",""TianXianFrame/bottom_group/shenbing""",event_fun_prize,"[""type""]=15,[""checkLevel""]=65",,,天仙神兵,
276,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv"",""TianNvFrame/group_bottom/radio_group/tiannv""",event_fun_prize,"[""type""]=18,[""checkLevel""]=100",,,女儿国王,
277,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv"",""TianNvFrame/group_bottom/radio_group/xianqi""",event_fun_prize,"[""type""]=19,[""checkLevel""]=105",,,女儿国王仙器,
278,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv"",""TianNvFrame/group_bottom/radio_group/huanian""",event_fun_prize,"[""type""]=20,[""checkLevel""]=110",,,女儿国王花撵,
279,"""MainFrame/bottom_group/scene_group/tab4"",""CommonOpenTipsFrame/group_btn/btn_tiannv"",""TianNvFrame/group_bottom/radio_group/lingqi""",event_fun_prize,"[""type""]=21,[""checkLevel""]=115",,,女儿国王灵气,
280,"""MainContentFrame/rank_activity_wnd/rank_activity_btn"",""CampaignRecordFrame/bottom_group/tab0""",event_campaign_single,,,,个人首通奖励,
281,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/club_btn_img"",""ClubFrame/group1/info_group/club_store_btn""",event_club_store,["checkLevel"]=52,,,帮会仓库,
#,,,,,,,
300,"""WelfareFrame/wealfare_list/btn_scroll/btn_scroll_group/group0/group0group""",event_welfare_sign,,,,福利大厅-签到奖励,
301,"""WelfareFrame/group_tab1/btn_sign_get""",event_welfare_sign_gift,,,,签到奖励礼包,
302,"""WelfareFrame/wealfare_list/btn_scroll/btn_scroll_group/group1/group1group""",event_welfare_level,,,,福利大厅-等级奖励,
303,"""WelfareFrame/wealfare_list/btn_scroll/btn_scroll_group/group2/group2group"",""WelfareFrame/btn_month_card""",event_welfare_month_card,,,,福利大厅-月卡,
304,"""WelfareFrame/wealfare_list/btn_scroll/btn_scroll_group/group3/group3group"",""WelfareFrame/group_tab4/week_card_btn""",event_welfare_week_card,,,,福利大厅-周卡,
305,"""MainCityFrame/group_actList/bg43/dynamicButotn43""",event_meiri_pay,,,,每日充值,
306,"""MainCityFrame/group_actList/bg101/dynamicButotn101""",event_welfare,,,,福利大厅,
307,"""MainCityFrame/group_actList/bg102/dynamicButotn102"",""MainCityFrame/group_actList/bg105/dynamicButotn105""",event_always_show,,"[""show""]=""LuckyFrame"", [""times""]=1",,幸运转盘,
308,"""MainCityFrame/group_actList/bg27/dynamicButotn27"",""TodayGiftsFrame/btn_pay""",event_meiri_haoli,,,,每日豪礼,
309,"""WelfareFrame/wealfare_list/btn_scroll/btn_scroll_group/group4/group4group""",event_welfare_welfare,,,,福利大厅-福利,
310,"""MainCityFrame/build_wnd/shop_group/btn_marry""",event_sanshengsanshi,,,,家园,
311,"""SanShengSanShiFrame/sansheng_group/group2/group2_bottom_group/upgrade_btn"",""SanShengSanShiFrame/sansheng_group/group2/group2_bottom_group/all_upgrade_btn"",""SanShengSanShiFrame/sansheng_group/bottom_group/radio_group/radio2""",event_sansheng_house,,,,家园-房子,
312,"""SanShengSanShiFrame/sansheng_group/bottom_group/radio_group/radio3""",event_shitu,,,,家园-师徒,
313,"""SanShengSanShiFrame/sansheng_group/group3/group3_radio_group/group3_radio1""",event_shitu_shifu,,,,家园-师徒(我的师傅),
314,"""SanShengSanShiFrame/sansheng_group/group3/group3_radio_group/group3_radio2""",event_shitu_tudi,,,,家园-师徒(我的徒弟),
315,"""SanShengSanShiFrame/sansheng_group/group3/group3_radio_group/group3_radio3""",event_shitu_apply_list,,,,家园-师徒(师徒邀请),
316,"""MainContentFrame/activity_wnd/activity_btn25""",event_song_yuanbao,,,,送元宝,
317,"""MainContentFrame/activity_wnd/activity_btn1""",event_first_pay,,,,首充,
318,"""MainCityFrame/group_actList/bg23/dynamicButotn23""",event_touzi_chengzhang,,,,成长计划,
319,"""FriendsFrame/group_root/tab_wnd/tab_friend""",event_friend_youqingbi,,,,友情币,
320,"""MainCityFrame/build_wnd/btn_friends""",event_friend,,,,好友,
321,"""MainCityFrame/group_actList/bg26/dynamicButotn26"",""PayStageUpFrame/pay_stage_group/btn_pay""",event_pay_stage,,,,直升丹,
322,"""RoleFrame/group_equips/group_Etop/btn_shenzhuang""",event_god_equip,,,,神装,
323,"""GodEquipFrame/bottom_group/tab0"",""GodEquipFrame/upgrade_group/have_equip_group/upgrade_btn"",""MainFrame/bottom_group/scene_group/tab2""",event_god_equip_level,,,,神装升级,
324,"""GodEquipFrame/bottom_group/tab0"",""MainFrame/bottom_group/scene_group/tab2"",""GodEquipFrame/upgrade_group/have_equip_sui_tip_group/have_equip_sui_tip""",event_god_equip_fenjie,,,,神装分解,
325,"""MainContentFrame/activity_wnd/activity_btn42"",""TenGiftFrame///get_btn""",event_ten_gift,,,,十元购,
326,"""MainContentFrame/activity_wnd/activity_btn9""",event_leiji_pay,,,,累计充值,
327,"""MainCityFrame/group_actList/bg44/dynamicButotn44""",event_god_pet_laixi,,,,神宠来袭,
328,"""MainCityFrame/group_actList/bg24/dynamicButotn24""",event_touzi_jihua,,,,投资计划,
329,"""MainFrame/bottom_group/scene_group/tab5"",""PetFrame/bottom_group/tab1""",event_pet_fly,,,,宠物飞升,
330,"""MainFrame/bottom_group/scene_group/tab1"",""MainCityFrame/build_wnd/judian_btn""",event_tiangong_can_occupy,["checkLevel"]=80,,,天宫可占领,
331,"""MainCityFrame/group_actList/bg45/dynamicButotn45""",event_always_show,,"[""show""]=""MiLuFrame"", [""times""]=1",,神宠秘录,
332,"""MainContentFrame/btn_activity_rank""",event_always_show,,"[""show""]=""ActivityRankFrame"", [""times""]=1",,巅峰排行,
