ID,技能等级,技能品质框（1是灰色 2是绿色 3是蓝色 4是紫色 5是金色 6是红色 7是彩色）,名称缩写,图标,技能描述
60147,1,7,#red七#orange级#magenta连#cyan击,60147,【被动】攻击时有8%概率触发连击
60148,1,1,一级法术虚弱,60148,【被动】攻击时有10%概率使目标下回合伤害降低6%
60149,1,2,二级法术虚弱,60149,【被动】攻击时有10%概率使目标下回合伤害降低8%
60150,1,3,三级法术虚弱,60150,【被动】攻击时有10%概率使目标下回合伤害降低10%
60151,1,4,四级法术虚弱,60151,【被动】攻击时有10%概率使目标下回合伤害降低12%
60152,1,5,五级法术虚弱,60152,【被动】攻击时有10%概率使目标下回合伤害降低14%
60153,1,6,六级法术虚弱,60153,【被动】攻击时有10%概率使目标下回合伤害降低16%
60154,1,7,#red七#orange级#magenta法#cyan术#red虚#orange弱,60154,【被动】攻击时有10%概率使目标下回合伤害降低18%
60155,1,1,一级法术穿甲,60155,【被动】攻击时有10%概率使目标下回合防御降低20%
60156,1,2,二级法术穿甲,60156,【被动】攻击时有10%概率使目标下回合防御降低23%
60157,1,3,三级法术穿甲,60157,【被动】攻击时有10%概率使目标下回合防御降低26%
60158,1,4,四级法术穿甲,60158,【被动】攻击时有10%概率使目标下回合防御降低29%
60159,1,5,五级法术穿甲,60159,【被动】攻击时有10%概率使目标下回合防御降低32%
60160,1,6,六级法术穿甲,60160,【被动】攻击时有10%概率使目标下回合防御降低35%
60161,1,7,#red七#orange级#magenta法#cyan术#red穿#orange甲,60161,【被动】攻击时有10%概率使目标下回合防御降低38%
60162,1,1,一级法术暴击,60162,【被动】攻击时有10%概率提升当前技能20%暴击率
60163,1,2,二级法术暴击,60163,【被动】攻击时有10%概率提升当前技能25%暴击率
60164,1,3,三级法术暴击,60164,【被动】攻击时有10%概率提升当前技能30%暴击率
60165,1,4,四级法术暴击,60165,【被动】攻击时有10%概率提升当前技能35%暴击率
60166,1,5,五级法术暴击,60166,【被动】攻击时有10%概率提升当前技能40%暴击率
60167,1,6,六级法术暴击,60167,【被动】攻击时有10%概率提升当前技能45%暴击率
60168,1,7,#red七#orange级#magenta法#cyan术#red暴#orange击,60168,【被动】攻击时有10%概率提升当前技能50%暴击率
60169,1,1,一级法术吸血,60169,【被动】攻击时有10%概率将造成伤害的6%转化为生命
60170,1,2,二级法术吸血,60170,【被动】攻击时有10%概率将造成伤害的8%转化为生命
60171,1,3,三级法术吸血,60171,【被动】攻击时有10%概率将造成伤害的10%转化为生命
60172,1,4,四级法术吸血,60172,【被动】攻击时有10%概率将造成伤害的12%转化为生命
60173,1,5,五级法术吸血,60173,【被动】攻击时有10%概率将造成伤害的14%转化为生命
60174,1,6,六级法术吸血,60174,【被动】攻击时有10%概率将造成伤害的16%转化为生命
60175,1,7,#red七#orange级#magenta法#cyan术#red吸#orange血,60175,【被动】攻击时有10%概率将造成伤害的18%转化为生命
60176,1,1,一级法术吸收,60176,【被动】受到群体攻击时有10%概率吸收当前伤害6%转化为生命
60177,1,2,二级法术吸收,60177,【被动】受到群体攻击时有10%概率吸收当前伤害8%转化为生命
60178,1,3,三级法术吸收,60178,【被动】受到群体攻击时有10%概率吸收当前伤害10%转化为生命
60179,1,4,四级法术吸收,60179,【被动】受到群体攻击时有10%概率吸收当前伤害12%转化为生命
60180,1,5,五级法术吸收,60180,【被动】受到群体攻击时有10%概率吸收当前伤害14%转化为生命
60181,1,6,六级法术吸收,60181,【被动】受到群体攻击时有10%概率吸收当前伤害16%转化为生命
60182,1,7,#red七#orange级#magenta法#cyan术#red吸#orange收,60182,【被动】受到群体攻击时有10%概率吸收当前伤害18%转化为生命
60183,1,1,一级法术复仇,60183,【被动】受到群体攻击时有10%概率提升下回合6%伤害
60184,1,2,二级法术复仇,60184,【被动】受到群体攻击时有10%概率提升下回合8%伤害
60185,1,3,三级法术复仇,60185,【被动】受到群体攻击时有10%概率提升下回合10%伤害
60186,1,4,四级法术复仇,60186,【被动】受到群体攻击时有10%概率提升下回合12%伤害
60187,1,5,五级法术复仇,60187,【被动】受到群体攻击时有10%概率提升下回合14%伤害
60188,1,6,六级法术复仇,60188,【被动】受到群体攻击时有10%概率提升下回合16%伤害
60189,1,7,#red七#orange级#magenta法#cyan术#red复#orange仇,60189,【被动】受到群体攻击时有10%概率提升下回合18%伤害
60190,1,1,一级法术强韧,60190,【被动】受到群体攻击时有10%概率下回合减免6%伤害
60191,1,2,二级法术强韧,60191,【被动】受到群体攻击时有10%概率下回合减免8%伤害
60192,1,3,三级法术强韧,60192,【被动】受到群体攻击时有10%概率下回合减免10%伤害
60193,1,4,四级法术强韧,60193,【被动】受到群体攻击时有10%概率下回合减免12%伤害
60194,1,5,五级法术强韧,60194,【被动】受到群体攻击时有10%概率下回合减免14%伤害
60195,1,6,六级法术强韧,60195,【被动】受到群体攻击时有10%概率下回合减免16%伤害
60196,1,7,#red七#orange级#magenta法#cyan术#red强#orange韧,60196,【被动】受到群体攻击时有10%概率下回合减免18%伤害
60197,1,1,一级法术怒击,60197,【被动】受到群体攻击时有10%概率提升当前技能16%伤害
60198,1,2,二级法术怒击,60198,【被动】受到群体攻击时有10%概率提升当前技能19%伤害
60199,1,3,三级法术怒击,60199,【被动】受到群体攻击时有10%概率提升当前技能22%伤害
60200,1,4,四级法术怒击,60200,【被动】受到群体攻击时有10%概率提升当前技能25%伤害
60201,1,5,五级法术怒击,60201,【被动】受到群体攻击时有10%概率提升当前技能28%伤害
60202,1,6,六级法术怒击,60202,【被动】受到群体攻击时有10%概率提升当前技能31%伤害
60203,1,7,#red七#orange级#magenta法#cyan术#red怒#orange击,60203,【被动】受到群体攻击时有10%概率提升当前技能34%伤害
60204,1,1,一级法术晕厥,60204,【被动】攻击时有3.5%概率触发群体眩晕（持续一回合）
60205,1,2,二级法术晕厥,60205,【被动】攻击时有4%概率触发群体眩晕（持续一回合）
60206,1,3,三级法术晕厥,60206,【被动】攻击时有4.5%概率触发群体眩晕（持续一回合）
60207,1,4,四级法术晕厥,60207,【被动】攻击时有5%概率触发群体眩晕（持续一回合）
60208,1,5,五级法术晕厥,60208,【被动】攻击时有5.5%概率触发群体眩晕（持续一回合）
60209,1,6,六级法术晕厥,60209,【被动】攻击时有6%概率触发群体眩晕（持续一回合）
60210,1,7,#red七#orange级#magenta法#cyan术#red晕#orange厥,60210,【被动】攻击时有6.5%概率触发群体眩晕（持续一回合）
60211,1,1,一级法术反弹,60211,【被动】受到群体攻击时有10%概率反弹伤害的35%给攻击者
60212,1,2,二级法术反弹,60212,【被动】受到群体攻击时有10%概率反弹伤害的40%给攻击者
60213,1,3,三级法术反弹,60213,【被动】受到群体攻击时有10%概率反弹伤害的45%给攻击者
60214,1,4,四级法术反弹,60214,【被动】受到群体攻击时有10%概率反弹伤害的50%给攻击者
60215,1,5,五级法术反弹,60215,【被动】受到群体攻击时有10%概率反弹伤害的55%给攻击者
60216,1,6,六级法术反弹,60216,【被动】受到群体攻击时有10%概率反弹伤害的60%给攻击者
60217,1,7,#red七#orange级#magenta法#cyan术#red反#orange弹,60217,【被动】受到群体攻击时有10%概率反弹伤害的65%给攻击者
60218,1,1,一级法术连击,60218,【被动】攻击时有5%概率出发连击
60219,1,2,二级法术连击,60219,【被动】攻击时有5.5%概率出发连击
60220,1,3,三级法术连击,60220,【被动】攻击时有6%概率出发连击
60221,1,4,四级法术连击,60221,【被动】攻击时有6.5%概率出发连击
60222,1,5,五级法术连击,60222,【被动】攻击时有7%概率出发连击
60223,1,6,六级法术连击,60223,【被动】攻击时有7.5%概率出发连击
60224,1,7,#red七#orange级#magenta法#cyan术#red连#orange击,60224,【被动】攻击时有8%概率出发连击
,,,,,
#坐骑技能,,,,,
20001,1,1,血海无量,20001,
20002,1,1,铜墙铁壁,20002,
20003,1,1,攻无不克,20003,
20004,1,1,乾坤借速,20004,
#翅膀技能,,,,,
20005,1,1,固若金汤,20005,
20006,1,1,化咤暗呜,20006,
20007,1,1,百里穿杨,20007,
20008,1,1,飞云掣电,20008,
#通灵技能,,,,,
20009,1,1,火列星屯,20009,
20010,1,1,无懈可击,20010,
20011,1,1,千钧一发,20011,
20012,1,1,气势熏灼,20012,
#元神技能,,,,,
20013,1,1,气吞斗牛,20013,
20014,1,1,森严壁垒,20014,
20015,1,1,弑神灭魂,20015,
20016,1,1,伏虎降龙,20016,
#法阵技能,,,,,
20017,1,1,翻云覆雨,20017,
20018,1,1,席卷八荒,20018,
20019,1,1,飞龙在天,20019,
20020,1,1,亢龙有悔,20020,
#神位技能,,,,,
20021,1,1,风驰草靡,20021,
20022,1,1,摧枯拉朽,20022,
20023,1,1,白日升天,20023,
20024,1,1,潮鸣电挚,20024,
#天仙技能,,,,,
20025,1,1,身轻如燕,20025,
20026,1,1,雪飞风花,20026,
20027,1,1,天女散花,20027,
20028,1,1,大步流星,20028,
#神兵技能,,,,,
20029,1,1,靡坚不摧,20029,
20030,1,1,圣光之力,20030,
20031,1,1,雷霆万钧,20031,
20032,1,1,瀚海苍云,20032,
#女儿国王技能,,,,,
20033,1,1,天外飞仙1级,20033,对随机1个目标造成25%+220的伤害。
20033,2,1,天外飞仙2级,20033,对随机1个目标造成27%+330的伤害。
20033,3,1,天外飞仙3级,20033,对随机1个目标造成27%+500的伤害。
20033,4,1,天外飞仙4级,20033,对随机1个目标造成29%+720的伤害。
20033,5,1,天外飞仙5级,20033,对随机1个目标造成29%+1000的伤害。
20033,6,1,天外飞仙6级,20033,对随机1个目标造成31%+1330的伤害。
20033,7,1,天外飞仙7级,20033,对随机1个目标造成31%+1720的伤害。
20033,8,1,天外飞仙8级,20033,对随机1个目标造成33%+2160的伤害。
20033,9,1,天外飞仙9级,20033,对随机1个目标造成33%+2660的伤害。
20033,10,1,天外飞仙10级,20033,对随机1个目标造成35%+3210的伤害。
20033,11,1,天外飞仙11级,20033,对随机1个目标造成35%+3820的伤害。
20033,12,1,天外飞仙12级,20033,对随机1个目标造成37%+4480的伤害。
20033,13,1,天外飞仙13级,20033,对随机1个目标造成37%+5200的伤害。
20033,14,1,天外飞仙14级,20033,对随机1个目标造成39%+5970的伤害。
20033,15,1,天外飞仙15级,20033,对随机1个目标造成39%+6800的伤害。
20034,1,1,破空一击1级,20034,对随机1个目标造成25%+220的伤害，并有12%的几率眩晕目标一回合。
20034,2,1,破空一击2级,20034,对随机1个目标造成27%+330的伤害，并有12%的几率眩晕目标一回合。
20034,3,1,破空一击3级,20034,对随机1个目标造成27%+500的伤害，并有12%的几率眩晕目标一回合。
20034,4,1,破空一击4级,20034,对随机1个目标造成29%+720的伤害，并有12%的几率眩晕目标一回合。
20034,5,1,破空一击5级,20034,对随机1个目标造成29%+1000的伤害，并有12%的几率眩晕目标一回合。
20034,6,1,破空一击6级,20034,对随机1个目标造成31%+1330的伤害，并有12%的几率眩晕目标一回合。
20034,7,1,破空一击7级,20034,对随机1个目标造成31%+1720的伤害，并有12%的几率眩晕目标一回合。
20034,8,1,破空一击8级,20034,对随机1个目标造成33%+2160的伤害，并有12%的几率眩晕目标一回合。
20034,9,1,破空一击9级,20034,对随机1个目标造成33%+2660的伤害，并有12%的几率眩晕目标一回合。
20034,10,1,破空一击10级,20034,对随机1个目标造成35%+3210的伤害，并有12%的几率眩晕目标一回合。
20034,11,1,破空一击11级,20034,对随机1个目标造成35%+3820的伤害，并有12%的几率眩晕目标一回合。
20034,12,1,破空一击12级,20034,对随机1个目标造成37%+4480的伤害，并有12%的几率眩晕目标一回合。
20034,13,1,破空一击13级,20034,对随机1个目标造成37%+5200的伤害，并有12%的几率眩晕目标一回合。
20034,14,1,破空一击14级,20034,对随机1个目标造成39%+5970的伤害，并有12%的几率眩晕目标一回合。
20034,15,1,破空一击15级,20034,对随机1个目标造成39%+6800的伤害，并有12%的几率眩晕目标一回合。
20035,1,1,所向披靡1级,20035,对随机1个目标造成13%+170的伤害，连续攻击2次，每次伤害增加5%。
20035,2,1,所向披靡2级,20035,对随机1个目标造成13%+210的伤害，连续攻击3次，每次伤害增加5%。
20035,3,1,所向披靡3级,20035,对随机1个目标造成13%+280的伤害，连续攻击3次，每次伤害增加5%。
20035,4,1,所向披靡4级,20035,对随机1个目标造成13%+370的伤害，连续攻击4次，每次伤害增加5%。
20035,5,1,所向披靡5级,20035,对随机1个目标造成13%+480的伤害，连续攻击4次，每次伤害增加5%。
20035,6,1,所向披靡6级,20035,对随机1个目标造成13%+610的伤害，连续攻击5次，每次伤害增加5%。
20035,7,1,所向披靡7级,20035,对随机1个目标造成13%+760的伤害，连续攻击5次，每次伤害增加5%。
20035,8,1,所向披靡8级,20035,对随机1个目标造成13%+940的伤害，连续攻击6次，每次伤害增加5%。
20035,9,1,所向披靡9级,20035,对随机1个目标造成13%+1140的伤害，连续攻击6次，每次伤害增加5%。
20035,10,1,所向披靡10级,20035,对随机1个目标造成13%+1360的伤害，连续攻击7次，每次伤害增加5%。
20035,11,1,所向披靡11级,20035,对随机1个目标造成13.5%+1600的伤害，连续攻击7次，每次伤害增加5%。
20035,12,1,所向披靡12级,20035,对随机1个目标造成13.5%+1870的伤害，连续攻击7次，每次伤害增加5%。
20035,13,1,所向披靡13级,20035,对随机1个目标造成14%+2160的伤害，连续攻击7次，每次伤害增加5%。
20035,14,1,所向披靡14级,20035,对随机1个目标造成14%+2470的伤害，连续攻击7次，每次伤害增加5%。
20035,15,1,所向披靡15级,20035,对随机1个目标造成14%+2800的伤害，连续攻击7次，每次伤害增加5%。
20036,1,1,灵气护体1级,20036,对随机1个目标造成25%+220的伤害，并使下次遭受伤害减少25%，持续目标两回合。
20036,2,1,灵气护体2级,20036,对随机1个目标造成27%+330的伤害，并使下次遭受伤害减少27%，持续目标两回合。
20036,3,1,灵气护体3级,20036,对随机1个目标造成27%+500的伤害，并使下次遭受伤害减少29%，持续目标两回合。
20036,4,1,灵气护体4级,20036,对随机1个目标造成29%+720的伤害，并使下次遭受伤害减少31%，持续目标两回合。
20036,5,1,灵气护体5级,20036,对随机1个目标造成29%+1000的伤害，并使下次遭受伤害减少33%，持续目标两回合。
20036,6,1,灵气护体6级,20036,对随机1个目标造成31%+1330的伤害，并使下次遭受伤害减少35%，持续目标两回合。
20036,7,1,灵气护体7级,20036,对随机1个目标造成31%+1720的伤害，并使下次遭受伤害减少37%，持续目标两回合。
20036,8,1,灵气护体8级,20036,对随机1个目标造成33%+2160的伤害，并使下次遭受伤害减少39%，持续目标两回合。
20036,9,1,灵气护体9级,20036,对随机1个目标造成33%+2660的伤害，并使下次遭受伤害减少41%，持续目标两回合。
20036,10,1,灵气护体10级,20036,对随机1个目标造成35%+3210的伤害，并使下次遭受伤害减少43%，持续目标两回合。
20036,11,1,灵气护体11级,20036,对随机1个目标造成35%+3820的伤害，并使下次遭受伤害减少45%，持续目标两回合。
20036,12,1,灵气护体12级,20036,对随机1个目标造成37%+4480的伤害，并使下次遭受伤害减少47%，持续目标两回合。
20036,13,1,灵气护体13级,20036,对随机1个目标造成37%+5200的伤害，并使下次遭受伤害减少49%，持续目标两回合。
20036,14,1,灵气护体14级,20036,对随机1个目标造成39%+5970的伤害，并使下次遭受伤害减少51%，持续目标两回合。
20036,15,1,灵气护体15级,20036,对随机1个目标造成39%+6800的伤害，并使下次遭受伤害减少53%，持续目标两回合。
