引导Index,动作Index,监听动作的条件，防止加载没用的引导,监听事件,监听参数,执行动作,动作参数,描述
20505,7,,,,ClearAction,"[""index""]={10501,2}",
20508,1,,FinishTask,"[""finishTask""]={1011,true}",AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
20508,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20508,3,,,,AddListen,["listen"]=20509,
20508,4,,,,DeleteListen,["listen"]=20503,
20509,1,,ClickButton,["buttonName"] = "task_wnd",ClearAction,"[""index""]={20505,3}",
20509,2,,,,ClearAction,"[""index""]={20505,4}",
20509,3,,,,ClearAction,"[""index""]={10502,1}",
20509,4,,,,ClearAction,"[""index""]={10502,2}",
20509,5,,,,Record,"[""key""]=""30006"",[""value""]=""1""",
20509,6,,,,AddListen,["listen"]=20601,
20509,7,,,,ClearAction,"[""index""]={20508,1}",
20509,8,,,,ClearAction,"[""index""]={20508,2}",
20509,9,,,,AddListen,["listen"]=20608,
20509,10,,,,ClearAction,"[""index""]={20501,1}",
20509,11,,,,ClearAction,"[""index""]={20501,2}",
#,,,,,,,
#宠物升级5次,,,,,,,
10601,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30006"", ""1""},{""30007"", ""NULL""}},[""finishTask""]={1013,false}",MovableAnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20,[""moveTarget""]=""PetFrame/upgrade_group/active_exp_wnd/auto_upgrade_btn"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
10601,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
10601,3,,,,AddListen,["listen"]=20603,
10602,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30006"", ""1""},{""30007"", ""NULL""}},[""finishTask""]={1013,true}",AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
10602,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
10602,3,,,,AddListen,["listen"]=20609,
20601,1,,AcceptTask,["taskId"]=1013,MovableAnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20,[""moveTarget""]=""PetFrame/upgrade_group/active_exp_wnd/auto_upgrade_btn"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
20601,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20601,3,,,,AddListen,["listen"]=20603,
20603,1,,UIShow,["windowName"] = "PetFrame",AnimTips,"[""window""]=""PetFrame/upgrade_group/active_exp_wnd/auto_upgrade_btn"",[""animbox""]=""yuan"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-10,[""width""]=20,[""height""]=20",
20603,2,,,,AddListen,["listen"]=20605,
20605,1,,FinishTask,"[""finishTask""]={1013,true}",ClearAction,"[""index""]={20603,1}",
20605,2,,,,ClearAction,"[""index""]={20603,2}",
20605,3,,,,ClearAction,"[""index""]={10601,1}",
20605,4,,,,ClearAction,"[""index""]={10601,2}",
20605,5,,,,ClearAction,"[""index""]={20601,1}",
20605,6,,,,ClearAction,"[""index""]={20601,2}",
20605,7,,,,MovableAnimTips,"[""window""]=""PetFrame/upgrade_group/active_exp_wnd/auto_upgrade_btn"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=0,[""offsetY""]=-20,[""moveTarget""]=""PetFrame/btn_close"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
20605,8,,,,AnimTips,"[""window""]=""PetFrame/btn_close"",[""animbox""]=""yuan"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-10,[""width""]=20,[""height""]=20",
20605,9,,,,AddListen,["listen"]=20607,
20607,1,,BeforeWindowClose,["window"] = "PetFrame",ClearAction,"[""index""]={20605,7}",
20607,2,,,,ClearAction,"[""index""]={20605,8}",
20607,3,,,,MovableAnimTips,"[""window""]=""PetFrame/btn_close"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=0,[""offsetY""]=-20,[""moveTarget""]=""MainContentFrame/task_wnd"",[""moveTime""]=500,[""targetOffsetX""]=180,[""targetOffsetY""]=-20",
20607,4,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20607,5,,,,AddListen,["listen"]=20609,
20607,6,,,,ClearAction,"[""index""]={20608,1}",
20607,7,,,,ClearAction,"[""index""]={20608,2}",
20608,1,,FinishTask,"[""finishTask""]={1013,true}",AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
20608,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20608,3,,,,AddListen,["listen"]=20609,
20608,4,,,,ClearAction,"[""index""]={20601,1}",
20608,5,,,,ClearAction,"[""index""]={20601,2}",
20608,6,,,,DeleteListen,["listen"]=20603,
20609,1,,ClickButton,["buttonName"] = "task_wnd",ClearAction,"[""index""]={20607,3}",
20609,2,,,,ClearAction,"[""index""]={20607,4}",
20609,3,,,,ClearAction,"[""index""]={10602,1}",
20609,4,,,,ClearAction,"[""index""]={10602,2}",
20609,5,,,,Record,"[""key""]=""30007"",[""value""]=""1""",
20609,6,,,,AddListen,["listen"]=20701,
20609,7,,,,AddListen,["listen"]=20708,
20609,8,,,,ClearAction,"[""index""]={20608,1}",
20609,9,,,,ClearAction,"[""index""]={20608,2}",
#,,,,,,,
#穿戴装备5件,,,,,,,
10701,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30007"", ""1""},{""30008"", ""NULL""}},[""finishTask""]={1015,false}",MovableAnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20,[""moveTarget""]=""RoleFrame/group_equips/btn_Echange"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
10701,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
10701,3,,,,AddListen,["listen"]=20703,
10702,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30007"", ""1""},{""30008"", ""NULL""}},[""finishTask""]={1015,true}",AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
10702,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
10702,3,,,,AddListen,["listen"]=20709,
20701,1,,AcceptTask,["taskId"]=1015,MovableAnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20,[""moveTarget""]=""RoleFrame/group_equips/btn_Echange"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
20701,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20701,3,,,,AddListen,["listen"]=20703,
20703,1,,UIShow,["windowName"] = "RoleFrame",AnimTips,"[""window""]=""RoleFrame/group_equips/btn_Echange"",[""animbox""]=""yuan"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-10,[""width""]=20,[""height""]=20",
20703,2,,,,AddListen,["listen"]=20705,
20705,1,,FinishTask,"[""finishTask""]={1015,true}",ClearAction,"[""index""]={20703,1}",
20705,2,,,,ClearAction,"[""index""]={20703,2}",
20705,3,,,,ClearAction,"[""index""]={10701,1}",
20705,4,,,,ClearAction,"[""index""]={10701,2}",
20705,5,,,,ClearAction,"[""index""]={20701,1}",
20705,6,,,,ClearAction,"[""index""]={20701,2}",
20705,7,,,,MovableAnimTips,"[""window""]=""RoleFrame/group_equips/btn_Echange"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=0,[""offsetY""]=-20,[""moveTarget""]=""RoleFrame/group_bottom/btn_back"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
20705,8,,,,AnimTips,"[""window""]=""RoleFrame/group_bottom/btn_back"",[""animbox""]=""yuan"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-10,[""width""]=20,[""height""]=20",
20705,9,,,,AddListen,["listen"]=20707,
20707,1,,BeforeWindowClose,["window"] = "RoleFrame",ClearAction,"[""index""]={20705,7}",
20707,2,,,,ClearAction,"[""index""]={20705,8}",
20707,3,,,,MovableAnimTips,"[""window""]=""RoleFrame/group_bottom/btn_back"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=0,[""offsetY""]=-20,[""moveTarget""]=""MainContentFrame/task_wnd"",[""moveTime""]=500,[""targetOffsetX""]=180,[""targetOffsetY""]=-20",
20707,4,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20707,5,,,,AddListen,["listen"]=20709,
20707,6,,,,ClearAction,"[""index""]={20708,1}",
20707,7,,,,ClearAction,"[""index""]={20708,2}",
20708,1,,FinishTask,"[""finishTask""]={1015,true}",AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
20708,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20708,3,,,,AddListen,["listen"]=20709,
20708,4,,,,ClearAction,"[""index""]={20701,1}",
20708,5,,,,ClearAction,"[""index""]={20701,2}",
20708,6,,,,DeleteListen,["listen"]=20703,
20709,1,,ClickButton,["buttonName"] = "task_wnd",ClearAction,"[""index""]={20707,3}",
20709,2,,,,ClearAction,"[""index""]={20707,4}",
20709,3,,,,ClearAction,"[""index""]={10702,1}",
20709,4,,,,ClearAction,"[""index""]={10702,2}",
20709,5,,,,Record,"[""key""]=""30008"",[""value""]=""1""",
20709,6,,,,AddListen,["listen"]=20801,
20709,7,,,,ClearAction,"[""index""]={20708,1}",
20709,8,,,,ClearAction,"[""index""]={20708,2}",
20709,9,,,,AddListen,["listen"]=20808,
#,,,,,,,
#东海龙宫1~3,,,,,,,
10801,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30008"", ""1""},{""30009"", ""NULL""}},[""finishTask""]={1017,false}",MovableAnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20,[""moveTarget""]=""CampaignBossFrame/bottom_wnd/fight_btn"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
10801,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
10801,3,,,,AddListen,["listen"]=20803,
10802,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30008"", ""1""},{""30009"", ""NULL""}},[""finishTask""]={1017,true}",AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
10802,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
10802,3,,,,AddListen,["listen"]=20809,
20801,1,,AcceptTask,["taskId"]=1017,MovableAnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20,[""moveTarget""]=""CampaignBossFrame/bottom_wnd/fight_btn"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
20801,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20801,3,,,,AddListen,["listen"]=20803,
20803,1,,UIShow,["windowName"] = "CampaignBossFrame",AnimTips,"[""window""]=""CampaignBossFrame/bottom_wnd/fight_btn"",[""animbox""]=""yuan"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-10,[""width""]=20,[""height""]=20",
20803,2,,,,AddListen,["listen"]=20805,
20805,1,,FinishTask,"[""finishTask""]={1017,true}",ClearAction,"[""index""]={20803,1}",
20805,2,,,,ClearAction,"[""index""]={20803,2}",
20805,3,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
20805,4,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20805,5,,,,AddListen,["listen"]=20809,
20805,6,,,,ClearAction,"[""index""]={10801,1}",
20805,7,,,,ClearAction,"[""index""]={10801,2}",
20808,1,,FinishTask,"[""finishTask""]={1017,true}",AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
20808,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20808,3,,,,AddListen,["listen"]=20809,
20808,4,,,,DeleteListen,["listen"]=20803,
20809,1,,ClickButton,["buttonName"] = "task_wnd",ClearAction,"[""index""]={20805,3}",
20809,2,,,,ClearAction,"[""index""]={20805,4}",
20809,3,,,,ClearAction,"[""index""]={10802,1}",
20809,4,,,,ClearAction,"[""index""]={10802,2}",
20809,5,,,,Record,"[""key""]=""30009"",[""value""]=""1""",
20809,6,,,,AddListen,["listen"]=20901,
20809,7,,,,ClearAction,"[""index""]={20808,1}",
20809,8,,,,ClearAction,"[""index""]={20808,2}",
20809,9,,,,ClearAction,"[""index""]={20801,1}",
20809,10,,,,ClearAction,"[""index""]={20801,2}",
20809,11,,,,AddListen,["listen"]=20908,
#,,,,,,,
#强化五次,,,,,,,
10901,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30009"", ""1""},{""30010"", ""NULL""}},[""finishTask""]={1019,false}",MovableAnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20,[""moveTarget""]=""ForgeFrame/main_group/btn_oneKey"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
10901,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
10901,3,,,,AddListen,["listen"]=20903,
10902,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30009"", ""1""},{""30010"", ""NULL""}},[""finishTask""]={1019,true}",AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
10902,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
10902,3,,,,AddListen,["listen"]=20909,
20901,1,,AcceptTask,["taskId"]=1019,MovableAnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20,[""moveTarget""]=""ForgeFrame/main_group/btn_oneKey"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
20901,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20901,3,,,,AddListen,["listen"]=20903,
20903,1,,UIShow,["windowName"] = "ForgeFrame",AnimTips,"[""window""]=""ForgeFrame/main_group/btn_oneKey"",[""animbox""]=""yuan"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-10,[""width""]=20,[""height""]=20",
20903,2,,,,AddListen,["listen"]=20905,
20905,1,,FinishTask,"[""finishTask""]={1019,true}",ClearAction,"[""index""]={20903,1}",
20905,2,,,,ClearAction,"[""index""]={20903,2}",
20905,3,,,,ClearAction,"[""index""]={10901,1}",
20905,4,,,,ClearAction,"[""index""]={10901,2}",
20905,5,,,,ClearAction,"[""index""]={20901,1}",
20905,6,,,,ClearAction,"[""index""]={20901,2}",
20905,7,,,,MovableAnimTips,"[""window""]=""ForgeFrame/main_group/btn_oneKey"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=0,[""offsetY""]=-20,[""moveTarget""]=""ForgeFrame/btn_back"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
20905,8,,,,AnimTips,"[""window""]=""ForgeFrame/btn_back"",[""animbox""]=""yuan"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-10,[""width""]=20,[""height""]=20",
20905,9,,,,AddListen,["listen"]=20907,
20907,1,,BeforeWindowClose,["window"] = "ForgeFrame",ClearAction,"[""index""]={20905,7}",
20907,2,,,,ClearAction,"[""index""]={20905,8}",
20907,3,,,,MovableAnimTips,"[""window""]=""ForgeFrame/btn_back"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=0,[""offsetY""]=-20,[""moveTarget""]=""MainContentFrame/task_wnd"",[""moveTime""]=500,[""targetOffsetX""]=180,[""targetOffsetY""]=-20",
20907,4,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20907,5,,,,AddListen,["listen"]=20909,
20907,6,,,,ClearAction,"[""index""]={20908,1}",
20907,7,,,,ClearAction,"[""index""]={20908,2}",
20908,1,,FinishTask,"[""finishTask""]={1019,true}",AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
20908,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
20908,3,,,,AddListen,["listen"]=20909,
20908,4,,,,ClearAction,"[""index""]={20901,1}",
20908,5,,,,ClearAction,"[""index""]={20901,2}",
20908,6,,,,DeleteListen,["listen"]=20903,
20909,1,,ClickButton,["buttonName"] = "task_wnd",ClearAction,"[""index""]={20907,3}",
20909,2,,,,ClearAction,"[""index""]={20907,4}",
20909,3,,,,ClearAction,"[""index""]={10902,1}",
20909,4,,,,ClearAction,"[""index""]={10902,2}",
20909,5,,,,Record,"[""key""]=""30010"",[""value""]=""1""",
20909,6,,,,AddListen,["listen"]=21001,
20909,7,,,,ClearAction,"[""index""]={20908,1}",
20909,8,,,,ClearAction,"[""index""]={20908,2}",
#,,,,,,,
#升级,,,,,,,
11001,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30010"", ""1""},{""30011"", ""NULL""}},[""finishTask""]={1021,false}",AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
11001,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
11001,3,,,,AddListen,["listen"]=21003,
11002,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30010"", ""1""},{""30011"", ""NULL""}},[""finishTask""]={1021,true}",AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
11002,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
11002,3,,,,AddListen,["listen"]=21009,
21001,1,,AcceptTask,["taskId"]=1021,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
21001,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
21001,3,,,,AddListen,["listen"]=21003,
21003,1,,FinishTask,"[""finishTask""]={1021,true}",AddListen,["listen"]=21009,
21009,1,,ClickButton,["buttonName"] = "task_wnd",ClearAction,"[""index""]={21001,1}",
21009,2,,,,ClearAction,"[""index""]={21001,2}",
21009,3,,,,ClearAction,"[""index""]={11002,1}",
21009,4,,,,ClearAction,"[""index""]={11002,2}",
21009,5,,,,ClearAction,"[""index""]={11001,1}",
21009,6,,,,ClearAction,"[""index""]={11001,2}",
21009,7,,,,Record,"[""key""]=""30011"",[""value""]=""1""",
21009,8,,,,AddListen,["listen"]=21101,
21009,9,,,,AddListen,["listen"]=21108,
#,,,,,,,
#东海龙宫1~4,,,,,,,
11101,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30011"", ""1""},{""30012"", ""NULL""}},[""finishTask""]={1023,false}",MovableAnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20,[""moveTarget""]=""CampaignBossFrame/bottom_wnd/fight_btn"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
11101,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
11101,3,,,,AddListen,["listen"]=21103,
11102,1,"HeroLevel = {""<="", 50}",LogIn,"[""record""]={{""30011"", ""1""},{""30012"", ""NULL""}},[""finishTask""]={1023,true}",AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
11102,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
11102,3,,,,AddListen,["listen"]=21109,
21101,1,,AcceptTask,["taskId"]=1023,MovableAnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20,[""moveTarget""]=""CampaignBossFrame/bottom_wnd/fight_btn"",[""moveTime""]=500,[""targetOffsetX""]=0,[""targetOffsetY""]=-20",
21101,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
21101,3,,,,AddListen,["listen"]=21103,
21103,1,,UIShow,["windowName"] = "CampaignBossFrame",AnimTips,"[""window""]=""CampaignBossFrame/bottom_wnd/fight_btn"",[""animbox""]=""yuan"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-10,[""width""]=20,[""height""]=20",
21103,2,,,,AddListen,["listen"]=21105,
21105,1,,FinishTask,"[""finishTask""]={1023,true}",ClearAction,"[""index""]={21103,1}",
21105,2,,,,ClearAction,"[""index""]={21103,2}",
21105,3,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
21105,4,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
21105,5,,,,AddListen,["listen"]=21109,
21105,6,,,,ClearAction,"[""index""]={11101,1}",
21105,7,,,,ClearAction,"[""index""]={11101,2}",
21108,1,,FinishTask,"[""finishTask""]={1023,true}",AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""shoushou"",[""adp""]=false,[""loop""]=true,[""offsetX""]=180,[""offsetY""]=-20",
21108,2,,,,AnimTips,"[""window""]=""MainContentFrame/task_wnd"",[""animbox""]=""xinShouKuang"",[""adp""]=true,[""loop""]=true,[""offsetX""]=-10,[""offsetY""]=-30,[""width""]=20,[""height""]=53",
21108,3,,,,AddListen,["listen"]=21109,
21108,4,,,,DeleteListen,["listen"]=21103,
21109,1,,ClickButton,["buttonName"] = "task_wnd",ClearAction,"[""index""]={21105,3}",
